stat,raw_value,agg_value
DISPATCHED_INST,253472,253472
DISPATCH_WAIT,16307298,64.3357
NUM_NO_FETCH_CYCLES,51781,51781
AVG_CORE_IDLE_CYCLE,53168,53168
REEXEC_NUM,0,0
INV_MATCH_NUM,0,0
EARLY_PERM_NUM,0,0
PERM_MATCH_NUM,0,0
RETIRE_SPECLD_NUM,0,0
RETIRE_SPECST_NUM,0,0
FENCE_HEAD_ROB_WAIT,0,0
NUM_SAMPLES_CORE_0,25608,25608
NUM_ACTIVE_BLOCKS_CORE_0,25607,0.999961
NUM_ACTIVE_THREADS_CORE_0,802990,31.357
NUM_SCHED_IDLE_CYCLE_CORE_0,0,0
NUM_NO_SCHED_CYCLE_CORE_0,2987,2987
CORE_DISPATCHED_INST_CORE_0,15842,15842
CORE_DISPATCH_WAIT_CORE_0,1019717,64.3679
CORE_CYCLES_CORE_0,0,0
CORE_SCHED_THREADS_CORE_0,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_0,3204,3204
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_0,0,0
CORE_NUM_FETCH_CYCLES_CORE_0,0,0
CORE_FETCH_DELTA_CORE_0,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_0,0,0
CORE_RETIRE_DELTA_CORE_0,0,NaN
FENCE_PREF_REQ_CORE_0,0,0
FENCE_WAITING_CORE_0,0,0
DYN_FENCE_NUM_CORE_0,0,0
WB_ORDERING_STALL_CORE_0,0,0
WB_FULL_CORE_0,0,0
FENCE_TOT_CYCLES_CORE_0,0,0
FENCE_EXEC_CYCLES_CORE_0,0,0
STORE_RES_CORE_0,0,0
STORE_NUM_CORE_0,0,0
STORE_WB_FREE_CORE_0,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_0,15842,19.6763%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_0,28119,34.9248%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_0,36552,45.3989%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_0,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_0,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_0,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_0,0,0%
NUM_SAMPLES_CORE_1,26054,26054
NUM_ACTIVE_BLOCKS_CORE_1,26053,0.999962
NUM_ACTIVE_THREADS_CORE_1,817082,31.3611
NUM_SCHED_IDLE_CYCLE_CORE_1,0,0
NUM_NO_SCHED_CYCLE_CORE_1,3232,3232
CORE_DISPATCHED_INST_CORE_1,15842,15842
CORE_DISPATCH_WAIT_CORE_1,1013509,63.9761
CORE_CYCLES_CORE_1,0,0
CORE_SCHED_THREADS_CORE_1,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_1,3256,3256
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_1,0,0
CORE_NUM_FETCH_CYCLES_CORE_1,0,0
CORE_FETCH_DELTA_CORE_1,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_1,0,0
CORE_RETIRE_DELTA_CORE_1,0,NaN
FENCE_PREF_REQ_CORE_1,0,0
FENCE_WAITING_CORE_1,0,0
DYN_FENCE_NUM_CORE_1,0,0
WB_ORDERING_STALL_CORE_1,0,0
WB_FULL_CORE_1,0,0
FENCE_TOT_CYCLES_CORE_1,0,0
FENCE_EXEC_CYCLES_CORE_1,0,0
STORE_RES_CORE_1,0,0
STORE_NUM_CORE_1,0,0
STORE_WB_FREE_CORE_1,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_1,15842,19.835%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_1,27184,34.0357%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_1,36843,46.1293%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_1,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_1,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_1,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_1,0,0%
NUM_SAMPLES_CORE_2,26016,26016
NUM_ACTIVE_BLOCKS_CORE_2,26015,0.999962
NUM_ACTIVE_THREADS_CORE_2,801734,30.817
NUM_SCHED_IDLE_CYCLE_CORE_2,0,0
NUM_NO_SCHED_CYCLE_CORE_2,3201,3201
