stat,raw_value,agg_value
INST_COUNT_TOT,253472,253472
UOP_COUNT_TOT,253472,253472
CYC_COUNT_TOT,20924110,20924110
EXE_TIME,16,16
NUM_REPEAT,0,0
CYC_COUNT_X86,0,0
CYC_COUNT_ACC,20924109,20924109
AVG_BLOCK_EXE_CYCLE,326120283,326120283
AVG_BLOCK_EXE_CYCLE_BASE,16,16
PROGRESS_ERROR,0,0
FILE_OPEN_ERROR,0,0
NUM_THREAD,0,0
APPL_CYC_COUNT_BASE0,1,1
APPL_CYC_COUNT_BASE1,0,0
APPL_CYC_COUNT_BASE2,0,0
APPL_CYC_COUNT_BASE3,0,0
APPL_CYC_COUNT_BASE4,0,0
APPL_CYC_COUNT1,0,NaN
APPL_CYC_COUNT2,0,NaN
APPL_CYC_COUNT3,0,NaN
APPL_CYC_COUNT4,0,NaN
CPI_DELTA_BASE0,0,0
CPI_DELTA_BASE1,0,0
CPI_DELTA_BASE2,0,0
CPI_DELTA_BASE3,0,0
CPI_DELTA_BASE4,0,0
CPI_DELTA0,0,NaN
CPI_DELTA1,0,NaN
CPI_DELTA2,0,NaN
CPI_DELTA3,0,NaN
CPI_DELTA4,0,NaN
CYCLE_CPU,0,0
CYCLE_GPU,0,0
INST_COUNT_CORE_0,15842,15842
UOP_COUNT_CORE_0,15842,15842
CYC_COUNT_CORE_0,24829,24829
INST_COUNT_CORE_1,15842,15842
UOP_COUNT_CORE_1,15842,15842
CYC_COUNT_CORE_1,25996,25996
INST_COUNT_CORE_2,15842,15842
UOP_COUNT_CORE_2,15842,15842
CYC_COUNT_CORE_2,25986,25986
INST_COUNT_CORE_3,15842,15842
UOP_COUNT_CORE_3,15842,15842
CYC_COUNT_CORE_3,25664,25664
INST_COUNT_CORE_4,15842,15842
UOP_COUNT_CORE_4,15842,15842
CYC_COUNT_CORE_4,26070,26070
INST_COUNT_CORE_5,15842,15842
UOP_COUNT_CORE_5,15842,15842
CYC_COUNT_CORE_5,26620,26620
INST_COUNT_CORE_6,15842,15842
UOP_COUNT_CORE_6,15842,15842
CYC_COUNT_CORE_6,26705,26705
INST_COUNT_CORE_7,15842,15842
UOP_COUNT_CORE_7,15842,15842
CYC_COUNT_CORE_7,25159,25159
INST_COUNT_CORE_8,15842,15842
UOP_COUNT_CORE_8,15842,15842
CYC_COUNT_CORE_8,25776,25776
INST_COUNT_CORE_9,15842,15842
UOP_COUNT_CORE_9,15842,15842
CYC_COUNT_CORE_9,26487,26487
INST_COUNT_CORE_10,15842,15842
UOP_COUNT_CORE_10,15842,15842
CYC_COUNT_CORE_10,26695,26695
INST_COUNT_CORE_11,15842,15842
UOP_COUNT_CORE_11,15842,15842
CYC_COUNT_CORE_11,25378,25378
INST_COUNT_CORE_12,15842,15842
UOP_COUNT_CORE_12,15842,15842
CYC_COUNT_CORE_12,25492,25492
INST_COUNT_CORE_13,15842,15842
UOP_COUNT_CORE_13,15842,15842
CYC_COUNT_CORE_13,26250,26250
INST_COUNT_CORE_14,15842,15842
UOP_COUNT_CORE_14,15842,15842
CYC_COUNT_CORE_14,26686,26686
INST_COUNT_CORE_15,15842,15842
UOP_COUNT_CORE_15,15842,15842
CYC_COUNT_CORE_15,26724,26724
INST_COUNT_CORE_16,0,0
UOP_COUNT_CORE_16,0,0
CYC_COUNT_CORE_16,0,0
INST_COUNT_CORE_17,0,0
UOP_COUNT_CORE_17,0,0
CYC_COUNT_CORE_17,0,0
INST_COUNT_CORE_18,0,0
UOP_COUNT_CORE_18,0,0
CYC_COUNT_CORE_18,0,0
INST_COUNT_CORE_19,0,0
UOP_COUNT_CORE_19,0,0
CYC_COUNT_CORE_19,0,0
