stat,raw_value,agg_value
BP_MISPRED_STALL_CORE_0,30,30
BP_RESOLVED_CORE_0,19,19
BP_REDIRECT_RESOLVED_CORE_0,0,0
PERFECT_TARGET_PRED_CORE_0,0,0
BP_ON_PATH_CORRECT_CORE_0,6663,99.7157%
BP_ON_PATH_MISPREDICT_CORE_0,19,0.284346%
BP_ON_PATH_MISFETCH_CORE_0,0,0%
BP_MISPRED_STALL_CORE_1,30,30
BP_RESOLVED_CORE_1,19,19
BP_REDIRECT_RESOLVED_CORE_1,0,0
PERFECT_TARGET_PRED_CORE_1,0,0
BP_ON_PATH_CORRECT_CORE_1,6663,99.7157%
BP_ON_PATH_MISPREDICT_CORE_1,19,0.284346%
BP_ON_PATH_MISFETCH_CORE_1,0,0%
BP_MISPRED_STALL_CORE_2,45,45
BP_RESOLVED_CORE_2,22,22
BP_REDIRECT_RESOLVED_CORE_2,0,0
PERFECT_TARGET_PRED_CORE_2,0,0
BP_ON_PATH_CORRECT_CORE_2,6660,99.6708%
BP_ON_PATH_MISPREDICT_CORE_2,22,0.329243%
BP_ON_PATH_MISFETCH_CORE_2,0,0%
BP_MISPRED_STALL_CORE_3,25,25
BP_RESOLVED_CORE_3,17,17
BP_REDIRECT_RESOLVED_CORE_3,0,0
PERFECT_TARGET_PRED_CORE_3,0,0
BP_ON_PATH_CORRECT_CORE_3,6151,99.7244%
BP_ON_PATH_MISPREDICT_CORE_3,17,0.275616%
BP_ON_PATH_MISFETCH_CORE_3,0,0%
BP_MISPRED_STALL_CORE_4,15,15
BP_RESOLVED_CORE_4,16,16
BP_REDIRECT_RESOLVED_CORE_4,0,0
PERFECT_TARGET_PRED_CORE_4,0,0
BP_ON_PATH_CORRECT_CORE_4,6666,99.7606%
BP_ON_PATH_MISPREDICT_CORE_4,16,0.239449%
BP_ON_PATH_MISFETCH_CORE_4,0,0%
BP_MISPRED_STALL_CORE_5,40,40
BP_RESOLVED_CORE_5,21,21
BP_REDIRECT_RESOLVED_CORE_5,0,0
