stat,raw_value,agg_value
DRAM_PRECHARGE,0,0
DRAM_ACTIVATE,2,2
DRAM_COLUMN,98,98
DRAM_AVG_LATENCY_BASE,98,98
DRAM_AVG_LATENCY,32417,330.786
BANDWIDTH_TOT,12416,12416
DRAM_CHANNEL0_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL1_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL2_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL3_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL4_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL5_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL6_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL7_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL0_DBUS_IDLE,213968,213968
DRAM_CHANNEL1_DBUS_IDLE,213984,213984
DRAM_CHANNEL2_DBUS_IDLE,212448,212448
DRAM_CHANNEL3_DBUS_IDLE,213984,213984
DRAM_CHANNEL4_DBUS_IDLE,0,0
DRAM_CHANNEL5_DBUS_IDLE,0,0
DRAM_CHANNEL6_DBUS_IDLE,0,0
DRAM_CHANNEL7_DBUS_IDLE,0,0
