stat,raw_value,agg_value
AVG_MEMORY_LATENCY_BASE,277348,277348
AVG_MEMORY_LATENCY,74037608,266.948
MSHR_FULL,0,0
TOTAL_MEMORY,277348,277348
TOTAL_MEMORY_MERGE,152334,0.549252
TOTAL_WB,0,0
L1_WB,0,NaN
L2_WB,0,NaN
LLC_WB,0,NaN
TOTAL_DRAM,41608,41608
TOTAL_DRAM_MERGE,0,0
L1_HIT_CPU,0,0
L1_HIT_GPU,320,320
L1_MISS_CPU,0,0
L1_MISS_GPU,270016,270016
L2_HIT_CPU,0,0
L2_HIT_GPU,0,0
L2_MISS_CPU,0,0
L2_MISS_GPU,125014,125014
L3_HIT_CPU,0,0
L3_HIT_GPU,0,0
L3_MISS_CPU,0,0
L3_MISS_GPU,125014,125014
LLC_HIT_CPU,0,0
LLC_HIT_GPU,83406,83406
LLC_MISS_CPU,0,0
LLC_MISS_GPU,41608,41608
LLC_HIT_PROMOTION_CPU,0,0
LLC_HIT_PROMOTION_GPU,0,0
FETCH_THREAD_SKIP_LD_WAIT,0,0
FETCH_THREAD_SKIP_BR_WAIT,0,0
FETCH_THREAD_SKIP_SCHED_WAIT,0,0
NUM_MUL_TRANS_CM_TM_DM_INST,0,0
NUM_MUL_TRANS_CM_TM_DM,0,NaN
CONST_CACHE_HIT,0,0
CONST_CACHE_MISS,0,0
CONST_CACHE_MISS_NO_EXECUTE,0,0
CONST_CACHE_ACCESS,0,0
TEXTURE_CACHE_HIT,0,0
TEXTURE_CACHE_MISS,0,0
TEXTURE_CACHE_NO_EXECUTE,0,0
TEXTURE_CACHE_ACCESS,0,0
SHARED_MEM_INST,0,0
SHARED_MEM_ACCESS,8716288,8716288
CACHE_BANK_BUSY,555,555
ICACHE_MISS_TOTAL,7332,7332
TOTAL_CAGE_PERIOD,0,0
TOTAL_CAGE_APPL0,0,NaN
TOTAL_CAGE_APPL1,0,NaN
TOTAL_CAGE_APPL2,0,NaN
TOTAL_CAGE_APPL3,0,NaN
TOTAL_CAGE_APPL4,0,NaN
ABIP_AVG_RATIO_BASE,0,0
ABIP_AVG_RATIO,0,NaN
TOTAL_WRITE_ACKS,8192,8192
TOTAL_WRITES,8192,8192
NUM_PHYSICAL_PAGES,0,0
UNIQUE_PAGE,0,0
REALLOCATION,0,0
EVICTION,0,0
AVG_PAGE_FAULTS_PER_BATCH_BASE,0,0
AVG_PAGE_FAULTS_PER_BATCH,0,NaN
MAX_PAGE_FAULTS_PER_BATCH,0,NaN
LD_NO_FORWARD,262144,100%
FORWARDED_LD,0,0%
MEM_STALL_CYCLE_CORE_0,0,0
ICACHE_FILL_CORE_0,95,95
NUM_WRITE_ACKS_CORE_0,96,96
NUM_WRITES_CORE_0,96,96
ICACHE_HIT_CORE_0,176550,99.9462%
ICACHE_MISS_CORE_0,95,0.0537802%
MEM_STALL_CYCLE_CORE_1,0,0
ICACHE_FILL_CORE_1,95,95
NUM_WRITE_ACKS_CORE_1,96,96
NUM_WRITES_CORE_1,96,96
ICACHE_HIT_CORE_1,176550,99.9462%
ICACHE_MISS_CORE_1,95,0.0537802%
MEM_STALL_CYCLE_CORE_2,0,0
ICACHE_FILL_CORE_2,95,95
NUM_WRITE_ACKS_CORE_2,96,96
NUM_WRITES_CORE_2,96,96
ICACHE_HIT_CORE_2,176550,99.9462%
ICACHE_MISS_CORE_2,95,0.0537802%
MEM_STALL_CYCLE_CORE_3,0,0
ICACHE_FILL_CORE_3,95,95
NUM_WRITE_ACKS_CORE_3,96,96
NUM_WRITES_CORE_3,96,96
