stat,raw_value,agg_value
DRAM_PRECHARGE,0,0
DRAM_ACTIVATE,101,101
DRAM_COLUMN,1539,1539
DRAM_AVG_LATENCY_BASE,1539,1539
DRAM_AVG_LATENCY,253919,164.99
BANDWIDTH_TOT,196800,196800
DRAM_CHANNEL0_BANDWIDTH_SATURATED,3993,3993
DRAM_CHANNEL1_BANDWIDTH_SATURATED,3116,3116
DRAM_CHANNEL2_BANDWIDTH_SATURATED,4666,4666
DRAM_CHANNEL3_BANDWIDTH_SATURATED,3581,3581
DRAM_CHANNEL4_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL5_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL6_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL7_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL0_DBUS_IDLE,934536,934536
DRAM_CHANNEL1_DBUS_IDLE,933952,933952
DRAM_CHANNEL2_DBUS_IDLE,933200,933200
DRAM_CHANNEL3_DBUS_IDLE,933904,933904
DRAM_CHANNEL4_DBUS_IDLE,0,0
DRAM_CHANNEL5_DBUS_IDLE,0,0
DRAM_CHANNEL6_DBUS_IDLE,0,0
DRAM_CHANNEL7_DBUS_IDLE,0,0
