stat,raw_value,agg_value
INST_COUNT_TOT,253472,253472
UOP_COUNT_TOT,253472,253472
CYC_COUNT_TOT,646276,646276
EXE_TIME,8,8
NUM_REPEAT,0,0
CYC_COUNT_X86,0,0
CYC_COUNT_ACC,646275,646275
AVG_BLOCK_EXE_CYCLE,10205720,10205720
AVG_BLOCK_EXE_CYCLE_BASE,16,16
PROGRESS_ERROR,0,0
FILE_OPEN_ERROR,0,0
NUM_THREAD,0,0
APPL_CYC_COUNT_BASE0,1,1
APPL_CYC_COUNT_BASE1,0,0
APPL_CYC_COUNT_BASE2,0,0
APPL_CYC_COUNT_BASE3,0,0
APPL_CYC_COUNT_BASE4,0,0
APPL_CYC_COUNT0,646275,646275
APPL_CYC_COUNT1,0,NaN
APPL_CYC_COUNT2,0,NaN
APPL_CYC_COUNT3,0,NaN
APPL_CYC_COUNT4,0,NaN
CPI_DELTA_BASE0,0,0
CPI_DELTA_BASE1,0,0
CPI_DELTA_BASE2,0,0
CPI_DELTA_BASE3,0,0
CPI_DELTA_BASE4,0,0
CPI_DELTA0,0,NaN
CPI_DELTA1,0,NaN
CPI_DELTA2,0,NaN
CPI_DELTA3,0,NaN
CPI_DELTA4,0,NaN
CYCLE_CPU,0,0
CYCLE_GPU,0,0
INST_COUNT_CORE_0,15842,15842
UOP_COUNT_CORE_0,15842,15842
CYC_COUNT_CORE_0,17960,17960
INST_COUNT_CORE_1,15842,15842
UOP_COUNT_CORE_1,15842,15842
CYC_COUNT_CORE_1,18011,18011
INST_COUNT_CORE_2,15842,15842
UOP_COUNT_CORE_2,15842,15842
CYC_COUNT_CORE_2,18145,18145
INST_COUNT_CORE_3,15842,15842
UOP_COUNT_CORE_3,15842,15842
CYC_COUNT_CORE_3,18173,18173
INST_COUNT_CORE_4,15842,15842
UOP_COUNT_CORE_4,15842,15842
CYC_COUNT_CORE_4,18019,18019
INST_COUNT_CORE_5,15842,15842
UOP_COUNT_CORE_5,15842,15842
CYC_COUNT_CORE_5,18094,18094
INST_COUNT_CORE_6,15842,15842
UOP_COUNT_CORE_6,15842,15842
CYC_COUNT_CORE_6,18185,18185
INST_COUNT_CORE_7,15842,15842
UOP_COUNT_CORE_7,15842,15842
CYC_COUNT_CORE_7,18228,18228
INST_COUNT_CORE_8,15842,15842
UOP_COUNT_CORE_8,15842,15842
CYC_COUNT_CORE_8,18220,18220
INST_COUNT_CORE_9,15842,15842
UOP_COUNT_CORE_9,15842,15842
CYC_COUNT_CORE_9,18255,18255
INST_COUNT_CORE_10,15842,15842
UOP_COUNT_CORE_10,15842,15842
CYC_COUNT_CORE_10,18321,18321
INST_COUNT_CORE_11,15842,15842
UOP_COUNT_CORE_11,15842,15842
CYC_COUNT_CORE_11,18363,18363
INST_COUNT_CORE_12,15842,15842
UOP_COUNT_CORE_12,15842,15842
CYC_COUNT_CORE_12,18368,18368
INST_COUNT_CORE_13,15842,15842
UOP_COUNT_CORE_13,15842,15842
CYC_COUNT_CORE_13,18379,18379
INST_COUNT_CORE_14,15842,15842
UOP_COUNT_CORE_14,15842,15842
CYC_COUNT_CORE_14,18421,18421
INST_COUNT_CORE_15,15842,15842
UOP_COUNT_CORE_15,15842,15842
