stat,raw_value,agg_value
DRAM_PRECHARGE,8311,8311
DRAM_ACTIVATE,8567,8567
DRAM_COLUMN,68100,68100
DRAM_AVG_LATENCY_BASE,68100,68100
DRAM_AVG_LATENCY,4481281,65.8044
BANDWIDTH_TOT,8716544,8716544
DRAM_CHANNEL0_BANDWIDTH_SATURATED,147702,147702
DRAM_CHANNEL1_BANDWIDTH_SATURATED,149185,149185
DRAM_CHANNEL2_BANDWIDTH_SATURATED,149986,149986
DRAM_CHANNEL3_BANDWIDTH_SATURATED,148874,148874
DRAM_CHANNEL4_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL5_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL6_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL7_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL0_DBUS_IDLE,20531584,20531584
DRAM_CHANNEL1_DBUS_IDLE,20531616,20531616
DRAM_CHANNEL2_DBUS_IDLE,20529584,20529584
DRAM_CHANNEL3_DBUS_IDLE,20529616,20529616
DRAM_CHANNEL4_DBUS_IDLE,0,0
DRAM_CHANNEL5_DBUS_IDLE,0,0
DRAM_CHANNEL6_DBUS_IDLE,0,0
DRAM_CHANNEL7_DBUS_IDLE,0,0
