stat,raw_value,agg_value
DRAM_PRECHARGE,0,0
DRAM_ACTIVATE,67,67
DRAM_COLUMN,1027,1027
DRAM_AVG_LATENCY_BASE,1027,1027
DRAM_AVG_LATENCY,983948,958.08
BANDWIDTH_TOT,131264,131264
DRAM_CHANNEL0_BANDWIDTH_SATURATED,14625,14625
DRAM_CHANNEL1_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL2_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL3_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL4_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL5_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL6_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL7_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL0_DBUS_IDLE,657992,657992
DRAM_CHANNEL1_DBUS_IDLE,0,0
DRAM_CHANNEL2_DBUS_IDLE,0,0
DRAM_CHANNEL3_DBUS_IDLE,0,0
DRAM_CHANNEL4_DBUS_IDLE,0,0
DRAM_CHANNEL5_DBUS_IDLE,0,0
DRAM_CHANNEL6_DBUS_IDLE,0,0
DRAM_CHANNEL7_DBUS_IDLE,0,0
