stat,raw_value,agg_value
INST_COUNT_TOT,285824,285824
UOP_COUNT_TOT,285824,285824
CYC_COUNT_TOT,39114765,39114765
EXE_TIME,0,0
NUM_REPEAT,0,0
CYC_COUNT_X86,0,0
CYC_COUNT_ACC,39114765,39114765
AVG_BLOCK_EXE_CYCLE,22981606761,22981606761
AVG_BLOCK_EXE_CYCLE_BASE,1024,1024
PROGRESS_ERROR,0,0
FILE_OPEN_ERROR,0,0
NUM_THREAD,0,0
APPL_CYC_COUNT_BASE0,1,1
APPL_CYC_COUNT_BASE1,0,0
APPL_CYC_COUNT_BASE2,0,0
APPL_CYC_COUNT_BASE3,0,0
APPL_CYC_COUNT_BASE4,0,0
APPL_CYC_COUNT1,0,NaN
APPL_CYC_COUNT2,0,NaN
APPL_CYC_COUNT3,0,NaN
APPL_CYC_COUNT4,0,NaN
CPI_DELTA_BASE0,0,0
CPI_DELTA_BASE1,0,0
CPI_DELTA_BASE2,0,0
CPI_DELTA_BASE3,0,0
CPI_DELTA_BASE4,0,0
CPI_DELTA0,0,NaN
CPI_DELTA1,0,NaN
CPI_DELTA2,0,NaN
CPI_DELTA3,0,NaN
CPI_DELTA4,0,NaN
CYCLE_CPU,0,0
CYCLE_GPU,0,0
INST_COUNT_CORE_0,17864,17864
UOP_COUNT_CORE_0,17864,17864
CYC_COUNT_CORE_0,46518,46518
INST_COUNT_CORE_1,17864,17864
UOP_COUNT_CORE_1,17864,17864
CYC_COUNT_CORE_1,45342,45342
INST_COUNT_CORE_2,17864,17864
UOP_COUNT_CORE_2,17864,17864
CYC_COUNT_CORE_2,46855,46855
INST_COUNT_CORE_3,17864,17864
UOP_COUNT_CORE_3,17864,17864
CYC_COUNT_CORE_3,47960,47960
INST_COUNT_CORE_4,13398,13398
UOP_COUNT_CORE_4,13398,13398
CYC_COUNT_CORE_4,36918,36918
INST_COUNT_CORE_5,13398,13398
UOP_COUNT_CORE_5,13398,13398
CYC_COUNT_CORE_5,38641,38641
INST_COUNT_CORE_6,13398,13398
UOP_COUNT_CORE_6,13398,13398
CYC_COUNT_CORE_6,41152,41152
INST_COUNT_CORE_7,13398,13398
UOP_COUNT_CORE_7,13398,13398
CYC_COUNT_CORE_7,42338,42338
INST_COUNT_CORE_8,13398,13398
UOP_COUNT_CORE_8,13398,13398
CYC_COUNT_CORE_8,43494,43494
INST_COUNT_CORE_9,13398,13398
UOP_COUNT_CORE_9,13398,13398
CYC_COUNT_CORE_9,43337,43337
INST_COUNT_CORE_10,13398,13398
UOP_COUNT_CORE_10,13398,13398
CYC_COUNT_CORE_10,44003,44003
INST_COUNT_CORE_11,13398,13398
UOP_COUNT_CORE_11,13398,13398
CYC_COUNT_CORE_11,44658,44658
INST_COUNT_CORE_12,13398,13398
UOP_COUNT_CORE_12,13398,13398
CYC_COUNT_CORE_12,45039,45039
INST_COUNT_CORE_13,13398,13398
UOP_COUNT_CORE_13,13398,13398
CYC_COUNT_CORE_13,45155,45155
INST_COUNT_CORE_14,13398,13398
UOP_COUNT_CORE_14,13398,13398
CYC_COUNT_CORE_14,45794,45794
INST_COUNT_CORE_15,13398,13398
UOP_COUNT_CORE_15,13398,13398
CYC_COUNT_CORE_15,46198,46198
INST_COUNT_CORE_16,13398,13398
UOP_COUNT_CORE_16,13398,13398
CYC_COUNT_CORE_16,46242,46242
INST_COUNT_CORE_17,13398,13398
UOP_COUNT_CORE_17,13398,13398
CYC_COUNT_CORE_17,46736,46736
INST_COUNT_CORE_18,13398,13398
UOP_COUNT_CORE_18,13398,13398
CYC_COUNT_CORE_18,47359,47359
INST_COUNT_CORE_19,13398,13398
UOP_COUNT_CORE_19,13398,13398
CYC_COUNT_CORE_19,47837,47837
