stat,raw_value,agg_value
AVG_MEMORY_LATENCY_BASE,8544,8544
AVG_MEMORY_LATENCY,6489640,759.555
MSHR_FULL,0,0
TOTAL_MEMORY,8544,8544
TOTAL_MEMORY_MERGE,601,0.0703418
TOTAL_WB,0,0
L1_WB,0,NaN
L2_WB,0,NaN
LLC_WB,0,NaN
TOTAL_DRAM,387,387
TOTAL_DRAM_MERGE,128,0.330749
L1_HIT_CPU,0,0
L1_HIT_GPU,3616,3616
L1_MISS_CPU,0,0
L1_MISS_GPU,8160,8160
L2_HIT_CPU,0,0
L2_HIT_GPU,0,0
L2_MISS_CPU,0,0
L2_MISS_GPU,7943,7943
L3_HIT_CPU,0,0
L3_HIT_GPU,0,0
L3_MISS_CPU,0,0
L3_MISS_GPU,7943,7943
LLC_HIT_CPU,0,0
LLC_HIT_GPU,7556,7556
LLC_MISS_CPU,0,0
LLC_MISS_GPU,387,387
LLC_HIT_PROMOTION_CPU,0,0
LLC_HIT_PROMOTION_GPU,0,0
FETCH_THREAD_SKIP_LD_WAIT,0,0
FETCH_THREAD_SKIP_BR_WAIT,0,0
FETCH_THREAD_SKIP_SCHED_WAIT,0,0
NUM_MUL_TRANS_CM_TM_DM_INST,0,0
NUM_MUL_TRANS_CM_TM_DM,0,NaN
CONST_CACHE_HIT,0,0
CONST_CACHE_MISS,0,0
CONST_CACHE_MISS_NO_EXECUTE,0,0
CONST_CACHE_ACCESS,0,0
TEXTURE_CACHE_HIT,0,0
TEXTURE_CACHE_MISS,0,0
TEXTURE_CACHE_NO_EXECUTE,0,0
TEXTURE_CACHE_ACCESS,0,0
SHARED_MEM_INST,0,0
SHARED_MEM_ACCESS,12032,12032
CACHE_BANK_BUSY,1152,1152
ICACHE_MISS_TOTAL,384,384
TOTAL_CAGE_PERIOD,0,0
TOTAL_CAGE_APPL0,0,NaN
TOTAL_CAGE_APPL1,0,NaN
TOTAL_CAGE_APPL2,0,NaN
TOTAL_CAGE_APPL3,0,NaN
TOTAL_CAGE_APPL4,0,NaN
ABIP_AVG_RATIO_BASE,0,0
ABIP_AVG_RATIO,0,NaN
