stat,raw_value,agg_value
DISPATCHED_INST,35728,35728
DISPATCH_WAIT,2274743,63.6684
NUM_NO_FETCH_CYCLES,10547,10547
AVG_CORE_IDLE_CYCLE,22059,22059
REEXEC_NUM,0,0
INV_MATCH_NUM,0,0
EARLY_PERM_NUM,0,0
PERM_MATCH_NUM,0,0
RETIRE_SPECLD_NUM,0,0
RETIRE_SPECST_NUM,0,0
FENCE_HEAD_ROB_WAIT,0,0
NUM_SAMPLES_CORE_0,21820,21820
NUM_ACTIVE_BLOCKS_CORE_0,21790,0.998625
NUM_ACTIVE_THREADS_CORE_0,167096,7.65793
NUM_SCHED_IDLE_CYCLE_CORE_0,0,0
NUM_NO_SCHED_CYCLE_CORE_0,5185,5185
CORE_DISPATCHED_INST_CORE_0,8932,8932
CORE_DISPATCH_WAIT_CORE_0,568254,63.62
CORE_CYCLES_CORE_0,0,0
CORE_SCHED_THREADS_CORE_0,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_0,2641,2641
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_0,0,0
CORE_NUM_FETCH_CYCLES_CORE_0,0,0
CORE_FETCH_DELTA_CORE_0,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_0,0,0
CORE_RETIRE_DELTA_CORE_0,0,NaN
FENCE_PREF_REQ_CORE_0,0,0
FENCE_WAITING_CORE_0,0,0
DYN_FENCE_NUM_CORE_0,0,0
WB_ORDERING_STALL_CORE_0,0,0
WB_FULL_CORE_0,0,0
FENCE_TOT_CYCLES_CORE_0,0,0
FENCE_EXEC_CYCLES_CORE_0,0,0
STORE_RES_CORE_0,0,0
STORE_NUM_CORE_0,0,0
STORE_WB_FREE_CORE_0,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_0,8932,24.8941%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_0,25186,70.1951%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_0,1758,4.89967%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_0,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_0,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_0,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_0,4,0.0111483%
NUM_SAMPLES_CORE_1,22513,22513
NUM_ACTIVE_BLOCKS_CORE_1,22483,0.998667
NUM_ACTIVE_THREADS_CORE_1,172898,7.67992
NUM_SCHED_IDLE_CYCLE_CORE_1,0,0
NUM_NO_SCHED_CYCLE_CORE_1,5382,5382
CORE_DISPATCHED_INST_CORE_1,8932,8932
CORE_DISPATCH_WAIT_CORE_1,568401,63.6365
CORE_CYCLES_CORE_1,0,0
CORE_SCHED_THREADS_CORE_1,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_1,2632,2632
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_1,0,0
CORE_NUM_FETCH_CYCLES_CORE_1,0,0
CORE_FETCH_DELTA_CORE_1,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_1,0,0
CORE_RETIRE_DELTA_CORE_1,0,NaN
FENCE_PREF_REQ_CORE_1,0,0
FENCE_WAITING_CORE_1,0,0
DYN_FENCE_NUM_CORE_1,0,0
WB_ORDERING_STALL_CORE_1,0,0
WB_FULL_CORE_1,0,0
FENCE_TOT_CYCLES_CORE_1,0,0
FENCE_EXEC_CYCLES_CORE_1,0,0
STORE_RES_CORE_1,0,0
STORE_NUM_CORE_1,0,0
STORE_WB_FREE_CORE_1,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_1,8932,24.8878%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_1,25292,70.4728%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_1,1657,4.61701%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_1,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_1,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_1,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_1,8,0.022291%
NUM_SAMPLES_CORE_2,22837,22837
NUM_ACTIVE_BLOCKS_CORE_2,22806,0.998643
NUM_ACTIVE_THREADS_CORE_2,177182,7.75855
NUM_SCHED_IDLE_CYCLE_CORE_2,0,0
NUM_NO_SCHED_CYCLE_CORE_2,5638,5638
CORE_DISPATCHED_INST_CORE_2,8932,8932
CORE_DISPATCH_WAIT_CORE_2,569317,63.739
CORE_CYCLES_CORE_2,0,0
CORE_SCHED_THREADS_CORE_2,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_2,2640,2640
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_2,0,0
CORE_NUM_FETCH_CYCLES_CORE_2,0,0
CORE_FETCH_DELTA_CORE_2,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_2,0,0
CORE_RETIRE_DELTA_CORE_2,0,NaN
FENCE_PREF_REQ_CORE_2,0,0
FENCE_WAITING_CORE_2,0,0
DYN_FENCE_NUM_CORE_2,0,0
WB_ORDERING_STALL_CORE_2,0,0
WB_FULL_CORE_2,0,0
FENCE_TOT_CYCLES_CORE_2,0,0
FENCE_EXEC_CYCLES_CORE_2,0,0
STORE_RES_CORE_2,0,0
STORE_NUM_CORE_2,0,0
STORE_WB_FREE_CORE_2,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_2,8932,24.7932%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_2,25345,70.352%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_2,1745,4.84372%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_2,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_2,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_2,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_2,4,0.0111031%
NUM_SAMPLES_CORE_3,23135,23135
NUM_ACTIVE_BLOCKS_CORE_3,23129,0.999741
NUM_ACTIVE_THREADS_CORE_3,179039,7.73888
NUM_SCHED_IDLE_CYCLE_CORE_3,0,0
NUM_NO_SCHED_CYCLE_CORE_3,5854,5854
CORE_DISPATCHED_INST_CORE_3,8932,8932
CORE_DISPATCH_WAIT_CORE_3,568771,63.6779
CORE_CYCLES_CORE_3,0,0
