stat,raw_value,agg_value
BP_MISPRED_STALL_CORE_0,246,246
BP_RESOLVED_CORE_0,2,2
BP_REDIRECT_RESOLVED_CORE_0,0,0
PERFECT_TARGET_PRED_CORE_0,0,0
BP_ON_PATH_CORRECT_CORE_0,32,94.1176%
BP_ON_PATH_MISPREDICT_CORE_0,2,5.88235%
BP_ON_PATH_MISFETCH_CORE_0,0,0%
BP_MISPRED_STALL_CORE_1,246,246
BP_RESOLVED_CORE_1,2,2
BP_REDIRECT_RESOLVED_CORE_1,0,0
PERFECT_TARGET_PRED_CORE_1,0,0
BP_ON_PATH_CORRECT_CORE_1,32,94.1176%
BP_ON_PATH_MISPREDICT_CORE_1,2,5.88235%
BP_ON_PATH_MISFETCH_CORE_1,0,0%
BP_MISPRED_STALL_CORE_2,245,245
BP_RESOLVED_CORE_2,2,2
BP_REDIRECT_RESOLVED_CORE_2,0,0
PERFECT_TARGET_PRED_CORE_2,0,0
BP_ON_PATH_CORRECT_CORE_2,32,94.1176%
BP_ON_PATH_MISPREDICT_CORE_2,2,5.88235%
BP_ON_PATH_MISFETCH_CORE_2,0,0%
BP_MISPRED_STALL_CORE_3,246,246
BP_RESOLVED_CORE_3,2,2
BP_REDIRECT_RESOLVED_CORE_3,0,0
PERFECT_TARGET_PRED_CORE_3,0,0
BP_ON_PATH_CORRECT_CORE_3,32,94.1176%
BP_ON_PATH_MISPREDICT_CORE_3,2,5.88235%
BP_ON_PATH_MISFETCH_CORE_3,0,0%
BP_MISPRED_STALL_CORE_4,245,245
BP_RESOLVED_CORE_4,2,2
BP_REDIRECT_RESOLVED_CORE_4,0,0
PERFECT_TARGET_PRED_CORE_4,0,0
BP_ON_PATH_CORRECT_CORE_4,32,94.1176%
BP_ON_PATH_MISPREDICT_CORE_4,2,5.88235%
BP_ON_PATH_MISFETCH_CORE_4,0,0%
BP_MISPRED_STALL_CORE_5,246,246
BP_RESOLVED_CORE_5,2,2
BP_REDIRECT_RESOLVED_CORE_5,0,0
PERFECT_TARGET_PRED_CORE_5,0,0
BP_ON_PATH_CORRECT_CORE_5,32,94.1176%
BP_ON_PATH_MISPREDICT_CORE_5,2,5.88235%
BP_ON_PATH_MISFETCH_CORE_5,0,0%
BP_MISPRED_STALL_CORE_6,245,245
BP_RESOLVED_CORE_6,2,2
BP_REDIRECT_RESOLVED_CORE_6,0,0
PERFECT_TARGET_PRED_CORE_6,0,0
BP_ON_PATH_CORRECT_CORE_6,32,94.1176%
BP_ON_PATH_MISPREDICT_CORE_6,2,5.88235%
BP_ON_PATH_MISFETCH_CORE_6,0,0%
BP_MISPRED_STALL_CORE_7,245,245
BP_RESOLVED_CORE_7,2,2
BP_REDIRECT_RESOLVED_CORE_7,0,0
PERFECT_TARGET_PRED_CORE_7,0,0
BP_ON_PATH_CORRECT_CORE_7,32,94.1176%
BP_ON_PATH_MISPREDICT_CORE_7,2,5.88235%
BP_ON_PATH_MISFETCH_CORE_7,0,0%
BP_MISPRED_STALL_CORE_8,245,245
BP_RESOLVED_CORE_8,2,2
BP_REDIRECT_RESOLVED_CORE_8,0,0
PERFECT_TARGET_PRED_CORE_8,0,0
BP_ON_PATH_CORRECT_CORE_8,32,94.1176%
