stat,raw_value,agg_value
INST_COUNT_TOT,285824,285824
UOP_COUNT_TOT,285824,285824
CYC_COUNT_TOT,816021,816021
EXE_TIME,16,16
NUM_REPEAT,0,0
CYC_COUNT_X86,0,0
CYC_COUNT_ACC,816020,816020
AVG_BLOCK_EXE_CYCLE,470025498,470025498
AVG_BLOCK_EXE_CYCLE_BASE,1024,1024
PROGRESS_ERROR,0,0
FILE_OPEN_ERROR,0,0
NUM_THREAD,0,0
APPL_CYC_COUNT_BASE0,1,1
APPL_CYC_COUNT_BASE1,0,0
APPL_CYC_COUNT_BASE2,0,0
APPL_CYC_COUNT_BASE3,0,0
APPL_CYC_COUNT_BASE4,0,0
APPL_CYC_COUNT0,816020,816020
APPL_CYC_COUNT1,0,NaN
APPL_CYC_COUNT2,0,NaN
APPL_CYC_COUNT3,0,NaN
APPL_CYC_COUNT4,0,NaN
CPI_DELTA_BASE0,0,0
CPI_DELTA_BASE1,0,0
CPI_DELTA_BASE2,0,0
CPI_DELTA_BASE3,0,0
CPI_DELTA_BASE4,0,0
CPI_DELTA0,0,NaN
CPI_DELTA1,0,NaN
CPI_DELTA2,0,NaN
CPI_DELTA3,0,NaN
CPI_DELTA4,0,NaN
CYCLE_CPU,0,0
CYCLE_GPU,0,0
INST_COUNT_CORE_0,4466,4466
UOP_COUNT_CORE_0,4466,4466
CYC_COUNT_CORE_0,30635,30635
INST_COUNT_CORE_1,4466,4466
UOP_COUNT_CORE_1,4466,4466
CYC_COUNT_CORE_1,35914,35914
INST_COUNT_CORE_2,4466,4466
UOP_COUNT_CORE_2,4466,4466
CYC_COUNT_CORE_2,36318,36318
INST_COUNT_CORE_3,4466,4466
UOP_COUNT_CORE_3,4466,4466
CYC_COUNT_CORE_3,35791,35791
INST_COUNT_CORE_4,4466,4466
UOP_COUNT_CORE_4,4466,4466
CYC_COUNT_CORE_4,20883,20883
INST_COUNT_CORE_5,4466,4466
UOP_COUNT_CORE_5,4466,4466
CYC_COUNT_CORE_5,31806,31806
INST_COUNT_CORE_6,4466,4466
UOP_COUNT_CORE_6,4466,4466
CYC_COUNT_CORE_6,31680,31680
INST_COUNT_CORE_7,4466,4466
UOP_COUNT_CORE_7,4466,4466
CYC_COUNT_CORE_7,34318,34318
INST_COUNT_CORE_8,4466,4466
UOP_COUNT_CORE_8,4466,4466
CYC_COUNT_CORE_8,36220,36220
INST_COUNT_CORE_9,4466,4466
UOP_COUNT_CORE_9,4466,4466
CYC_COUNT_CORE_9,38361,38361
INST_COUNT_CORE_10,4466,4466
