stat,raw_value,agg_value
DRAM_PRECHARGE,0,0
DRAM_ACTIVATE,3,3
DRAM_COLUMN,67,67
DRAM_AVG_LATENCY_BASE,67,67
DRAM_AVG_LATENCY,31387,468.463
BANDWIDTH_TOT,8384,8384
DRAM_CHANNEL0_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL1_BANDWIDTH_SATURATED,117,117
DRAM_CHANNEL2_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL3_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL4_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL5_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL6_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL7_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL0_DBUS_IDLE,383436,383436
DRAM_CHANNEL1_DBUS_IDLE,382436,382436
DRAM_CHANNEL2_DBUS_IDLE,383460,383460
DRAM_CHANNEL3_DBUS_IDLE,383460,383460
DRAM_CHANNEL4_DBUS_IDLE,0,0
DRAM_CHANNEL5_DBUS_IDLE,0,0
DRAM_CHANNEL6_DBUS_IDLE,0,0
DRAM_CHANNEL7_DBUS_IDLE,0,0
