stat,raw_value,agg_value
POWER_LLC_LINEFILL_BUF_R,99,99
POWER_LLC_LINEFILL_BUF_W,99,99
POWER_LLC_LINEFILL_BUF_R_TAG,99,99
POWER_LLC_WB_BUF_R,0,0
POWER_LLC_WB_BUF_W,0,0
POWER_LLC_WB_BUF_R_TAG,0,0
POWER_LLC_R,3808,3808
POWER_LLC_W,67,67
POWER_LLC_R_TAG,3907,3907
POWER_MC_R,4099,4099
POWER_MC_W,99,99
POWER_BLOCK_STATES_R_CORE_0,11681,11681
POWER_BLOCK_STATES_W_CORE_0,11681,11681
POWER_FETCH_QUEUE_R_CORE_0,8932,8932
POWER_FETCH_QUEUE_W_CORE_0,8932,8932
POWER_INST_QUEUE_R_CORE_0,14673,14673
POWER_INST_QUEUE_W_CORE_0,8932,8932
POWER_BR_PRED_R_CORE_0,68,68
POWER_BR_PRED_W_CORE_0,68,68
POWER_RAS_R_CORE_0,256,256
POWER_RAS_W_CORE_0,0,0
POWER_ICACHE_R_CORE_0,8932,8932
POWER_ICACHE_W_CORE_0,3,3
POWER_ICACHE_R_TAG_CORE_0,8956,8956
POWER_ICACHE_MISS_BUF_R_CORE_0,0,0
POWER_ICACHE_MISS_BUF_W_CORE_0,48,48
POWER_ICACHE_MISS_BUF_R_TAG_CORE_0,24,24
POWER_ICACHE_MISS_BUF_W_TAG_CORE_0,0,0
POWER_ICACHE_TOT_ACC_CORE_0,0,0
POWER_ICACHE_CONF_CORE_0,0,0
POWER_INST_DECODER_R_CORE_0,8932,8932
POWER_INST_DECODER_W_CORE_0,0,0
POWER_MICRO_OP_SEQ_R_CORE_0,0,0
POWER_MICRO_OP_SEQ_W_CORE_0,0,0
POWER_OPERAND_DECODER_R_CORE_0,8932,8932
POWER_OPERAND_DECODER_W_CORE_0,0,0
POWER_UOP_QUEUE_R_CORE_0,14673,14673
POWER_UOP_QUEUE_W_CORE_0,8932,8932
POWER_REG_RENAMING_TABLE_R_CORE_0,0,0
POWER_REG_RENAMING_TABLE_W_CORE_0,0,0
POWER_DEP_CHECK_LOGIC_R_CORE_0,8932,8932
POWER_FREELIST_R_CORE_0,0,0
POWER_FREELIST_W_CORE_0,0,0
POWER_RESERVATION_STATION_R_CORE_0,11164,11164
POWER_RESERVATION_STATION_W_CORE_0,8932,8932
POWER_RESERVATION_STATION_R_TAG_CORE_0,8932,8932
POWER_RESERVATION_STATION_W_TAG_CORE_0,0,0
POWER_INST_ISSUE_SEL_LOGIC_R_CORE_0,8932,8932
POWER_INST_ISSUE_SEL_LOGIC_W_CORE_0,8932,8932
POWER_PAYLOAD_RAM_R_CORE_0,8932,8932
POWER_PAYLOAD_RAM_W_CORE_0,8932,8932
POWER_EX_ALU_R_CORE_0,6916,6916
POWER_EX_FPU_R_CORE_0,0,0
POWER_EX_MUL_R_CORE_0,0,0
POWER_EX_SFU_R_CORE_0,0,0
POWER_REORDER_BUF_R_CORE_0,0,0
POWER_REORDER_BUF_W_CORE_0,0,0
POWER_INST_COMMIT_SEL_LOGIC_R_CORE_0,0,0
POWER_INST_COMMIT_SEL_LOGIC_W_CORE_0,8932,8932
POWER_FP_RENAME_R_CORE_0,0,0
POWER_FP_RENAME_W_CORE_0,0,0
POWER_LOAD_QUEUE_R_CORE_0,0,0
POWER_LOAD_QUEUE_W_CORE_0,0,0
POWER_LOAD_QUEUE_R_TAG_CORE_0,0,0
POWER_LOAD_QUEUE_W_TAG_CORE_0,0,0
POWER_STORE_QUEUE_R_CORE_0,0,0
POWER_STORE_QUEUE_W_CORE_0,0,0
POWER_STORE_QUEUE_R_TAG_CORE_0,0,0
POWER_STORE_QUEUE_W_TAG_CORE_0,0,0
POWER_DATA_TLB_R_CORE_0,0,0
POWER_DATA_TLB_W_CORE_0,0,0
POWER_DATA_TLB_R_TAG_CORE_0,0,0
POWER_DATA_TLB_W_TAG_CORE_0,0,0
POWER_INT_REGFILE_R_CORE_0,15848,15848
POWER_INT_REGFILE_W_CORE_0,8932,8932
POWER_FP_REGFILE_R_CORE_0,0,0
POWER_FP_REGFILE_W_CORE_0,0,0
POWER_GP_REGISTER_R_CORE_0,15848,15848
POWER_GP_REGISTER_W_CORE_0,8932,8932
POWER_FP_REGISTER_R_CORE_0,0,0
POWER_FP_REGISTER_W_CORE_0,0,0
POWER_SEGMENT_REGISTER_R_CORE_0,2016,2016
POWER_SEGMENT_REGISTER_W_CORE_0,2016,2016
POWER_CONTROL_REGISTER_R_CORE_0,0,0
POWER_CONTROL_REGISTER_W_CORE_0,0,0
POWER_FLAG_REGISTER_R_CORE_0,0,0
POWER_FLAG_REGISTER_W_CORE_0,0,0
POWER_EXEC_BYPASS_CORE_0,8932,8932
POWER_LOAD_BYPASS_CORE_0,2898,2898
POWER_PIPELINE_CORE_0,8932,8932
POWER_DCACHE_MISS_BUF_R_CORE_0,2898,2898
POWER_DCACHE_MISS_BUF_R_TAG_CORE_0,976,976
POWER_DCACHE_MISS_BUF_W_CORE_0,976,976
POWER_DCACHE_MISS_BUF_W_TAG_CORE_0,0,0
POWER_DCACHE_LINEFILL_BUF_R_CORE_0,0,0
POWER_L2CACHE_LINEFILL_BUF_R_CORE_0,966,966
POWER_DCACHE_LINEFILL_BUF_W_CORE_0,966,966
POWER_L2CACHE_LINEFILL_BUF_W_CORE_0,966,966
POWER_DCACHE_LINEFILL_BUF_R_TAG_CORE_0,966,966
POWER_L2CACHE_LINEFILL_BUF_R_TAG_CORE_0,966,966
POWER_DCACHE_LINEFILL_BUF_W_TAG_CORE_0,966,966
POWER_DCACHE_WB_BUF_R_CORE_0,0,0
POWER_L2CACHE_WB_BUF_R_CORE_0,0,0
POWER_DCACHE_WB_BUF_W_CORE_0,0,0
POWER_L2CACHE_WB_BUF_W_CORE_0,0,0
POWER_DCACHE_WB_BUF_R_TAG_CORE_0,0,0
POWER_L2CACHE_WB_BUF_R_TAG_CORE_0,0,0
POWER_DCACHE_WB_BUF_W_TAG_CORE_0,0,0
POWER_DCACHE_R_CORE_0,496,496
POWER_L2CACHE_R_CORE_0,0,0
POWER_DCACHE_W_CORE_0,16,16
POWER_L2CACHE_W_CORE_0,0,0
POWER_DCACHE_R_TAG_CORE_0,1472,1472
POWER_L2CACHE_R_TAG_CORE_0,0,0
POWER_CONST_CACHE_R_CORE_0,0,0
POWER_CONST_CACHE_W_CORE_0,0,0
POWER_CONST_CACHE_R_TAG_CORE_0,0,0
POWER_CONST_CACHE_W_TAG_CORE_0,0,0
POWER_TEXTURE_CACHE_R_CORE_0,0,0
POWER_TEXTURE_CACHE_W_CORE_0,0,0
POWER_TEXTURE_CACHE_R_TAG_CORE_0,0,0
POWER_TEXTURE_CACHE_W_TAG_CORE_0,0,0
POWER_SHARED_MEM_R_CORE_0,1504,1504
POWER_SHARED_MEM_W_CORE_0,0,0
POWER_SHARED_MEM_R_TAG_CORE_0,1504,1504
POWER_SHARED_MEM_W_TAG_CORE_0,0,0
POWER_BLOCK_STATES_R_CORE_1,11713,11713
POWER_BLOCK_STATES_W_CORE_1,11713,11713
POWER_FETCH_QUEUE_R_CORE_1,8932,8932
POWER_FETCH_QUEUE_W_CORE_1,8932,8932
POWER_INST_QUEUE_R_CORE_1,14702,14702
POWER_INST_QUEUE_W_CORE_1,8932,8932
POWER_BR_PRED_R_CORE_1,68,68
POWER_BR_PRED_W_CORE_1,68,68
POWER_RAS_R_CORE_1,256,256
POWER_RAS_W_CORE_1,0,0
POWER_ICACHE_R_CORE_1,8932,8932
POWER_ICACHE_W_CORE_1,3,3
POWER_ICACHE_R_TAG_CORE_1,8956,8956
POWER_ICACHE_MISS_BUF_R_CORE_1,3,3
POWER_ICACHE_MISS_BUF_W_CORE_1,48,48
POWER_ICACHE_MISS_BUF_R_TAG_CORE_1,24,24
POWER_ICACHE_MISS_BUF_W_TAG_CORE_1,0,0
POWER_ICACHE_TOT_ACC_CORE_1,0,0
POWER_ICACHE_CONF_CORE_1,0,0
POWER_INST_DECODER_R_CORE_1,8932,8932
POWER_INST_DECODER_W_CORE_1,0,0
POWER_MICRO_OP_SEQ_R_CORE_1,0,0
POWER_MICRO_OP_SEQ_W_CORE_1,0,0
POWER_OPERAND_DECODER_R_CORE_1,8932,8932
POWER_OPERAND_DECODER_W_CORE_1,0,0
POWER_UOP_QUEUE_R_CORE_1,14702,14702
POWER_UOP_QUEUE_W_CORE_1,8932,8932
POWER_REG_RENAMING_TABLE_R_CORE_1,0,0
POWER_REG_RENAMING_TABLE_W_CORE_1,0,0
POWER_DEP_CHECK_LOGIC_R_CORE_1,8932,8932
POWER_FREELIST_R_CORE_1,0,0
POWER_FREELIST_W_CORE_1,0,0
POWER_RESERVATION_STATION_R_CORE_1,11173,11173
POWER_RESERVATION_STATION_W_CORE_1,8932,8932
POWER_RESERVATION_STATION_R_TAG_CORE_1,8932,8932
POWER_RESERVATION_STATION_W_TAG_CORE_1,0,0
POWER_INST_ISSUE_SEL_LOGIC_R_CORE_1,8932,8932
POWER_INST_ISSUE_SEL_LOGIC_W_CORE_1,8932,8932
POWER_PAYLOAD_RAM_R_CORE_1,8932,8932
POWER_PAYLOAD_RAM_W_CORE_1,8932,8932
POWER_EX_ALU_R_CORE_1,6916,6916
POWER_EX_FPU_R_CORE_1,0,0
POWER_EX_MUL_R_CORE_1,0,0
POWER_EX_SFU_R_CORE_1,0,0
POWER_REORDER_BUF_R_CORE_1,0,0
POWER_REORDER_BUF_W_CORE_1,0,0
POWER_INST_COMMIT_SEL_LOGIC_R_CORE_1,0,0
POWER_INST_COMMIT_SEL_LOGIC_W_CORE_1,8932,8932
POWER_FP_RENAME_R_CORE_1,0,0
POWER_FP_RENAME_W_CORE_1,0,0
POWER_LOAD_QUEUE_R_CORE_1,0,0
POWER_LOAD_QUEUE_W_CORE_1,0,0
POWER_LOAD_QUEUE_R_TAG_CORE_1,0,0
POWER_LOAD_QUEUE_W_TAG_CORE_1,0,0
POWER_STORE_QUEUE_R_CORE_1,0,0
POWER_STORE_QUEUE_W_CORE_1,0,0
POWER_STORE_QUEUE_R_TAG_CORE_1,0,0
POWER_STORE_QUEUE_W_TAG_CORE_1,0,0
POWER_DATA_TLB_R_CORE_1,0,0
POWER_DATA_TLB_W_CORE_1,0,0
POWER_DATA_TLB_R_TAG_CORE_1,0,0
POWER_DATA_TLB_W_TAG_CORE_1,0,0
POWER_INT_REGFILE_R_CORE_1,15848,15848
POWER_INT_REGFILE_W_CORE_1,8932,8932
