stat,raw_value,agg_value
TRACE_READ_COUNT_CORE_0,0,0
TRACE_READ_COUNT_CORE_1,0,0
TRACE_READ_COUNT_CORE_2,0,0
TRACE_READ_COUNT_CORE_3,0,0
TRACE_READ_COUNT_CORE_4,0,0
TRACE_READ_COUNT_CORE_5,0,0
TRACE_READ_COUNT_CORE_6,0,0
TRACE_READ_COUNT_CORE_7,0,0
TRACE_READ_COUNT_CORE_8,0,0
TRACE_READ_COUNT_CORE_9,0,0
TRACE_READ_COUNT_CORE_10,0,0
TRACE_READ_COUNT_CORE_11,0,0
TRACE_READ_COUNT_CORE_12,0,0
TRACE_READ_COUNT_CORE_13,0,0
TRACE_READ_COUNT_CORE_14,0,0
TRACE_READ_COUNT_CORE_15,0,0
TRACE_READ_COUNT_CORE_16,0,0
TRACE_READ_COUNT_CORE_17,0,0
TRACE_READ_COUNT_CORE_18,0,0
TRACE_READ_COUNT_CORE_19,0,0
TRACE_READ_COUNT_CORE_20,0,0
TRACE_READ_COUNT_CORE_21,0,0
TRACE_READ_COUNT_CORE_22,0,0
TRACE_READ_COUNT_CORE_23,0,0
TRACE_READ_COUNT_CORE_24,0,0
TRACE_READ_COUNT_CORE_25,0,0
TRACE_READ_COUNT_CORE_26,0,0
TRACE_READ_COUNT_CORE_27,0,0
TRACE_READ_COUNT_CORE_28,0,0
TRACE_READ_COUNT_CORE_29,0,0
TRACE_READ_COUNT_CORE_30,0,0
TRACE_READ_COUNT_CORE_31,0,0
TRACE_READ_COUNT_CORE_32,0,0
TRACE_READ_COUNT_CORE_33,0,0
TRACE_READ_COUNT_CORE_34,0,0
TRACE_READ_COUNT_CORE_35,0,0
TRACE_READ_COUNT_CORE_36,0,0
TRACE_READ_COUNT_CORE_37,0,0
TRACE_READ_COUNT_CORE_38,0,0
TRACE_READ_COUNT_CORE_39,0,0
TRACE_READ_COUNT_CORE_40,0,0
TRACE_READ_COUNT_CORE_41,0,0
TRACE_READ_COUNT_CORE_42,0,0
TRACE_READ_COUNT_CORE_43,0,0
TRACE_READ_COUNT_CORE_44,0,0
TRACE_READ_COUNT_CORE_45,0,0
