stat,raw_value,agg_value
INST_COUNT_TOT,71456,71456
UOP_COUNT_TOT,71456,71456
CYC_COUNT_TOT,580300,580300
EXE_TIME,0,0
NUM_REPEAT,0,0
CYC_COUNT_X86,0,0
CYC_COUNT_ACC,580300,580300
AVG_BLOCK_EXE_CYCLE,78765331,78765331
AVG_BLOCK_EXE_CYCLE_BASE,256,256
PROGRESS_ERROR,0,0
FILE_OPEN_ERROR,0,0
NUM_THREAD,0,0
APPL_CYC_COUNT_BASE0,1,1
APPL_CYC_COUNT_BASE1,0,0
APPL_CYC_COUNT_BASE2,0,0
APPL_CYC_COUNT_BASE3,0,0
APPL_CYC_COUNT_BASE4,0,0
APPL_CYC_COUNT0,580300,580300
APPL_CYC_COUNT1,0,NaN
APPL_CYC_COUNT2,0,NaN
APPL_CYC_COUNT3,0,NaN
APPL_CYC_COUNT4,0,NaN
CPI_DELTA_BASE0,0,0
CPI_DELTA_BASE1,0,0
CPI_DELTA_BASE2,0,0
CPI_DELTA_BASE3,0,0
CPI_DELTA_BASE4,0,0
CPI_DELTA0,0,NaN
CPI_DELTA1,0,NaN
CPI_DELTA2,0,NaN
CPI_DELTA3,0,NaN
CPI_DELTA4,0,NaN
CYCLE_CPU,0,0
CYCLE_GPU,0,0
INST_COUNT_CORE_0,4466,4466
UOP_COUNT_CORE_0,4466,4466
CYC_COUNT_CORE_0,10474,10474
INST_COUNT_CORE_1,4466,4466
UOP_COUNT_CORE_1,4466,4466
CYC_COUNT_CORE_1,10867,10867
INST_COUNT_CORE_2,4466,4466
UOP_COUNT_CORE_2,4466,4466
CYC_COUNT_CORE_2,11330,11330
INST_COUNT_CORE_3,4466,4466
UOP_COUNT_CORE_3,4466,4466
CYC_COUNT_CORE_3,12064,12064
INST_COUNT_CORE_4,4466,4466
UOP_COUNT_CORE_4,4466,4466
CYC_COUNT_CORE_4,12534,12534
INST_COUNT_CORE_5,4466,4466
UOP_COUNT_CORE_5,4466,4466
CYC_COUNT_CORE_5,13029,13029
INST_COUNT_CORE_6,4466,4466
UOP_COUNT_CORE_6,4466,4466
CYC_COUNT_CORE_6,13550,13550
INST_COUNT_CORE_7,4466,4466
UOP_COUNT_CORE_7,4466,4466
CYC_COUNT_CORE_7,14137,14137
INST_COUNT_CORE_8,4466,4466
UOP_COUNT_CORE_8,4466,4466
CYC_COUNT_CORE_8,14348,14348
INST_COUNT_CORE_9,4466,4466
UOP_COUNT_CORE_9,4466,4466
CYC_COUNT_CORE_9,14796,14796
INST_COUNT_CORE_10,4466,4466
UOP_COUNT_CORE_10,4466,4466
CYC_COUNT_CORE_10,15137,15137
INST_COUNT_CORE_11,4466,4466
UOP_COUNT_CORE_11,4466,4466
CYC_COUNT_CORE_11,15484,15484
INST_COUNT_CORE_12,4466,4466
UOP_COUNT_CORE_12,4466,4466
CYC_COUNT_CORE_12,15818,15818
INST_COUNT_CORE_13,4466,4466
UOP_COUNT_CORE_13,4466,4466
CYC_COUNT_CORE_13,16104,16104
INST_COUNT_CORE_14,4466,4466
UOP_COUNT_CORE_14,4466,4466
CYC_COUNT_CORE_14,16369,16369
INST_COUNT_CORE_15,4466,4466
UOP_COUNT_CORE_15,4466,4466
CYC_COUNT_CORE_15,16349,16349
INST_COUNT_CORE_16,0,0
UOP_COUNT_CORE_16,0,0
CYC_COUNT_CORE_16,0,0
INST_COUNT_CORE_17,0,0
UOP_COUNT_CORE_17,0,0
CYC_COUNT_CORE_17,0,0
INST_COUNT_CORE_18,0,0
UOP_COUNT_CORE_18,0,0
CYC_COUNT_CORE_18,0,0
INST_COUNT_CORE_19,0,0
UOP_COUNT_CORE_19,0,0
CYC_COUNT_CORE_19,0,0
INST_COUNT_CORE_20,0,0
UOP_COUNT_CORE_20,0,0
CYC_COUNT_CORE_20,0,0
INST_COUNT_CORE_21,0,0
UOP_COUNT_CORE_21,0,0
CYC_COUNT_CORE_21,0,0
INST_COUNT_CORE_22,0,0
UOP_COUNT_CORE_22,0,0
CYC_COUNT_CORE_22,0,0
INST_COUNT_CORE_23,0,0
UOP_COUNT_CORE_23,0,0
CYC_COUNT_CORE_23,0,0
INST_COUNT_CORE_24,0,0
UOP_COUNT_CORE_24,0,0
CYC_COUNT_CORE_24,0,0
INST_COUNT_CORE_25,0,0
UOP_COUNT_CORE_25,0,0
CYC_COUNT_CORE_25,0,0
INST_COUNT_CORE_26,0,0
UOP_COUNT_CORE_26,0,0
CYC_COUNT_CORE_26,0,0
INST_COUNT_CORE_27,0,0
UOP_COUNT_CORE_27,0,0
CYC_COUNT_CORE_27,0,0
INST_COUNT_CORE_28,0,0
UOP_COUNT_CORE_28,0,0
CYC_COUNT_CORE_28,0,0
INST_COUNT_CORE_29,0,0
UOP_COUNT_CORE_29,0,0
CYC_COUNT_CORE_29,0,0
INST_COUNT_CORE_30,0,0
UOP_COUNT_CORE_30,0,0
CYC_COUNT_CORE_30,0,0
INST_COUNT_CORE_31,0,0
UOP_COUNT_CORE_31,0,0
CYC_COUNT_CORE_31,0,0
INST_COUNT_CORE_32,0,0
UOP_COUNT_CORE_32,0,0
CYC_COUNT_CORE_32,0,0
INST_COUNT_CORE_33,0,0
UOP_COUNT_CORE_33,0,0
CYC_COUNT_CORE_33,0,0
INST_COUNT_CORE_34,0,0
UOP_COUNT_CORE_34,0,0
CYC_COUNT_CORE_34,0,0
INST_COUNT_CORE_35,0,0
UOP_COUNT_CORE_35,0,0
CYC_COUNT_CORE_35,0,0
INST_COUNT_CORE_36,0,0
UOP_COUNT_CORE_36,0,0
CYC_COUNT_CORE_36,0,0
INST_COUNT_CORE_37,0,0
UOP_COUNT_CORE_37,0,0
CYC_COUNT_CORE_37,0,0
INST_COUNT_CORE_38,0,0
UOP_COUNT_CORE_38,0,0
CYC_COUNT_CORE_38,0,0
INST_COUNT_CORE_39,0,0
