stat,raw_value,agg_value
BP_MISPRED_STALL_CORE_0,5,5
BP_RESOLVED_CORE_0,2,2
BP_REDIRECT_RESOLVED_CORE_0,0,0
PERFECT_TARGET_PRED_CORE_0,0,0
BP_ON_PATH_CORRECT_CORE_0,128,98.4615%
BP_ON_PATH_MISPREDICT_CORE_0,2,1.53846%
BP_ON_PATH_MISFETCH_CORE_0,0,0%
BP_MISPRED_STALL_CORE_1,5,5
BP_RESOLVED_CORE_1,2,2
BP_REDIRECT_RESOLVED_CORE_1,0,0
PERFECT_TARGET_PRED_CORE_1,0,0
BP_ON_PATH_CORRECT_CORE_1,128,98.4615%
BP_ON_PATH_MISPREDICT_CORE_1,2,1.53846%
BP_ON_PATH_MISFETCH_CORE_1,0,0%
BP_MISPRED_STALL_CORE_2,5,5
BP_RESOLVED_CORE_2,2,2
BP_REDIRECT_RESOLVED_CORE_2,0,0
PERFECT_TARGET_PRED_CORE_2,0,0
BP_ON_PATH_CORRECT_CORE_2,128,98.4615%
BP_ON_PATH_MISPREDICT_CORE_2,2,1.53846%
BP_ON_PATH_MISFETCH_CORE_2,0,0%
BP_MISPRED_STALL_CORE_3,5,5
BP_RESOLVED_CORE_3,2,2
BP_REDIRECT_RESOLVED_CORE_3,0,0
PERFECT_TARGET_PRED_CORE_3,0,0
BP_ON_PATH_CORRECT_CORE_3,128,98.4615%
BP_ON_PATH_MISPREDICT_CORE_3,2,1.53846%
BP_ON_PATH_MISFETCH_CORE_3,0,0%
BP_MISPRED_STALL_CORE_4,5,5
BP_RESOLVED_CORE_4,2,2
BP_REDIRECT_RESOLVED_CORE_4,0,0
PERFECT_TARGET_PRED_CORE_4,0,0
BP_ON_PATH_CORRECT_CORE_4,128,98.4615%
BP_ON_PATH_MISPREDICT_CORE_4,2,1.53846%
BP_ON_PATH_MISFETCH_CORE_4,0,0%
BP_MISPRED_STALL_CORE_5,5,5
BP_RESOLVED_CORE_5,2,2
BP_REDIRECT_RESOLVED_CORE_5,0,0
PERFECT_TARGET_PRED_CORE_5,0,0
BP_ON_PATH_CORRECT_CORE_5,128,98.4615%
BP_ON_PATH_MISPREDICT_CORE_5,2,1.53846%
BP_ON_PATH_MISFETCH_CORE_5,0,0%
BP_MISPRED_STALL_CORE_6,5,5
BP_RESOLVED_CORE_6,2,2
BP_REDIRECT_RESOLVED_CORE_6,0,0
PERFECT_TARGET_PRED_CORE_6,0,0
BP_ON_PATH_CORRECT_CORE_6,128,98.4615%
BP_ON_PATH_MISPREDICT_CORE_6,2,1.53846%
BP_ON_PATH_MISFETCH_CORE_6,0,0%
BP_MISPRED_STALL_CORE_7,5,5
BP_RESOLVED_CORE_7,2,2
BP_REDIRECT_RESOLVED_CORE_7,0,0
PERFECT_TARGET_PRED_CORE_7,0,0
BP_ON_PATH_CORRECT_CORE_7,128,98.4615%
BP_ON_PATH_MISPREDICT_CORE_7,2,1.53846%
BP_ON_PATH_MISFETCH_CORE_7,0,0%
BP_MISPRED_STALL_CORE_8,5,5
BP_RESOLVED_CORE_8,2,2
BP_REDIRECT_RESOLVED_CORE_8,0,0
PERFECT_TARGET_PRED_CORE_8,0,0
BP_ON_PATH_CORRECT_CORE_8,128,98.4615%
BP_ON_PATH_MISPREDICT_CORE_8,2,1.53846%
BP_ON_PATH_MISFETCH_CORE_8,0,0%
BP_MISPRED_STALL_CORE_9,5,5
BP_RESOLVED_CORE_9,2,2
BP_REDIRECT_RESOLVED_CORE_9,0,0
PERFECT_TARGET_PRED_CORE_9,0,0
BP_ON_PATH_CORRECT_CORE_9,128,98.4615%
BP_ON_PATH_MISPREDICT_CORE_9,2,1.53846%
BP_ON_PATH_MISFETCH_CORE_9,0,0%
BP_MISPRED_STALL_CORE_10,5,5
BP_RESOLVED_CORE_10,2,2
BP_REDIRECT_RESOLVED_CORE_10,0,0
PERFECT_TARGET_PRED_CORE_10,0,0
BP_ON_PATH_CORRECT_CORE_10,128,98.4615%
BP_ON_PATH_MISPREDICT_CORE_10,2,1.53846%
BP_ON_PATH_MISFETCH_CORE_10,0,0%
BP_MISPRED_STALL_CORE_11,5,5
BP_RESOLVED_CORE_11,2,2
BP_REDIRECT_RESOLVED_CORE_11,0,0
