stat,raw_value,agg_value
INST_COUNT_TOT,253472,253472
UOP_COUNT_TOT,253472,253472
CYC_COUNT_TOT,21761920,21761920
EXE_TIME,16,16
NUM_REPEAT,0,0
CYC_COUNT_X86,0,0
CYC_COUNT_ACC,21761919,21761919
AVG_BLOCK_EXE_CYCLE,345437676,345437676
AVG_BLOCK_EXE_CYCLE_BASE,16,16
PROGRESS_ERROR,0,0
FILE_OPEN_ERROR,0,0
NUM_THREAD,0,0
APPL_CYC_COUNT_BASE0,1,1
APPL_CYC_COUNT_BASE1,0,0
APPL_CYC_COUNT_BASE2,0,0
APPL_CYC_COUNT_BASE3,0,0
APPL_CYC_COUNT_BASE4,0,0
APPL_CYC_COUNT1,0,NaN
APPL_CYC_COUNT2,0,NaN
APPL_CYC_COUNT3,0,NaN
APPL_CYC_COUNT4,0,NaN
CPI_DELTA_BASE0,0,0
CPI_DELTA_BASE1,0,0
CPI_DELTA_BASE2,0,0
CPI_DELTA_BASE3,0,0
CPI_DELTA_BASE4,0,0
CPI_DELTA0,0,NaN
CPI_DELTA1,0,NaN
CPI_DELTA2,0,NaN
CPI_DELTA3,0,NaN
CPI_DELTA4,0,NaN
CYCLE_CPU,0,0
CYCLE_GPU,0,0
INST_COUNT_CORE_0,15842,15842
UOP_COUNT_CORE_0,15842,15842
CYC_COUNT_CORE_0,27727,27727
INST_COUNT_CORE_1,15842,15842
UOP_COUNT_CORE_1,15842,15842
CYC_COUNT_CORE_1,27784,27784
INST_COUNT_CORE_2,15842,15842
UOP_COUNT_CORE_2,15842,15842
CYC_COUNT_CORE_2,26637,26637
INST_COUNT_CORE_3,15842,15842
UOP_COUNT_CORE_3,15842,15842
CYC_COUNT_CORE_3,27794,27794
INST_COUNT_CORE_4,15842,15842
UOP_COUNT_CORE_4,15842,15842
CYC_COUNT_CORE_4,27746,27746
INST_COUNT_CORE_5,15842,15842
UOP_COUNT_CORE_5,15842,15842
CYC_COUNT_CORE_5,27652,27652
INST_COUNT_CORE_6,15842,15842
UOP_COUNT_CORE_6,15842,15842
CYC_COUNT_CORE_6,27765,27765
INST_COUNT_CORE_7,15842,15842
UOP_COUNT_CORE_7,15842,15842
CYC_COUNT_CORE_7,27661,27661
INST_COUNT_CORE_8,15842,15842
UOP_COUNT_CORE_8,15842,15842
CYC_COUNT_CORE_8,27699,27699
INST_COUNT_CORE_9,15842,15842
UOP_COUNT_CORE_9,15842,15842
CYC_COUNT_CORE_9,27548,27548
INST_COUNT_CORE_10,15842,15842
UOP_COUNT_CORE_10,15842,15842
CYC_COUNT_CORE_10,27567,27567
INST_COUNT_CORE_11,15842,15842
UOP_COUNT_CORE_11,15842,15842
CYC_COUNT_CORE_11,27737,27737
INST_COUNT_CORE_12,15842,15842
UOP_COUNT_CORE_12,15842,15842
CYC_COUNT_CORE_12,27482,27482
INST_COUNT_CORE_13,15842,15842
UOP_COUNT_CORE_13,15842,15842
CYC_COUNT_CORE_13,27510,27510
INST_COUNT_CORE_14,15842,15842
UOP_COUNT_CORE_14,15842,15842
CYC_COUNT_CORE_14,27274,27274
INST_COUNT_CORE_15,15842,15842
UOP_COUNT_CORE_15,15842,15842
CYC_COUNT_CORE_15,27605,27605
INST_COUNT_CORE_16,0,0
UOP_COUNT_CORE_16,0,0
CYC_COUNT_CORE_16,0,0
INST_COUNT_CORE_17,0,0
UOP_COUNT_CORE_17,0,0
CYC_COUNT_CORE_17,0,0
INST_COUNT_CORE_18,0,0
UOP_COUNT_CORE_18,0,0
CYC_COUNT_CORE_18,0,0
INST_COUNT_CORE_19,0,0
UOP_COUNT_CORE_19,0,0
CYC_COUNT_CORE_19,0,0
