stat,raw_value,agg_value
AVG_MEMORY_LATENCY_BASE,5803,5803
AVG_MEMORY_LATENCY,1890459,325.773
MSHR_FULL,0,0
TOTAL_MEMORY,5803,5803
TOTAL_MEMORY_MERGE,3942,0.679304
TOTAL_WB,0,0
L1_WB,0,NaN
L2_WB,0,NaN
LLC_WB,0,NaN
TOTAL_DRAM,1539,1539
TOTAL_DRAM_MERGE,0,0
L1_HIT_CPU,0,0
L1_HIT_GPU,0,0
L1_MISS_CPU,0,0
L1_MISS_GPU,4608,4608
L2_HIT_CPU,0,0
L2_HIT_GPU,0,0
L2_MISS_CPU,0,0
L2_MISS_GPU,1861,1861
L3_HIT_CPU,0,0
L3_HIT_GPU,0,0
L3_MISS_CPU,0,0
L3_MISS_GPU,1861,1861
LLC_HIT_CPU,0,0
LLC_HIT_GPU,322,322
LLC_MISS_CPU,0,0
LLC_MISS_GPU,1539,1539
LLC_HIT_PROMOTION_CPU,0,0
LLC_HIT_PROMOTION_GPU,0,0
FETCH_THREAD_SKIP_LD_WAIT,0,0
FETCH_THREAD_SKIP_BR_WAIT,0,0
FETCH_THREAD_SKIP_SCHED_WAIT,0,0
NUM_MUL_TRANS_CM_TM_DM_INST,0,0
NUM_MUL_TRANS_CM_TM_DM,0,NaN
CONST_CACHE_HIT,0,0
CONST_CACHE_MISS,0,0
CONST_CACHE_MISS_NO_EXECUTE,0,0
CONST_CACHE_ACCESS,0,0
TEXTURE_CACHE_HIT,0,0
TEXTURE_CACHE_MISS,0,0
TEXTURE_CACHE_NO_EXECUTE,0,0
TEXTURE_CACHE_ACCESS,0,0
SHARED_MEM_INST,0,0
SHARED_MEM_ACCESS,139264,139264
CACHE_BANK_BUSY,18,18
ICACHE_MISS_TOTAL,1195,1195
TOTAL_CAGE_PERIOD,0,0
TOTAL_CAGE_APPL0,0,NaN
TOTAL_CAGE_APPL1,0,NaN
TOTAL_CAGE_APPL2,0,NaN
TOTAL_CAGE_APPL3,0,NaN
TOTAL_CAGE_APPL4,0,NaN
ABIP_AVG_RATIO_BASE,0,0
ABIP_AVG_RATIO,0,NaN
TOTAL_WRITE_ACKS,512,512
TOTAL_WRITES,512,512
NUM_PHYSICAL_PAGES,0,0
UNIQUE_PAGE,0,0
REALLOCATION,0,0
EVICTION,0,0
AVG_PAGE_FAULTS_PER_BATCH_BASE,0,0
AVG_PAGE_FAULTS_PER_BATCH,0,NaN
MAX_PAGE_FAULTS_PER_BATCH,0,NaN
LD_NO_FORWARD,4096,100%
FORWARDED_LD,0,0%
MEM_STALL_CYCLE_CORE_0,0,0
ICACHE_FILL_CORE_0,60,60
NUM_WRITE_ACKS_CORE_0,32,32
NUM_WRITES_CORE_0,32,32
ICACHE_HIT_CORE_0,15842,99.6227%
ICACHE_MISS_CORE_0,60,0.377311%
MEM_STALL_CYCLE_CORE_1,0,0
ICACHE_FILL_CORE_1,74,74
NUM_WRITE_ACKS_CORE_1,32,32
NUM_WRITES_CORE_1,32,32
ICACHE_HIT_CORE_1,15842,99.5351%
ICACHE_MISS_CORE_1,74,0.464941%
MEM_STALL_CYCLE_CORE_2,0,0
ICACHE_FILL_CORE_2,87,87
NUM_WRITE_ACKS_CORE_2,32,32
NUM_WRITES_CORE_2,32,32
ICACHE_HIT_CORE_2,15842,99.4538%
ICACHE_MISS_CORE_2,87,0.546174%
MEM_STALL_CYCLE_CORE_3,0,0
ICACHE_FILL_CORE_3,75,75
NUM_WRITE_ACKS_CORE_3,32,32
NUM_WRITES_CORE_3,32,32
ICACHE_HIT_CORE_3,15842,99.5288%
ICACHE_MISS_CORE_3,75,0.471194%
MEM_STALL_CYCLE_CORE_4,0,0
ICACHE_FILL_CORE_4,62,62
NUM_WRITE_ACKS_CORE_4,32,32
NUM_WRITES_CORE_4,32,32
ICACHE_HIT_CORE_4,15842,99.6102%
ICACHE_MISS_CORE_4,62,0.389839%
MEM_STALL_CYCLE_CORE_5,0,0
ICACHE_FILL_CORE_5,77,77
NUM_WRITE_ACKS_CORE_5,32,32
NUM_WRITES_CORE_5,32,32
ICACHE_HIT_CORE_5,15842,99.5163%
ICACHE_MISS_CORE_5,77,0.483699%
MEM_STALL_CYCLE_CORE_6,0,0
ICACHE_FILL_CORE_6,88,88
NUM_WRITE_ACKS_CORE_6,32,32
NUM_WRITES_CORE_6,32,32
ICACHE_HIT_CORE_6,15842,99.4476%
ICACHE_MISS_CORE_6,88,0.552417%
MEM_STALL_CYCLE_CORE_7,0,0
ICACHE_FILL_CORE_7,75,75
NUM_WRITE_ACKS_CORE_7,32,32
NUM_WRITES_CORE_7,32,32
ICACHE_HIT_CORE_7,15842,99.5288%
ICACHE_MISS_CORE_7,75,0.471194%
MEM_STALL_CYCLE_CORE_8,0,0
ICACHE_FILL_CORE_8,62,62
NUM_WRITE_ACKS_CORE_8,32,32
NUM_WRITES_CORE_8,32,32
ICACHE_HIT_CORE_8,15842,99.6102%
ICACHE_MISS_CORE_8,62,0.389839%
MEM_STALL_CYCLE_CORE_9,0,0
ICACHE_FILL_CORE_9,74,74
NUM_WRITE_ACKS_CORE_9,32,32
NUM_WRITES_CORE_9,32,32
ICACHE_HIT_CORE_9,15842,99.5351%
ICACHE_MISS_CORE_9,74,0.464941%
MEM_STALL_CYCLE_CORE_10,0,0
ICACHE_FILL_CORE_10,88,88
NUM_WRITE_ACKS_CORE_10,32,32
NUM_WRITES_CORE_10,32,32
ICACHE_HIT_CORE_10,15842,99.4476%
ICACHE_MISS_CORE_10,88,0.552417%
MEM_STALL_CYCLE_CORE_11,0,0
ICACHE_FILL_CORE_11,75,75
NUM_WRITE_ACKS_CORE_11,32,32
NUM_WRITES_CORE_11,32,32
ICACHE_HIT_CORE_11,15842,99.5288%
ICACHE_MISS_CORE_11,75,0.471194%
MEM_STALL_CYCLE_CORE_12,0,0
ICACHE_FILL_CORE_12,62,62
NUM_WRITE_ACKS_CORE_12,32,32
NUM_WRITES_CORE_12,32,32
ICACHE_HIT_CORE_12,15842,99.6102%
ICACHE_MISS_CORE_12,62,0.389839%
MEM_STALL_CYCLE_CORE_13,0,0
ICACHE_FILL_CORE_13,74,74
NUM_WRITE_ACKS_CORE_13,32,32
NUM_WRITES_CORE_13,32,32
ICACHE_HIT_CORE_13,15842,99.5351%
ICACHE_MISS_CORE_13,74,0.464941%
MEM_STALL_CYCLE_CORE_14,0,0
