stat,raw_value,agg_value
BP_MISPRED_STALL_CORE_0,5,5
BP_RESOLVED_CORE_0,2,2
BP_REDIRECT_RESOLVED_CORE_0,0,0
PERFECT_TARGET_PRED_CORE_0,0,0
BP_ON_PATH_CORRECT_CORE_0,32,94.1176%
BP_ON_PATH_MISPREDICT_CORE_0,2,5.88235%
BP_ON_PATH_MISFETCH_CORE_0,0,0%
BP_MISPRED_STALL_CORE_1,0,0
BP_RESOLVED_CORE_1,0,0
BP_REDIRECT_RESOLVED_CORE_1,0,0
PERFECT_TARGET_PRED_CORE_1,0,0
BP_MISPRED_STALL_CORE_2,0,0
BP_RESOLVED_CORE_2,0,0
BP_REDIRECT_RESOLVED_CORE_2,0,0
PERFECT_TARGET_PRED_CORE_2,0,0
BP_MISPRED_STALL_CORE_3,0,0
BP_RESOLVED_CORE_3,0,0
BP_REDIRECT_RESOLVED_CORE_3,0,0
PERFECT_TARGET_PRED_CORE_3,0,0
BP_MISPRED_STALL_CORE_4,0,0
BP_RESOLVED_CORE_4,0,0
BP_REDIRECT_RESOLVED_CORE_4,0,0
PERFECT_TARGET_PRED_CORE_4,0,0
BP_MISPRED_STALL_CORE_5,0,0
BP_RESOLVED_CORE_5,0,0
BP_REDIRECT_RESOLVED_CORE_5,0,0
PERFECT_TARGET_PRED_CORE_5,0,0
BP_MISPRED_STALL_CORE_6,0,0
BP_RESOLVED_CORE_6,0,0
BP_REDIRECT_RESOLVED_CORE_6,0,0
PERFECT_TARGET_PRED_CORE_6,0,0
BP_MISPRED_STALL_CORE_7,0,0
BP_RESOLVED_CORE_7,0,0
BP_REDIRECT_RESOLVED_CORE_7,0,0
PERFECT_TARGET_PRED_CORE_7,0,0
BP_MISPRED_STALL_CORE_8,0,0
BP_RESOLVED_CORE_8,0,0
BP_REDIRECT_RESOLVED_CORE_8,0,0
PERFECT_TARGET_PRED_CORE_8,0,0
BP_MISPRED_STALL_CORE_9,0,0
BP_RESOLVED_CORE_9,0,0
BP_REDIRECT_RESOLVED_CORE_9,0,0
PERFECT_TARGET_PRED_CORE_9,0,0
BP_MISPRED_STALL_CORE_10,0,0
BP_RESOLVED_CORE_10,0,0
BP_REDIRECT_RESOLVED_CORE_10,0,0
PERFECT_TARGET_PRED_CORE_10,0,0
BP_MISPRED_STALL_CORE_11,0,0
BP_RESOLVED_CORE_11,0,0
BP_REDIRECT_RESOLVED_CORE_11,0,0
PERFECT_TARGET_PRED_CORE_11,0,0
BP_MISPRED_STALL_CORE_12,0,0
BP_RESOLVED_CORE_12,0,0
BP_REDIRECT_RESOLVED_CORE_12,0,0
PERFECT_TARGET_PRED_CORE_12,0,0
BP_MISPRED_STALL_CORE_13,0,0
BP_RESOLVED_CORE_13,0,0
BP_REDIRECT_RESOLVED_CORE_13,0,0
PERFECT_TARGET_PRED_CORE_13,0,0
BP_MISPRED_STALL_CORE_14,0,0
BP_RESOLVED_CORE_14,0,0
BP_REDIRECT_RESOLVED_CORE_14,0,0
PERFECT_TARGET_PRED_CORE_14,0,0
BP_MISPRED_STALL_CORE_15,0,0
BP_RESOLVED_CORE_15,0,0
BP_REDIRECT_RESOLVED_CORE_15,0,0
PERFECT_TARGET_PRED_CORE_15,0,0
BP_MISPRED_STALL_CORE_16,0,0
BP_RESOLVED_CORE_16,0,0
BP_REDIRECT_RESOLVED_CORE_16,0,0
PERFECT_TARGET_PRED_CORE_16,0,0
BP_MISPRED_STALL_CORE_17,0,0
BP_RESOLVED_CORE_17,0,0
BP_REDIRECT_RESOLVED_CORE_17,0,0
PERFECT_TARGET_PRED_CORE_17,0,0
BP_MISPRED_STALL_CORE_18,0,0
BP_RESOLVED_CORE_18,0,0
BP_REDIRECT_RESOLVED_CORE_18,0,0
PERFECT_TARGET_PRED_CORE_18,0,0
BP_MISPRED_STALL_CORE_19,0,0
BP_RESOLVED_CORE_19,0,0
BP_REDIRECT_RESOLVED_CORE_19,0,0
PERFECT_TARGET_PRED_CORE_19,0,0
