stat,raw_value,agg_value
DISPATCHED_INST,285824,285824
DISPATCH_WAIT,15569789,54.4733
NUM_NO_FETCH_CYCLES,28466,28466
AVG_CORE_IDLE_CYCLE,281139,281139
REEXEC_NUM,0,0
INV_MATCH_NUM,0,0
EARLY_PERM_NUM,0,0
PERM_MATCH_NUM,0,0
RETIRE_SPECLD_NUM,0,0
RETIRE_SPECST_NUM,0,0
FENCE_HEAD_ROB_WAIT,0,0
NUM_SAMPLES_CORE_0,46613,46613
NUM_ACTIVE_BLOCKS_CORE_0,178155,3.822
NUM_ACTIVE_THREADS_CORE_0,1354317,29.0545
NUM_SCHED_IDLE_CYCLE_CORE_0,0,0
NUM_NO_SCHED_CYCLE_CORE_0,13311,13311
CORE_DISPATCHED_INST_CORE_0,17864,17864
CORE_DISPATCH_WAIT_CORE_0,1009159,56.4912
CORE_CYCLES_CORE_0,0,0
CORE_SCHED_THREADS_CORE_0,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_0,1579,1579
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_0,0,0
CORE_NUM_FETCH_CYCLES_CORE_0,0,0
CORE_FETCH_DELTA_CORE_0,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_0,0,0
CORE_RETIRE_DELTA_CORE_0,0,NaN
FENCE_PREF_REQ_CORE_0,0,0
FENCE_WAITING_CORE_0,0,0
DYN_FENCE_NUM_CORE_0,0,0
WB_ORDERING_STALL_CORE_0,0,0
WB_FULL_CORE_0,0,0
FENCE_TOT_CYCLES_CORE_0,0,0
FENCE_EXEC_CYCLES_CORE_0,0,0
STORE_RES_CORE_0,0,0
STORE_NUM_CORE_0,0,0
STORE_WB_FREE_CORE_0,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_0,17864,38.9916%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_0,14921,32.5679%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_0,12462,27.2007%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_0,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_0,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_0,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_0,568,1.23977%
NUM_SAMPLES_CORE_1,45454,45454
NUM_ACTIVE_BLOCKS_CORE_1,175687,3.86516
NUM_ACTIVE_THREADS_CORE_1,1379261,30.3441
NUM_SCHED_IDLE_CYCLE_CORE_1,0,0
NUM_NO_SCHED_CYCLE_CORE_1,12767,12767
CORE_DISPATCHED_INST_CORE_1,17864,17864
CORE_DISPATCH_WAIT_CORE_1,1010822,56.5843
CORE_CYCLES_CORE_1,0,0
CORE_SCHED_THREADS_CORE_1,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_1,1624,1624
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_1,0,0
CORE_NUM_FETCH_CYCLES_CORE_1,0,0
CORE_FETCH_DELTA_CORE_1,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_1,0,0
CORE_RETIRE_DELTA_CORE_1,0,NaN
FENCE_PREF_REQ_CORE_1,0,0
FENCE_WAITING_CORE_1,0,0
DYN_FENCE_NUM_CORE_1,0,0
WB_ORDERING_STALL_CORE_1,0,0
WB_FULL_CORE_1,0,0
FENCE_TOT_CYCLES_CORE_1,0,0
FENCE_EXEC_CYCLES_CORE_1,0,0
STORE_RES_CORE_1,0,0
STORE_NUM_CORE_1,0,0
STORE_WB_FREE_CORE_1,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_1,17864,38.9007%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_1,15123,32.9319%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_1,12388,26.9762%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_1,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_1,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_1,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_1,547,1.19115%
NUM_SAMPLES_CORE_2,46941,46941
NUM_ACTIVE_BLOCKS_CORE_2,183058,3.89975
NUM_ACTIVE_THREADS_CORE_2,1423435,30.3239
NUM_SCHED_IDLE_CYCLE_CORE_2,0,0
NUM_NO_SCHED_CYCLE_CORE_2,13636,13636
CORE_DISPATCHED_INST_CORE_2,17864,17864
CORE_DISPATCH_WAIT_CORE_2,1030939,57.7104
CORE_CYCLES_CORE_2,0,0
CORE_SCHED_THREADS_CORE_2,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_2,1603,1603
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_2,0,0
CORE_NUM_FETCH_CYCLES_CORE_2,0,0
CORE_FETCH_DELTA_CORE_2,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_2,0,0
CORE_RETIRE_DELTA_CORE_2,0,NaN
FENCE_PREF_REQ_CORE_2,0,0
FENCE_WAITING_CORE_2,0,0
DYN_FENCE_NUM_CORE_2,0,0
WB_ORDERING_STALL_CORE_2,0,0
WB_FULL_CORE_2,0,0
FENCE_TOT_CYCLES_CORE_2,0,0
FENCE_EXEC_CYCLES_CORE_2,0,0
STORE_RES_CORE_2,0,0
STORE_NUM_CORE_2,0,0
STORE_WB_FREE_CORE_2,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_2,17864,36.2706%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_2,18545,37.6533%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_2,12317,25.0081%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_2,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_2,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_2,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_2,526,1.06798%
NUM_SAMPLES_CORE_3,48048,48048
NUM_ACTIVE_BLOCKS_CORE_3,187370,3.89964
NUM_ACTIVE_THREADS_CORE_3,1476186,30.7232
NUM_SCHED_IDLE_CYCLE_CORE_3,0,0
NUM_NO_SCHED_CYCLE_CORE_3,13978,13978
CORE_DISPATCHED_INST_CORE_3,17864,17864
CORE_DISPATCH_WAIT_CORE_3,1037695,58.0886
CORE_CYCLES_CORE_3,0,0
CORE_SCHED_THREADS_CORE_3,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_3,1579,1579
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_3,0,0
CORE_NUM_FETCH_CYCLES_CORE_3,0,0
CORE_FETCH_DELTA_CORE_3,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_3,0,0
CORE_RETIRE_DELTA_CORE_3,0,NaN
FENCE_PREF_REQ_CORE_3,0,0
FENCE_WAITING_CORE_3,0,0
DYN_FENCE_NUM_CORE_3,0,0
WB_ORDERING_STALL_CORE_3,0,0
WB_FULL_CORE_3,0,0
FENCE_TOT_CYCLES_CORE_3,0,0
FENCE_EXEC_CYCLES_CORE_3,0,0
STORE_RES_CORE_3,0,0
STORE_NUM_CORE_3,0,0
STORE_WB_FREE_CORE_3,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_3,17864,35.7853%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_3,19162,38.3854%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_3,12347,24.7336%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_3,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_3,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_3,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_3,547,1.09575%
NUM_SAMPLES_CORE_4,37208,37208
NUM_ACTIVE_BLOCKS_CORE_4,95926,2.5781
NUM_ACTIVE_THREADS_CORE_4,652907,17.5475
NUM_SCHED_IDLE_CYCLE_CORE_4,0,0
NUM_NO_SCHED_CYCLE_CORE_4,10610,10610
CORE_DISPATCHED_INST_CORE_4,13398,13398
CORE_DISPATCH_WAIT_CORE_4,678528,50.644
CORE_CYCLES_CORE_4,0,0
CORE_SCHED_THREADS_CORE_4,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_4,1370,1370
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_4,0,0
CORE_NUM_FETCH_CYCLES_CORE_4,0,0
CORE_FETCH_DELTA_CORE_4,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_4,0,0
CORE_RETIRE_DELTA_CORE_4,0,NaN
FENCE_PREF_REQ_CORE_4,0,0
FENCE_WAITING_CORE_4,0,0
DYN_FENCE_NUM_CORE_4,0,0
WB_ORDERING_STALL_CORE_4,0,0
WB_FULL_CORE_4,0,0
FENCE_TOT_CYCLES_CORE_4,0,0
FENCE_EXEC_CYCLES_CORE_4,0,0
STORE_RES_CORE_4,0,0
STORE_NUM_CORE_4,0,0
STORE_WB_FREE_CORE_4,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_4,13398,46.1857%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_4,8183,28.2085%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_4,6968,24.0201%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_4,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_4,0,0%
