stat,raw_value,agg_value
DRAM_PRECHARGE,3,3
DRAM_ACTIVATE,68,68
DRAM_COLUMN,1028,1028
DRAM_AVG_LATENCY_BASE,1028,1028
DRAM_AVG_LATENCY,963835,937.583
BANDWIDTH_TOT,131392,131392
DRAM_CHANNEL0_BANDWIDTH_SATURATED,14527,14527
DRAM_CHANNEL1_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL2_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL3_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL4_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL5_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL6_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL7_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL0_DBUS_IDLE,612208,612208
DRAM_CHANNEL1_DBUS_IDLE,0,0
DRAM_CHANNEL2_DBUS_IDLE,0,0
DRAM_CHANNEL3_DBUS_IDLE,0,0
DRAM_CHANNEL4_DBUS_IDLE,0,0
DRAM_CHANNEL5_DBUS_IDLE,0,0
DRAM_CHANNEL6_DBUS_IDLE,0,0
DRAM_CHANNEL7_DBUS_IDLE,0,0
