stat,raw_value,agg_value
INST_COUNT_TOT,71456,71456
UOP_COUNT_TOT,71456,71456
CYC_COUNT_TOT,468476,468476
EXE_TIME,1,1
NUM_REPEAT,0,0
CYC_COUNT_X86,0,0
CYC_COUNT_ACC,468475,468475
AVG_BLOCK_EXE_CYCLE,66608419,66608419
AVG_BLOCK_EXE_CYCLE_BASE,256,256
PROGRESS_ERROR,0,0
FILE_OPEN_ERROR,0,0
NUM_THREAD,0,0
APPL_CYC_COUNT_BASE0,1,1
APPL_CYC_COUNT_BASE1,0,0
APPL_CYC_COUNT_BASE2,0,0
APPL_CYC_COUNT_BASE3,0,0
APPL_CYC_COUNT_BASE4,0,0
APPL_CYC_COUNT0,468475,468475
APPL_CYC_COUNT1,0,NaN
APPL_CYC_COUNT2,0,NaN
APPL_CYC_COUNT3,0,NaN
APPL_CYC_COUNT4,0,NaN
CPI_DELTA_BASE0,0,0
CPI_DELTA_BASE1,0,0
CPI_DELTA_BASE2,0,0
CPI_DELTA_BASE3,0,0
CPI_DELTA_BASE4,0,0
CPI_DELTA0,0,NaN
CPI_DELTA1,0,NaN
CPI_DELTA2,0,NaN
CPI_DELTA3,0,NaN
CPI_DELTA4,0,NaN
CYCLE_CPU,0,0
CYCLE_GPU,0,0
INST_COUNT_CORE_0,4466,4466
UOP_COUNT_CORE_0,4466,4466
CYC_COUNT_CORE_0,13255,13255
INST_COUNT_CORE_1,4466,4466
UOP_COUNT_CORE_1,4466,4466
CYC_COUNT_CORE_1,14124,14124
INST_COUNT_CORE_2,4466,4466
UOP_COUNT_CORE_2,4466,4466
CYC_COUNT_CORE_2,15926,15926
INST_COUNT_CORE_3,4466,4466
UOP_COUNT_CORE_3,4466,4466
CYC_COUNT_CORE_3,18273,18273
INST_COUNT_CORE_4,4466,4466
UOP_COUNT_CORE_4,4466,4466
CYC_COUNT_CORE_4,16668,16668
INST_COUNT_CORE_5,4466,4466
UOP_COUNT_CORE_5,4466,4466
CYC_COUNT_CORE_5,14344,14344
INST_COUNT_CORE_6,4466,4466
UOP_COUNT_CORE_6,4466,4466
CYC_COUNT_CORE_6,16896,16896
INST_COUNT_CORE_7,4466,4466
UOP_COUNT_CORE_7,4466,4466
CYC_COUNT_CORE_7,18423,18423
INST_COUNT_CORE_8,4466,4466
UOP_COUNT_CORE_8,4466,4466
CYC_COUNT_CORE_8,18084,18084
INST_COUNT_CORE_9,4466,4466
UOP_COUNT_CORE_9,4466,4466
CYC_COUNT_CORE_9,18308,18308
INST_COUNT_CORE_10,4466,4466
UOP_COUNT_CORE_10,4466,4466
CYC_COUNT_CORE_10,14498,14498
INST_COUNT_CORE_11,4466,4466
UOP_COUNT_CORE_11,4466,4466
CYC_COUNT_CORE_11,17682,17682
INST_COUNT_CORE_12,4466,4466
UOP_COUNT_CORE_12,4466,4466
CYC_COUNT_CORE_12,17776,17776
INST_COUNT_CORE_13,4466,4466
UOP_COUNT_CORE_13,4466,4466
CYC_COUNT_CORE_13,17931,17931
INST_COUNT_CORE_14,4466,4466
UOP_COUNT_CORE_14,4466,4466
CYC_COUNT_CORE_14,17952,17952
INST_COUNT_CORE_15,4466,4466
UOP_COUNT_CORE_15,4466,4466
CYC_COUNT_CORE_15,17639,17639
INST_COUNT_CORE_16,0,0
UOP_COUNT_CORE_16,0,0
CYC_COUNT_CORE_16,0,0
INST_COUNT_CORE_17,0,0
UOP_COUNT_CORE_17,0,0
CYC_COUNT_CORE_17,0,0
INST_COUNT_CORE_18,0,0
UOP_COUNT_CORE_18,0,0
CYC_COUNT_CORE_18,0,0
INST_COUNT_CORE_19,0,0
UOP_COUNT_CORE_19,0,0
CYC_COUNT_CORE_19,0,0
