stat,raw_value,agg_value
AVG_MEMORY_LATENCY_BASE,4032,4032
AVG_MEMORY_LATENCY,626900,155.481
MSHR_FULL,0,0
TOTAL_MEMORY,4032,4032
TOTAL_MEMORY_MERGE,125,0.031002
TOTAL_WB,0,0
L1_WB,0,NaN
L2_WB,0,NaN
LLC_WB,0,NaN
TOTAL_DRAM,99,99
TOTAL_DRAM_MERGE,32,0.323232
L1_HIT_CPU,0,0
L1_HIT_GPU,1952,1952
L1_MISS_CPU,0,0
L1_MISS_GPU,3936,3936
L2_HIT_CPU,0,0
L2_HIT_GPU,0,0
L2_MISS_CPU,0,0
L2_MISS_GPU,3907,3907
L3_HIT_CPU,0,0
L3_HIT_GPU,0,0
L3_MISS_CPU,0,0
L3_MISS_GPU,3907,3907
LLC_HIT_CPU,0,0
LLC_HIT_GPU,3808,3808
LLC_MISS_CPU,0,0
LLC_MISS_GPU,99,99
LLC_HIT_PROMOTION_CPU,0,0
LLC_HIT_PROMOTION_GPU,0,0
FETCH_THREAD_SKIP_LD_WAIT,0,0
FETCH_THREAD_SKIP_BR_WAIT,0,0
FETCH_THREAD_SKIP_SCHED_WAIT,0,0
NUM_MUL_TRANS_CM_TM_DM_INST,0,0
NUM_MUL_TRANS_CM_TM_DM,0,NaN
CONST_CACHE_HIT,0,0
CONST_CACHE_MISS,0,0
CONST_CACHE_MISS_NO_EXECUTE,0,0
CONST_CACHE_ACCESS,0,0
TEXTURE_CACHE_HIT,0,0
TEXTURE_CACHE_MISS,0,0
TEXTURE_CACHE_NO_EXECUTE,0,0
TEXTURE_CACHE_ACCESS,0,0
SHARED_MEM_INST,0,0
SHARED_MEM_ACCESS,6016,6016
CACHE_BANK_BUSY,512,512
ICACHE_MISS_TOTAL,96,96
TOTAL_CAGE_PERIOD,0,0
TOTAL_CAGE_APPL0,0,NaN
TOTAL_CAGE_APPL1,0,NaN
TOTAL_CAGE_APPL2,0,NaN
TOTAL_CAGE_APPL3,0,NaN
TOTAL_CAGE_APPL4,0,NaN
ABIP_AVG_RATIO_BASE,0,0
ABIP_AVG_RATIO,0,NaN
TOTAL_WRITE_ACKS,3840,3840
TOTAL_WRITES,3840,3840
NUM_PHYSICAL_PAGES,0,0
UNIQUE_PAGE,0,0
REALLOCATION,0,0
EVICTION,0,0
AVG_PAGE_FAULTS_PER_BATCH_BASE,0,0
AVG_PAGE_FAULTS_PER_BATCH,0,NaN
MAX_PAGE_FAULTS_PER_BATCH,0,NaN
LD_NO_FORWARD,1024,100%
FORWARDED_LD,0,0%
MEM_STALL_CYCLE_CORE_0,0,0
ICACHE_FILL_CORE_0,24,24
NUM_WRITE_ACKS_CORE_0,960,960
NUM_WRITES_CORE_0,960,960
ICACHE_HIT_CORE_0,8932,99.732%
ICACHE_MISS_CORE_0,24,0.267977%
MEM_STALL_CYCLE_CORE_1,0,0
ICACHE_FILL_CORE_1,24,24
NUM_WRITE_ACKS_CORE_1,960,960
NUM_WRITES_CORE_1,960,960
ICACHE_HIT_CORE_1,8932,99.732%
ICACHE_MISS_CORE_1,24,0.267977%
MEM_STALL_CYCLE_CORE_2,0,0
ICACHE_FILL_CORE_2,24,24
NUM_WRITE_ACKS_CORE_2,960,960
NUM_WRITES_CORE_2,960,960
ICACHE_HIT_CORE_2,8932,99.732%
ICACHE_MISS_CORE_2,24,0.267977%
MEM_STALL_CYCLE_CORE_3,0,0
ICACHE_FILL_CORE_3,24,24
NUM_WRITE_ACKS_CORE_3,960,960
NUM_WRITES_CORE_3,960,960
ICACHE_HIT_CORE_3,8932,99.732%
ICACHE_MISS_CORE_3,24,0.267977%
MEM_STALL_CYCLE_CORE_4,0,0
ICACHE_FILL_CORE_4,0,0
NUM_WRITE_ACKS_CORE_4,0,0
NUM_WRITES_CORE_4,0,0
MEM_STALL_CYCLE_CORE_5,0,0
ICACHE_FILL_CORE_5,0,0
NUM_WRITE_ACKS_CORE_5,0,0
NUM_WRITES_CORE_5,0,0
MEM_STALL_CYCLE_CORE_6,0,0
ICACHE_FILL_CORE_6,0,0
NUM_WRITE_ACKS_CORE_6,0,0
NUM_WRITES_CORE_6,0,0
MEM_STALL_CYCLE_CORE_7,0,0
ICACHE_FILL_CORE_7,0,0
NUM_WRITE_ACKS_CORE_7,0,0
NUM_WRITES_CORE_7,0,0
MEM_STALL_CYCLE_CORE_8,0,0
ICACHE_FILL_CORE_8,0,0
NUM_WRITE_ACKS_CORE_8,0,0
NUM_WRITES_CORE_8,0,0
MEM_STALL_CYCLE_CORE_9,0,0
ICACHE_FILL_CORE_9,0,0
NUM_WRITE_ACKS_CORE_9,0,0
NUM_WRITES_CORE_9,0,0
MEM_STALL_CYCLE_CORE_10,0,0
ICACHE_FILL_CORE_10,0,0
NUM_WRITE_ACKS_CORE_10,0,0
NUM_WRITES_CORE_10,0,0
MEM_STALL_CYCLE_CORE_11,0,0
ICACHE_FILL_CORE_11,0,0
NUM_WRITE_ACKS_CORE_11,0,0
NUM_WRITES_CORE_11,0,0
MEM_STALL_CYCLE_CORE_12,0,0
ICACHE_FILL_CORE_12,0,0
NUM_WRITE_ACKS_CORE_12,0,0
NUM_WRITES_CORE_12,0,0
MEM_STALL_CYCLE_CORE_13,0,0
ICACHE_FILL_CORE_13,0,0
NUM_WRITE_ACKS_CORE_13,0,0
NUM_WRITES_CORE_13,0,0
MEM_STALL_CYCLE_CORE_14,0,0
ICACHE_FILL_CORE_14,0,0
NUM_WRITE_ACKS_CORE_14,0,0
NUM_WRITES_CORE_14,0,0
MEM_STALL_CYCLE_CORE_15,0,0
ICACHE_FILL_CORE_15,0,0
NUM_WRITE_ACKS_CORE_15,0,0
NUM_WRITES_CORE_15,0,0
MEM_STALL_CYCLE_CORE_16,0,0
ICACHE_FILL_CORE_16,0,0
NUM_WRITE_ACKS_CORE_16,0,0
NUM_WRITES_CORE_16,0,0
MEM_STALL_CYCLE_CORE_17,0,0
ICACHE_FILL_CORE_17,0,0
NUM_WRITE_ACKS_CORE_17,0,0
NUM_WRITES_CORE_17,0,0
MEM_STALL_CYCLE_CORE_18,0,0
ICACHE_FILL_CORE_18,0,0
NUM_WRITE_ACKS_CORE_18,0,0
NUM_WRITES_CORE_18,0,0
MEM_STALL_CYCLE_CORE_19,0,0
ICACHE_FILL_CORE_19,0,0
NUM_WRITE_ACKS_CORE_19,0,0
NUM_WRITES_CORE_19,0,0
