stat,raw_value,agg_value
DRAM_PRECHARGE,11878,11878
DRAM_ACTIVATE,12006,12006
DRAM_COLUMN,187502,187502
DRAM_AVG_LATENCY_BASE,187502,187502
DRAM_AVG_LATENCY,400458597,2135.76
BANDWIDTH_TOT,24000128,24000128
DRAM_CHANNEL0_BANDWIDTH_SATURATED,2783655,2783655
DRAM_CHANNEL1_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL2_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL3_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL4_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL5_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL6_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL7_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL0_DBUS_IDLE,755296,755296
DRAM_CHANNEL1_DBUS_IDLE,0,0
DRAM_CHANNEL2_DBUS_IDLE,0,0
DRAM_CHANNEL3_DBUS_IDLE,0,0
DRAM_CHANNEL4_DBUS_IDLE,0,0
DRAM_CHANNEL5_DBUS_IDLE,0,0
DRAM_CHANNEL6_DBUS_IDLE,0,0
DRAM_CHANNEL7_DBUS_IDLE,0,0
