stat,raw_value,agg_value
INST_COUNT_TOT,687718,687718
UOP_COUNT_TOT,687718,687718
CYC_COUNT_TOT,8812426,8812426
EXE_TIME,34,34
NUM_REPEAT,0,0
CYC_COUNT_X86,0,0
CYC_COUNT_ACC,8812425,8812425
AVG_BLOCK_EXE_CYCLE,4192908887,4192908887
AVG_BLOCK_EXE_CYCLE_BASE,977,977
PROGRESS_ERROR,0,0
FILE_OPEN_ERROR,0,0
NUM_THREAD,0,0
APPL_CYC_COUNT_BASE0,1,1
APPL_CYC_COUNT_BASE1,0,0
APPL_CYC_COUNT_BASE2,0,0
APPL_CYC_COUNT_BASE3,0,0
APPL_CYC_COUNT_BASE4,0,0
APPL_CYC_COUNT1,0,NaN
APPL_CYC_COUNT2,0,NaN
APPL_CYC_COUNT3,0,NaN
APPL_CYC_COUNT4,0,NaN
CPI_DELTA_BASE0,0,0
CPI_DELTA_BASE1,0,0
CPI_DELTA_BASE2,0,0
CPI_DELTA_BASE3,0,0
CPI_DELTA_BASE4,0,0
CPI_DELTA0,0,NaN
CPI_DELTA1,0,NaN
CPI_DELTA2,0,NaN
CPI_DELTA3,0,NaN
CPI_DELTA4,0,NaN
CYCLE_CPU,0,0
CYCLE_GPU,0,0
INST_COUNT_CORE_0,34496,34496
UOP_COUNT_CORE_0,34496,34496
CYC_COUNT_CORE_0,350649,350649
INST_COUNT_CORE_1,34496,34496
UOP_COUNT_CORE_1,34496,34496
CYC_COUNT_CORE_1,348725,348725
INST_COUNT_CORE_2,34496,34496
UOP_COUNT_CORE_2,34496,34496
CYC_COUNT_CORE_2,352010,352010
INST_COUNT_CORE_3,34496,34496
UOP_COUNT_CORE_3,34496,34496
CYC_COUNT_CORE_3,352000,352000
INST_COUNT_CORE_4,34496,34496
UOP_COUNT_CORE_4,34496,34496
CYC_COUNT_CORE_4,351503,351503
INST_COUNT_CORE_5,34496,34496
UOP_COUNT_CORE_5,34496,34496
CYC_COUNT_CORE_5,352447,352447
INST_COUNT_CORE_6,34496,34496
UOP_COUNT_CORE_6,34496,34496
CYC_COUNT_CORE_6,350787,350787
INST_COUNT_CORE_7,34496,34496
UOP_COUNT_CORE_7,34496,34496
CYC_COUNT_CORE_7,350715,350715
INST_COUNT_CORE_8,34496,34496
UOP_COUNT_CORE_8,34496,34496
CYC_COUNT_CORE_8,352437,352437
INST_COUNT_CORE_9,33792,33792
UOP_COUNT_CORE_9,33792,33792
CYC_COUNT_CORE_9,345778,345778
INST_COUNT_CORE_10,35200,35200
UOP_COUNT_CORE_10,35200,35200
CYC_COUNT_CORE_10,351662,351662
INST_COUNT_CORE_11,34496,34496
UOP_COUNT_CORE_11,34496,34496
CYC_COUNT_CORE_11,352103,352103
INST_COUNT_CORE_12,34496,34496
UOP_COUNT_CORE_12,34496,34496
CYC_COUNT_CORE_12,352498,352498
INST_COUNT_CORE_13,33792,33792
UOP_COUNT_CORE_13,33792,33792
CYC_COUNT_CORE_13,345714,345714
INST_COUNT_CORE_14,34496,34496
UOP_COUNT_CORE_14,34496,34496
CYC_COUNT_CORE_14,348835,348835
INST_COUNT_CORE_15,34406,34406
UOP_COUNT_CORE_15,34406,34406
CYC_COUNT_CORE_15,350981,350981
INST_COUNT_CORE_16,33792,33792
UOP_COUNT_CORE_16,33792,33792
CYC_COUNT_CORE_16,345489,345489
INST_COUNT_CORE_17,34496,34496
UOP_COUNT_CORE_17,34496,34496
CYC_COUNT_CORE_17,348968,348968
INST_COUNT_CORE_18,34496,34496
UOP_COUNT_CORE_18,34496,34496
CYC_COUNT_CORE_18,352457,352457
INST_COUNT_CORE_19,33792,33792
UOP_COUNT_CORE_19,33792,33792
CYC_COUNT_CORE_19,345610,345610
