stat,raw_value,agg_value
AVG_MEMORY_LATENCY_BASE,5948,5948
AVG_MEMORY_LATENCY,371004,62.3746
MSHR_FULL,0,0
TOTAL_MEMORY,5948,5948
TOTAL_MEMORY_MERGE,3677,0.618191
TOTAL_WB,0,0
L1_WB,0,NaN
L2_WB,0,NaN
LLC_WB,0,NaN
TOTAL_DRAM,1539,1539
TOTAL_DRAM_MERGE,0,0
L1_HIT_CPU,0,0
L1_HIT_GPU,0,0
L1_MISS_CPU,0,0
L1_MISS_GPU,4608,4608
L2_HIT_CPU,0,0
L2_HIT_GPU,0,0
L2_MISS_CPU,0,0
L2_MISS_GPU,2271,2271
L3_HIT_CPU,0,0
L3_HIT_GPU,0,0
L3_MISS_CPU,0,0
L3_MISS_GPU,2271,2271
LLC_HIT_CPU,0,0
LLC_HIT_GPU,732,732
LLC_MISS_CPU,0,0
LLC_MISS_GPU,1539,1539
LLC_HIT_PROMOTION_CPU,0,0
LLC_HIT_PROMOTION_GPU,0,0
FETCH_THREAD_SKIP_LD_WAIT,0,0
FETCH_THREAD_SKIP_BR_WAIT,0,0
FETCH_THREAD_SKIP_SCHED_WAIT,0,0
NUM_MUL_TRANS_CM_TM_DM_INST,0,0
NUM_MUL_TRANS_CM_TM_DM,0,NaN
CONST_CACHE_HIT,0,0
CONST_CACHE_MISS,0,0
CONST_CACHE_MISS_NO_EXECUTE,0,0
CONST_CACHE_ACCESS,0,0
TEXTURE_CACHE_HIT,0,0
TEXTURE_CACHE_MISS,0,0
TEXTURE_CACHE_NO_EXECUTE,0,0
TEXTURE_CACHE_ACCESS,0,0
SHARED_MEM_INST,0,0
SHARED_MEM_ACCESS,139264,139264
CACHE_BANK_BUSY,13,13
ICACHE_MISS_TOTAL,1340,1340
TOTAL_CAGE_PERIOD,0,0
TOTAL_CAGE_APPL0,0,NaN
TOTAL_CAGE_APPL1,0,NaN
TOTAL_CAGE_APPL2,0,NaN
TOTAL_CAGE_APPL3,0,NaN
TOTAL_CAGE_APPL4,0,NaN
ABIP_AVG_RATIO_BASE,0,0
ABIP_AVG_RATIO,0,NaN
TOTAL_WRITE_ACKS,512,512
TOTAL_WRITES,512,512
NUM_PHYSICAL_PAGES,0,0
UNIQUE_PAGE,0,0
REALLOCATION,0,0
EVICTION,0,0
AVG_PAGE_FAULTS_PER_BATCH_BASE,0,0
AVG_PAGE_FAULTS_PER_BATCH,0,NaN
MAX_PAGE_FAULTS_PER_BATCH,0,NaN
LD_NO_FORWARD,4096,100%
FORWARDED_LD,0,0%
MEM_STALL_CYCLE_CORE_0,0,0
ICACHE_FILL_CORE_0,95,95
NUM_WRITE_ACKS_CORE_0,32,32
NUM_WRITES_CORE_0,32,32
ICACHE_HIT_CORE_0,15842,99.4039%
ICACHE_MISS_CORE_0,95,0.596097%
MEM_STALL_CYCLE_CORE_1,0,0
ICACHE_FILL_CORE_1,76,76
NUM_WRITE_ACKS_CORE_1,32,32
NUM_WRITES_CORE_1,32,32
ICACHE_HIT_CORE_1,15842,99.5226%
ICACHE_MISS_CORE_1,76,0.477447%
MEM_STALL_CYCLE_CORE_2,0,0
ICACHE_FILL_CORE_2,91,91
NUM_WRITE_ACKS_CORE_2,32,32
NUM_WRITES_CORE_2,32,32
ICACHE_HIT_CORE_2,15842,99.4289%
ICACHE_MISS_CORE_2,91,0.571142%
MEM_STALL_CYCLE_CORE_3,0,0
ICACHE_FILL_CORE_3,79,79
NUM_WRITE_ACKS_CORE_3,32,32
NUM_WRITES_CORE_3,32,32
ICACHE_HIT_CORE_3,15842,99.5038%
ICACHE_MISS_CORE_3,79,0.4962%
MEM_STALL_CYCLE_CORE_4,0,0
ICACHE_FILL_CORE_4,95,95
NUM_WRITE_ACKS_CORE_4,32,32
NUM_WRITES_CORE_4,32,32
ICACHE_HIT_CORE_4,15842,99.4039%
ICACHE_MISS_CORE_4,95,0.596097%
MEM_STALL_CYCLE_CORE_5,0,0
ICACHE_FILL_CORE_5,79,79
NUM_WRITE_ACKS_CORE_5,32,32
NUM_WRITES_CORE_5,32,32
ICACHE_HIT_CORE_5,15842,99.5038%
ICACHE_MISS_CORE_5,79,0.4962%
MEM_STALL_CYCLE_CORE_6,0,0
ICACHE_FILL_CORE_6,95,95
NUM_WRITE_ACKS_CORE_6,32,32
NUM_WRITES_CORE_6,32,32
ICACHE_HIT_CORE_6,15842,99.4039%
ICACHE_MISS_CORE_6,95,0.596097%
MEM_STALL_CYCLE_CORE_7,0,0
ICACHE_FILL_CORE_7,95,95
NUM_WRITE_ACKS_CORE_7,32,32
NUM_WRITES_CORE_7,32,32
ICACHE_HIT_CORE_7,15842,99.4039%
ICACHE_MISS_CORE_7,95,0.596097%
MEM_STALL_CYCLE_CORE_8,0,0
ICACHE_FILL_CORE_8,95,95
NUM_WRITE_ACKS_CORE_8,32,32
NUM_WRITES_CORE_8,32,32
ICACHE_HIT_CORE_8,15842,99.4039%
ICACHE_MISS_CORE_8,95,0.596097%
MEM_STALL_CYCLE_CORE_9,0,0
ICACHE_FILL_CORE_9,79,79
NUM_WRITE_ACKS_CORE_9,32,32
NUM_WRITES_CORE_9,32,32
ICACHE_HIT_CORE_9,15842,99.5038%
ICACHE_MISS_CORE_9,79,0.4962%
MEM_STALL_CYCLE_CORE_10,0,0
ICACHE_FILL_CORE_10,76,76
NUM_WRITE_ACKS_CORE_10,32,32
NUM_WRITES_CORE_10,32,32
ICACHE_HIT_CORE_10,15842,99.5226%
ICACHE_MISS_CORE_10,76,0.477447%
MEM_STALL_CYCLE_CORE_11,0,0
ICACHE_FILL_CORE_11,95,95
NUM_WRITE_ACKS_CORE_11,32,32
NUM_WRITES_CORE_11,32,32
ICACHE_HIT_CORE_11,15842,99.4039%
ICACHE_MISS_CORE_11,95,0.596097%
MEM_STALL_CYCLE_CORE_12,0,0
ICACHE_FILL_CORE_12,71,71
NUM_WRITE_ACKS_CORE_12,32,32
NUM_WRITES_CORE_12,32,32
ICACHE_HIT_CORE_12,15842,99.5538%
ICACHE_MISS_CORE_12,71,0.446176%
MEM_STALL_CYCLE_CORE_13,0,0
ICACHE_FILL_CORE_13,64,64
NUM_WRITE_ACKS_CORE_13,32,32
NUM_WRITES_CORE_13,32,32
ICACHE_HIT_CORE_13,15842,99.5976%
ICACHE_MISS_CORE_13,64,0.402364%
