stat,raw_value,agg_value
AVG_MEMORY_LATENCY_BASE,159,159
AVG_MEMORY_LATENCY,6305,39.6541
MSHR_FULL,0,0
TOTAL_MEMORY,159,159
TOTAL_MEMORY_MERGE,61,0.383648
TOTAL_WB,0,0
L1_WB,0,NaN
L2_WB,0,NaN
LLC_WB,0,NaN
TOTAL_DRAM,98,98
TOTAL_DRAM_MERGE,0,0
L1_HIT_CPU,0,0
L1_HIT_GPU,0,0
L1_MISS_CPU,0,0
L1_MISS_GPU,96,96
L2_HIT_CPU,0,0
L2_HIT_GPU,0,0
L2_MISS_CPU,0,0
L2_MISS_GPU,98,98
L3_HIT_CPU,0,0
L3_HIT_GPU,0,0
L3_MISS_CPU,0,0
L3_MISS_GPU,98,98
LLC_HIT_CPU,0,0
LLC_HIT_GPU,0,0
LLC_MISS_CPU,0,0
LLC_MISS_GPU,98,98
LLC_HIT_PROMOTION_CPU,0,0
LLC_HIT_PROMOTION_GPU,0,0
FETCH_THREAD_SKIP_LD_WAIT,0,0
FETCH_THREAD_SKIP_BR_WAIT,0,0
FETCH_THREAD_SKIP_SCHED_WAIT,0,0
NUM_MUL_TRANS_CM_TM_DM_INST,0,0
NUM_MUL_TRANS_CM_TM_DM,0,NaN
CONST_CACHE_HIT,0,0
CONST_CACHE_MISS,0,0
CONST_CACHE_MISS_NO_EXECUTE,0,0
CONST_CACHE_ACCESS,0,0
TEXTURE_CACHE_HIT,0,0
TEXTURE_CACHE_MISS,0,0
TEXTURE_CACHE_NO_EXECUTE,0,0
TEXTURE_CACHE_ACCESS,0,0
SHARED_MEM_INST,0,0
SHARED_MEM_ACCESS,2368,2368
CACHE_BANK_BUSY,0,0
ICACHE_MISS_TOTAL,63,63
TOTAL_CAGE_PERIOD,0,0
TOTAL_CAGE_APPL0,0,NaN
TOTAL_CAGE_APPL1,0,NaN
TOTAL_CAGE_APPL2,0,NaN
TOTAL_CAGE_APPL3,0,NaN
TOTAL_CAGE_APPL4,0,NaN
ABIP_AVG_RATIO_BASE,0,0
ABIP_AVG_RATIO,0,NaN
TOTAL_WRITE_ACKS,32,32
TOTAL_WRITES,32,32
NUM_PHYSICAL_PAGES,0,0
UNIQUE_PAGE,0,0
REALLOCATION,0,0
EVICTION,0,0
AVG_PAGE_FAULTS_PER_BATCH_BASE,0,0
AVG_PAGE_FAULTS_PER_BATCH,0,NaN
MAX_PAGE_FAULTS_PER_BATCH,0,NaN
LD_NO_FORWARD,64,100%
FORWARDED_LD,0,0%
MEM_STALL_CYCLE_CORE_0,0,0
ICACHE_FILL_CORE_0,63,63
NUM_WRITE_ACKS_CORE_0,32,32
NUM_WRITES_CORE_0,32,32
ICACHE_HIT_CORE_0,5090,98.7774%
ICACHE_MISS_CORE_0,63,1.22259%
MEM_STALL_CYCLE_CORE_1,0,0
ICACHE_FILL_CORE_1,0,0
NUM_WRITE_ACKS_CORE_1,0,0
NUM_WRITES_CORE_1,0,0
MEM_STALL_CYCLE_CORE_2,0,0
ICACHE_FILL_CORE_2,0,0
NUM_WRITE_ACKS_CORE_2,0,0
NUM_WRITES_CORE_2,0,0
MEM_STALL_CYCLE_CORE_3,0,0
ICACHE_FILL_CORE_3,0,0
NUM_WRITE_ACKS_CORE_3,0,0
NUM_WRITES_CORE_3,0,0
MEM_STALL_CYCLE_CORE_4,0,0
ICACHE_FILL_CORE_4,0,0
NUM_WRITE_ACKS_CORE_4,0,0
NUM_WRITES_CORE_4,0,0
MEM_STALL_CYCLE_CORE_5,0,0
ICACHE_FILL_CORE_5,0,0
NUM_WRITE_ACKS_CORE_5,0,0
NUM_WRITES_CORE_5,0,0
MEM_STALL_CYCLE_CORE_6,0,0
ICACHE_FILL_CORE_6,0,0
NUM_WRITE_ACKS_CORE_6,0,0
NUM_WRITES_CORE_6,0,0
MEM_STALL_CYCLE_CORE_7,0,0
ICACHE_FILL_CORE_7,0,0
NUM_WRITE_ACKS_CORE_7,0,0
NUM_WRITES_CORE_7,0,0
MEM_STALL_CYCLE_CORE_8,0,0
ICACHE_FILL_CORE_8,0,0
NUM_WRITE_ACKS_CORE_8,0,0
NUM_WRITES_CORE_8,0,0
MEM_STALL_CYCLE_CORE_9,0,0
ICACHE_FILL_CORE_9,0,0
NUM_WRITE_ACKS_CORE_9,0,0
NUM_WRITES_CORE_9,0,0
MEM_STALL_CYCLE_CORE_10,0,0
ICACHE_FILL_CORE_10,0,0
NUM_WRITE_ACKS_CORE_10,0,0
NUM_WRITES_CORE_10,0,0
MEM_STALL_CYCLE_CORE_11,0,0
ICACHE_FILL_CORE_11,0,0
NUM_WRITE_ACKS_CORE_11,0,0
NUM_WRITES_CORE_11,0,0
MEM_STALL_CYCLE_CORE_12,0,0
ICACHE_FILL_CORE_12,0,0
NUM_WRITE_ACKS_CORE_12,0,0
NUM_WRITES_CORE_12,0,0
MEM_STALL_CYCLE_CORE_13,0,0
ICACHE_FILL_CORE_13,0,0
NUM_WRITE_ACKS_CORE_13,0,0
NUM_WRITES_CORE_13,0,0
MEM_STALL_CYCLE_CORE_14,0,0
ICACHE_FILL_CORE_14,0,0
NUM_WRITE_ACKS_CORE_14,0,0
NUM_WRITES_CORE_14,0,0
MEM_STALL_CYCLE_CORE_15,0,0
ICACHE_FILL_CORE_15,0,0
NUM_WRITE_ACKS_CORE_15,0,0
NUM_WRITES_CORE_15,0,0
MEM_STALL_CYCLE_CORE_16,0,0
ICACHE_FILL_CORE_16,0,0
NUM_WRITE_ACKS_CORE_16,0,0
NUM_WRITES_CORE_16,0,0
MEM_STALL_CYCLE_CORE_17,0,0
ICACHE_FILL_CORE_17,0,0
NUM_WRITE_ACKS_CORE_17,0,0
NUM_WRITES_CORE_17,0,0
MEM_STALL_CYCLE_CORE_18,0,0
ICACHE_FILL_CORE_18,0,0
NUM_WRITE_ACKS_CORE_18,0,0
NUM_WRITES_CORE_18,0,0
MEM_STALL_CYCLE_CORE_19,0,0
ICACHE_FILL_CORE_19,0,0
NUM_WRITE_ACKS_CORE_19,0,0
NUM_WRITES_CORE_19,0,0
MEM_STALL_CYCLE_CORE_20,0,0
ICACHE_FILL_CORE_20,0,0
NUM_WRITE_ACKS_CORE_20,0,0
NUM_WRITES_CORE_20,0,0
MEM_STALL_CYCLE_CORE_21,0,0
ICACHE_FILL_CORE_21,0,0
NUM_WRITE_ACKS_CORE_21,0,0
NUM_WRITES_CORE_21,0,0
MEM_STALL_CYCLE_CORE_22,0,0
ICACHE_FILL_CORE_22,0,0
NUM_WRITE_ACKS_CORE_22,0,0
NUM_WRITES_CORE_22,0,0
MEM_STALL_CYCLE_CORE_23,0,0
ICACHE_FILL_CORE_23,0,0
NUM_WRITE_ACKS_CORE_23,0,0
NUM_WRITES_CORE_23,0,0
MEM_STALL_CYCLE_CORE_24,0,0
ICACHE_FILL_CORE_24,0,0
NUM_WRITE_ACKS_CORE_24,0,0
NUM_WRITES_CORE_24,0,0
MEM_STALL_CYCLE_CORE_25,0,0
ICACHE_FILL_CORE_25,0,0
NUM_WRITE_ACKS_CORE_25,0,0
NUM_WRITES_CORE_25,0,0
MEM_STALL_CYCLE_CORE_26,0,0
ICACHE_FILL_CORE_26,0,0
NUM_WRITE_ACKS_CORE_26,0,0
NUM_WRITES_CORE_26,0,0
MEM_STALL_CYCLE_CORE_27,0,0
ICACHE_FILL_CORE_27,0,0
NUM_WRITE_ACKS_CORE_27,0,0
NUM_WRITES_CORE_27,0,0
MEM_STALL_CYCLE_CORE_28,0,0
