stat,raw_value,agg_value
BP_MISPRED_STALL_CORE_0,47,47
BP_RESOLVED_CORE_0,9,9
BP_REDIRECT_RESOLVED_CORE_0,0,0
PERFECT_TARGET_PRED_CORE_0,0,0
BP_ON_PATH_CORRECT_CORE_0,3075,99.7082%
BP_ON_PATH_MISPREDICT_CORE_0,9,0.291829%
BP_ON_PATH_MISFETCH_CORE_0,0,0%
BP_MISPRED_STALL_CORE_1,46,46
BP_RESOLVED_CORE_1,9,9
BP_REDIRECT_RESOLVED_CORE_1,0,0
PERFECT_TARGET_PRED_CORE_1,0,0
BP_ON_PATH_CORRECT_CORE_1,3075,99.7082%
BP_ON_PATH_MISPREDICT_CORE_1,9,0.291829%
BP_ON_PATH_MISFETCH_CORE_1,0,0%
BP_MISPRED_STALL_CORE_2,47,47
BP_RESOLVED_CORE_2,9,9
BP_REDIRECT_RESOLVED_CORE_2,0,0
PERFECT_TARGET_PRED_CORE_2,0,0
BP_ON_PATH_CORRECT_CORE_2,3075,99.7082%
BP_ON_PATH_MISPREDICT_CORE_2,9,0.291829%
BP_ON_PATH_MISFETCH_CORE_2,0,0%
BP_MISPRED_STALL_CORE_3,47,47
BP_RESOLVED_CORE_3,9,9
BP_REDIRECT_RESOLVED_CORE_3,0,0
PERFECT_TARGET_PRED_CORE_3,0,0
BP_ON_PATH_CORRECT_CORE_3,3075,99.7082%
BP_ON_PATH_MISPREDICT_CORE_3,9,0.291829%
BP_ON_PATH_MISFETCH_CORE_3,0,0%
BP_MISPRED_STALL_CORE_4,42,42
BP_RESOLVED_CORE_4,8,8
BP_REDIRECT_RESOLVED_CORE_4,0,0
PERFECT_TARGET_PRED_CORE_4,0,0
BP_ON_PATH_CORRECT_CORE_4,2562,99.6887%
BP_ON_PATH_MISPREDICT_CORE_4,8,0.311284%
BP_ON_PATH_MISFETCH_CORE_4,0,0%
BP_MISPRED_STALL_CORE_5,49,49
BP_RESOLVED_CORE_5,9,9
BP_REDIRECT_RESOLVED_CORE_5,0,0
PERFECT_TARGET_PRED_CORE_5,0,0
BP_ON_PATH_CORRECT_CORE_5,3075,99.7082%
BP_ON_PATH_MISPREDICT_CORE_5,9,0.291829%
BP_ON_PATH_MISFETCH_CORE_5,0,0%
BP_MISPRED_STALL_CORE_6,47,47
BP_RESOLVED_CORE_6,9,9
BP_REDIRECT_RESOLVED_CORE_6,0,0
PERFECT_TARGET_PRED_CORE_6,0,0
BP_ON_PATH_CORRECT_CORE_6,3075,99.7082%
BP_ON_PATH_MISPREDICT_CORE_6,9,0.291829%
BP_ON_PATH_MISFETCH_CORE_6,0,0%
BP_MISPRED_STALL_CORE_7,42,42
BP_RESOLVED_CORE_7,8,8
BP_REDIRECT_RESOLVED_CORE_7,0,0
PERFECT_TARGET_PRED_CORE_7,0,0
BP_ON_PATH_CORRECT_CORE_7,2562,99.6887%
BP_ON_PATH_MISPREDICT_CORE_7,8,0.311284%
BP_ON_PATH_MISFETCH_CORE_7,0,0%
BP_MISPRED_STALL_CORE_8,42,42
BP_RESOLVED_CORE_8,8,8
BP_REDIRECT_RESOLVED_CORE_8,0,0
PERFECT_TARGET_PRED_CORE_8,0,0
BP_ON_PATH_CORRECT_CORE_8,2562,99.6887%
BP_ON_PATH_MISPREDICT_CORE_8,8,0.311284%
BP_ON_PATH_MISFETCH_CORE_8,0,0%
BP_MISPRED_STALL_CORE_9,41,41
BP_RESOLVED_CORE_9,8,8
BP_REDIRECT_RESOLVED_CORE_9,0,0
PERFECT_TARGET_PRED_CORE_9,0,0
BP_ON_PATH_CORRECT_CORE_9,2562,99.6887%
BP_ON_PATH_MISPREDICT_CORE_9,8,0.311284%
BP_ON_PATH_MISFETCH_CORE_9,0,0%
BP_MISPRED_STALL_CORE_10,43,43
BP_RESOLVED_CORE_10,8,8
BP_REDIRECT_RESOLVED_CORE_10,0,0
PERFECT_TARGET_PRED_CORE_10,0,0
