stat,raw_value,agg_value
DISPATCHED_INST,15065600,15065600
DISPATCH_WAIT,441952925,29.3352
NUM_NO_FETCH_CYCLES,1937877,1937877
AVG_CORE_IDLE_CYCLE,906411,906411
REEXEC_NUM,0,0
INV_MATCH_NUM,0,0
EARLY_PERM_NUM,0,0
PERM_MATCH_NUM,0,0
RETIRE_SPECLD_NUM,0,0
RETIRE_SPECST_NUM,0,0
FENCE_HEAD_ROB_WAIT,0,0
NUM_SAMPLES_CORE_0,410222,410222
NUM_ACTIVE_BLOCKS_CORE_0,410221,0.999998
NUM_ACTIVE_THREADS_CORE_0,13093617,31.9184
NUM_SCHED_IDLE_CYCLE_CORE_0,0,0
NUM_NO_SCHED_CYCLE_CORE_0,17562,17562
CORE_DISPATCHED_INST_CORE_0,353100,353100
CORE_DISPATCH_WAIT_CORE_0,10031257,28.4091
CORE_CYCLES_CORE_0,0,0
CORE_SCHED_THREADS_CORE_0,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_0,41856,41856
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_0,0,0
CORE_NUM_FETCH_CYCLES_CORE_0,0,0
CORE_FETCH_DELTA_CORE_0,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_0,0,0
CORE_RETIRE_DELTA_CORE_0,0,NaN
FENCE_PREF_REQ_CORE_0,0,0
FENCE_WAITING_CORE_0,0,0
DYN_FENCE_NUM_CORE_0,0,0
WB_ORDERING_STALL_CORE_0,0,0
WB_FULL_CORE_0,0,0
FENCE_TOT_CYCLES_CORE_0,0,0
FENCE_EXEC_CYCLES_CORE_0,0,0
STORE_RES_CORE_0,0,0
STORE_NUM_CORE_0,0,0
STORE_WB_FREE_CORE_0,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_0,353100,21.1421%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_0,570325,34.1486%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_0,746701,44.7093%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_0,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_0,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_0,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_0,0,0%
NUM_SAMPLES_CORE_1,410697,410697
NUM_ACTIVE_BLOCKS_CORE_1,410696,0.999998
NUM_ACTIVE_THREADS_CORE_1,13110101,31.9216
NUM_SCHED_IDLE_CYCLE_CORE_1,0,0
NUM_NO_SCHED_CYCLE_CORE_1,17911,17911
CORE_DISPATCHED_INST_CORE_1,353100,353100
CORE_DISPATCH_WAIT_CORE_1,9953000,28.1875
CORE_CYCLES_CORE_1,0,0
CORE_SCHED_THREADS_CORE_1,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_1,42014,42014
