stat,raw_value,agg_value
DRAM_PRECHARGE,6385,6385
DRAM_ACTIVATE,6641,6641
DRAM_COLUMN,65540,65540
DRAM_AVG_LATENCY_BASE,65540,65540
DRAM_AVG_LATENCY,4038219,61.6146
BANDWIDTH_TOT,8388864,8388864
DRAM_CHANNEL0_BANDWIDTH_SATURATED,135639,135639
DRAM_CHANNEL1_BANDWIDTH_SATURATED,136537,136537
DRAM_CHANNEL2_BANDWIDTH_SATURATED,135866,135866
DRAM_CHANNEL3_BANDWIDTH_SATURATED,134822,134822
DRAM_CHANNEL4_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL5_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL6_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL7_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL0_DBUS_IDLE,32758576,32758576
DRAM_CHANNEL1_DBUS_IDLE,32758576,32758576
DRAM_CHANNEL2_DBUS_IDLE,32758592,32758592
DRAM_CHANNEL3_DBUS_IDLE,32758592,32758592
DRAM_CHANNEL4_DBUS_IDLE,0,0
DRAM_CHANNEL5_DBUS_IDLE,0,0
DRAM_CHANNEL6_DBUS_IDLE,0,0
DRAM_CHANNEL7_DBUS_IDLE,0,0
