stat,raw_value,agg_value
INST_COUNT_TOT,15065600,15065600
UOP_COUNT_TOT,15065600,15065600
CYC_COUNT_TOT,2063796,2063796
EXE_TIME,781,781
NUM_REPEAT,0,0
CYC_COUNT_X86,0,0
CYC_COUNT_ACC,2063795,2063795
AVG_BLOCK_EXE_CYCLE,247060986,247060986
AVG_BLOCK_EXE_CYCLE_BASE,256,256
PROGRESS_ERROR,0,0
FILE_OPEN_ERROR,0,0
NUM_THREAD,0,0
APPL_CYC_COUNT_BASE0,1,1
APPL_CYC_COUNT_BASE1,0,0
APPL_CYC_COUNT_BASE2,0,0
APPL_CYC_COUNT_BASE3,0,0
APPL_CYC_COUNT_BASE4,0,0
APPL_CYC_COUNT1,0,NaN
APPL_CYC_COUNT2,0,NaN
APPL_CYC_COUNT3,0,NaN
APPL_CYC_COUNT4,0,NaN
CPI_DELTA_BASE0,0,0
CPI_DELTA_BASE1,0,0
CPI_DELTA_BASE2,0,0
CPI_DELTA_BASE3,0,0
CPI_DELTA_BASE4,0,0
CPI_DELTA0,0,NaN
CPI_DELTA1,0,NaN
CPI_DELTA2,0,NaN
CPI_DELTA3,0,NaN
CPI_DELTA4,0,NaN
CYCLE_CPU,0,0
CYCLE_GPU,0,0
INST_COUNT_CORE_0,353100,353100
UOP_COUNT_CORE_0,353100,353100
CYC_COUNT_CORE_0,410222,410222
INST_COUNT_CORE_1,353100,353100
UOP_COUNT_CORE_1,353100,353100
CYC_COUNT_CORE_1,410697,410697
INST_COUNT_CORE_2,353100,353100
UOP_COUNT_CORE_2,353100,353100
CYC_COUNT_CORE_2,410936,410936
INST_COUNT_CORE_3,353100,353100
UOP_COUNT_CORE_3,353100,353100
CYC_COUNT_CORE_3,410801,410801
INST_COUNT_CORE_4,294250,294250
UOP_COUNT_CORE_4,294250,294250
CYC_COUNT_CORE_4,350151,350151
INST_COUNT_CORE_5,353100,353100
UOP_COUNT_CORE_5,353100,353100
CYC_COUNT_CORE_5,410912,410912
INST_COUNT_CORE_6,353100,353100
UOP_COUNT_CORE_6,353100,353100
CYC_COUNT_CORE_6,412522,412522
INST_COUNT_CORE_7,294250,294250
UOP_COUNT_CORE_7,294250,294250
CYC_COUNT_CORE_7,350154,350154
INST_COUNT_CORE_8,294250,294250
UOP_COUNT_CORE_8,294250,294250
CYC_COUNT_CORE_8,350159,350159
INST_COUNT_CORE_9,294250,294250
UOP_COUNT_CORE_9,294250,294250
CYC_COUNT_CORE_9,350162,350162
INST_COUNT_CORE_10,294250,294250
UOP_COUNT_CORE_10,294250,294250
