stat,raw_value,agg_value
DRAM_PRECHARGE,3,3
DRAM_ACTIVATE,68,68
DRAM_COLUMN,1083,1083
DRAM_AVG_LATENCY_BASE,1083,1083
DRAM_AVG_LATENCY,160878,148.548
BANDWIDTH_TOT,138432,138432
DRAM_CHANNEL0_BANDWIDTH_SATURATED,2528,2528
DRAM_CHANNEL1_BANDWIDTH_SATURATED,1423,1423
DRAM_CHANNEL2_BANDWIDTH_SATURATED,2853,2853
DRAM_CHANNEL3_BANDWIDTH_SATURATED,2135,2135
DRAM_CHANNEL4_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL5_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL6_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL7_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL0_DBUS_IDLE,3206560,3206560
DRAM_CHANNEL1_DBUS_IDLE,3207368,3207368
DRAM_CHANNEL2_DBUS_IDLE,3205344,3205344
DRAM_CHANNEL3_DBUS_IDLE,3206048,3206048
DRAM_CHANNEL4_DBUS_IDLE,0,0
DRAM_CHANNEL5_DBUS_IDLE,0,0
DRAM_CHANNEL6_DBUS_IDLE,0,0
DRAM_CHANNEL7_DBUS_IDLE,0,0
