stat,raw_value,agg_value
INST_COUNT_TOT,285824,285824
UOP_COUNT_TOT,285824,285824
CYC_COUNT_TOT,200666,200666
EXE_TIME,12,12
NUM_REPEAT,0,0
CYC_COUNT_X86,0,0
CYC_COUNT_ACC,200665,200665
AVG_BLOCK_EXE_CYCLE,98333376,98333376
AVG_BLOCK_EXE_CYCLE_BASE,1024,1024
PROGRESS_ERROR,0,0
FILE_OPEN_ERROR,0,0
NUM_THREAD,0,0
APPL_CYC_COUNT_BASE0,1,1
APPL_CYC_COUNT_BASE1,0,0
APPL_CYC_COUNT_BASE2,0,0
APPL_CYC_COUNT_BASE3,0,0
APPL_CYC_COUNT_BASE4,0,0
APPL_CYC_COUNT0,200665,200665
APPL_CYC_COUNT1,0,NaN
APPL_CYC_COUNT2,0,NaN
APPL_CYC_COUNT3,0,NaN
APPL_CYC_COUNT4,0,NaN
CPI_DELTA_BASE0,0,0
CPI_DELTA_BASE1,0,0
CPI_DELTA_BASE2,0,0
CPI_DELTA_BASE3,0,0
CPI_DELTA_BASE4,0,0
CPI_DELTA0,0,NaN
CPI_DELTA1,0,NaN
CPI_DELTA2,0,NaN
CPI_DELTA3,0,NaN
CPI_DELTA4,0,NaN
CYCLE_CPU,0,0
CYCLE_GPU,0,0
INST_COUNT_CORE_0,8932,8932
UOP_COUNT_CORE_0,8932,8932
CYC_COUNT_CORE_0,29249,29249
INST_COUNT_CORE_1,8932,8932
UOP_COUNT_CORE_1,8932,8932
CYC_COUNT_CORE_1,32369,32369
INST_COUNT_CORE_2,8932,8932
UOP_COUNT_CORE_2,8932,8932
CYC_COUNT_CORE_2,34840,34840
INST_COUNT_CORE_3,8932,8932
UOP_COUNT_CORE_3,8932,8932
CYC_COUNT_CORE_3,36367,36367
INST_COUNT_CORE_4,8932,8932
UOP_COUNT_CORE_4,8932,8932
CYC_COUNT_CORE_4,37788,37788
INST_COUNT_CORE_5,8932,8932
UOP_COUNT_CORE_5,8932,8932
CYC_COUNT_CORE_5,37968,37968
INST_COUNT_CORE_6,8932,8932
UOP_COUNT_CORE_6,8932,8932
CYC_COUNT_CORE_6,31810,31810
INST_COUNT_CORE_7,8932,8932
UOP_COUNT_CORE_7,8932,8932
CYC_COUNT_CORE_7,34479,34479
INST_COUNT_CORE_8,8932,8932
UOP_COUNT_CORE_8,8932,8932
CYC_COUNT_CORE_8,32284,32284
INST_COUNT_CORE_9,8932,8932
UOP_COUNT_CORE_9,8932,8932
CYC_COUNT_CORE_9,34976,34976
INST_COUNT_CORE_10,8932,8932
