stat,raw_value,agg_value
DRAM_PRECHARGE,0,0
DRAM_ACTIVATE,19,19
DRAM_COLUMN,267,267
DRAM_AVG_LATENCY_BASE,267,267
DRAM_AVG_LATENCY,55973,209.637
BANDWIDTH_TOT,33984,33984
DRAM_CHANNEL0_BANDWIDTH_SATURATED,624,624
DRAM_CHANNEL1_BANDWIDTH_SATURATED,648,648
DRAM_CHANNEL2_BANDWIDTH_SATURATED,311,311
DRAM_CHANNEL3_BANDWIDTH_SATURATED,912,912
DRAM_CHANNEL4_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL5_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL6_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL7_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL0_DBUS_IDLE,1322048,1322048
DRAM_CHANNEL1_DBUS_IDLE,1321976,1321976
DRAM_CHANNEL2_DBUS_IDLE,1321920,1321920
DRAM_CHANNEL3_DBUS_IDLE,1322032,1322032
DRAM_CHANNEL4_DBUS_IDLE,0,0
DRAM_CHANNEL5_DBUS_IDLE,0,0
DRAM_CHANNEL6_DBUS_IDLE,0,0
DRAM_CHANNEL7_DBUS_IDLE,0,0
