stat,raw_value,agg_value
INST_COUNT_TOT,71456,71456
UOP_COUNT_TOT,71456,71456
CYC_COUNT_TOT,82690,82690
EXE_TIME,0,0
NUM_REPEAT,0,0
CYC_COUNT_X86,0,0
CYC_COUNT_ACC,82690,82690
AVG_BLOCK_EXE_CYCLE,9413535,9413535
AVG_BLOCK_EXE_CYCLE_BASE,256,256
PROGRESS_ERROR,0,0
FILE_OPEN_ERROR,0,0
NUM_THREAD,0,0
APPL_CYC_COUNT_BASE0,1,1
APPL_CYC_COUNT_BASE1,0,0
APPL_CYC_COUNT_BASE2,0,0
APPL_CYC_COUNT_BASE3,0,0
APPL_CYC_COUNT_BASE4,0,0
APPL_CYC_COUNT0,82690,82690
APPL_CYC_COUNT1,0,NaN
APPL_CYC_COUNT2,0,NaN
APPL_CYC_COUNT3,0,NaN
APPL_CYC_COUNT4,0,NaN
CPI_DELTA_BASE0,0,0
CPI_DELTA_BASE1,0,0
CPI_DELTA_BASE2,0,0
CPI_DELTA_BASE3,0,0
CPI_DELTA_BASE4,0,0
CPI_DELTA0,0,NaN
CPI_DELTA1,0,NaN
CPI_DELTA2,0,NaN
CPI_DELTA3,0,NaN
CPI_DELTA4,0,NaN
CYCLE_CPU,0,0
CYCLE_GPU,0,0
INST_COUNT_CORE_0,4466,4466
UOP_COUNT_CORE_0,4466,4466
CYC_COUNT_CORE_0,10116,10116
INST_COUNT_CORE_1,4466,4466
UOP_COUNT_CORE_1,4466,4466
CYC_COUNT_CORE_1,10772,10772
INST_COUNT_CORE_2,4466,4466
UOP_COUNT_CORE_2,4466,4466
CYC_COUNT_CORE_2,11466,11466
INST_COUNT_CORE_3,4466,4466
UOP_COUNT_CORE_3,4466,4466
CYC_COUNT_CORE_3,12150,12150
INST_COUNT_CORE_4,4466,4466
UOP_COUNT_CORE_4,4466,4466
CYC_COUNT_CORE_4,12417,12417
INST_COUNT_CORE_5,4466,4466
UOP_COUNT_CORE_5,4466,4466
CYC_COUNT_CORE_5,12997,12997
INST_COUNT_CORE_6,4466,4466
UOP_COUNT_CORE_6,4466,4466
CYC_COUNT_CORE_6,13551,13551
INST_COUNT_CORE_7,4466,4466
UOP_COUNT_CORE_7,4466,4466
CYC_COUNT_CORE_7,14049,14049
INST_COUNT_CORE_8,4466,4466
UOP_COUNT_CORE_8,4466,4466
CYC_COUNT_CORE_8,14390,14390
INST_COUNT_CORE_9,4466,4466
UOP_COUNT_CORE_9,4466,4466
CYC_COUNT_CORE_9,14828,14828
INST_COUNT_CORE_10,4466,4466
UOP_COUNT_CORE_10,4466,4466
CYC_COUNT_CORE_10,15197,15197
INST_COUNT_CORE_11,4466,4466
UOP_COUNT_CORE_11,4466,4466
CYC_COUNT_CORE_11,15584,15584
INST_COUNT_CORE_12,4466,4466
UOP_COUNT_CORE_12,4466,4466
CYC_COUNT_CORE_12,15658,15658
INST_COUNT_CORE_13,4466,4466
UOP_COUNT_CORE_13,4466,4466
CYC_COUNT_CORE_13,15930,15930
INST_COUNT_CORE_14,4466,4466
UOP_COUNT_CORE_14,4466,4466
CYC_COUNT_CORE_14,16209,16209
INST_COUNT_CORE_15,4466,4466
UOP_COUNT_CORE_15,4466,4466
CYC_COUNT_CORE_15,16176,16176
INST_COUNT_CORE_16,0,0
UOP_COUNT_CORE_16,0,0
CYC_COUNT_CORE_16,0,0
INST_COUNT_CORE_17,0,0
UOP_COUNT_CORE_17,0,0
CYC_COUNT_CORE_17,0,0
INST_COUNT_CORE_18,0,0
UOP_COUNT_CORE_18,0,0
CYC_COUNT_CORE_18,0,0
INST_COUNT_CORE_19,0,0
UOP_COUNT_CORE_19,0,0
CYC_COUNT_CORE_19,0,0
INST_COUNT_CORE_20,0,0
UOP_COUNT_CORE_20,0,0
CYC_COUNT_CORE_20,0,0
INST_COUNT_CORE_21,0,0
UOP_COUNT_CORE_21,0,0
CYC_COUNT_CORE_21,0,0
INST_COUNT_CORE_22,0,0
UOP_COUNT_CORE_22,0,0
CYC_COUNT_CORE_22,0,0
INST_COUNT_CORE_23,0,0
UOP_COUNT_CORE_23,0,0
CYC_COUNT_CORE_23,0,0
INST_COUNT_CORE_24,0,0
UOP_COUNT_CORE_24,0,0
CYC_COUNT_CORE_24,0,0
INST_COUNT_CORE_25,0,0
UOP_COUNT_CORE_25,0,0
CYC_COUNT_CORE_25,0,0
INST_COUNT_CORE_26,0,0
UOP_COUNT_CORE_26,0,0
CYC_COUNT_CORE_26,0,0
INST_COUNT_CORE_27,0,0
UOP_COUNT_CORE_27,0,0
CYC_COUNT_CORE_27,0,0
INST_COUNT_CORE_28,0,0
UOP_COUNT_CORE_28,0,0
CYC_COUNT_CORE_28,0,0
INST_COUNT_CORE_29,0,0
UOP_COUNT_CORE_29,0,0
CYC_COUNT_CORE_29,0,0
INST_COUNT_CORE_30,0,0
UOP_COUNT_CORE_30,0,0
CYC_COUNT_CORE_30,0,0
INST_COUNT_CORE_31,0,0
UOP_COUNT_CORE_31,0,0
CYC_COUNT_CORE_31,0,0
INST_COUNT_CORE_32,0,0
UOP_COUNT_CORE_32,0,0
CYC_COUNT_CORE_32,0,0
INST_COUNT_CORE_33,0,0
UOP_COUNT_CORE_33,0,0
CYC_COUNT_CORE_33,0,0
INST_COUNT_CORE_34,0,0
UOP_COUNT_CORE_34,0,0
CYC_COUNT_CORE_34,0,0
INST_COUNT_CORE_35,0,0
UOP_COUNT_CORE_35,0,0
CYC_COUNT_CORE_35,0,0
INST_COUNT_CORE_36,0,0
UOP_COUNT_CORE_36,0,0
CYC_COUNT_CORE_36,0,0
INST_COUNT_CORE_37,0,0
UOP_COUNT_CORE_37,0,0
CYC_COUNT_CORE_37,0,0
INST_COUNT_CORE_38,0,0
UOP_COUNT_CORE_38,0,0
CYC_COUNT_CORE_38,0,0
INST_COUNT_CORE_39,0,0
