stat,raw_value,agg_value
FP_OPS_TOT,0,0
PARENT_UOP_CORE_0,0,0
CHILD_UOP_READ_CORE_0,0,0
FP_OPS_CORE_0,0,0
OP_CAT_XED_CATEGORY_INVALID_CORE_0,0,0%
OP_CAT_XED_CATEGORY_3DNOW_CORE_0,0,0%
OP_CAT_XED_CATEGORY_ADOX_ADCX_CORE_0,0,0%
OP_CAT_XED_CATEGORY_AES_CORE_0,0,0%
OP_CAT_XED_CATEGORY_AVX_CORE_0,0,0%
OP_CAT_XED_CATEGORY_AVX2_CORE_0,0,0%
OP_CAT_XED_CATEGORY_AVX2GATHER_CORE_0,0,0%
OP_CAT_XED_CATEGORY_AVX512_CORE_0,0,0%
OP_CAT_XED_CATEGORY_AVX512_4FMAPS_CORE_0,0,0%
OP_CAT_XED_CATEGORY_AVX512_4VNNIW_CORE_0,0,0%
OP_CAT_XED_CATEGORY_AVX512_BITALG_CORE_0,0,0%
OP_CAT_XED_CATEGORY_AVX512_VBMI_CORE_0,0,0%
OP_CAT_XED_CATEGORY_AVX512_VP2INTERSECT_CORE_0,0,0%
OP_CAT_XED_CATEGORY_BINARY_CORE_0,0,0%
OP_CAT_XED_CATEGORY_BITBYTE_CORE_0,0,0%
OP_CAT_XED_CATEGORY_BLEND_CORE_0,0,0%
OP_CAT_XED_CATEGORY_BMI1_CORE_0,0,0%
OP_CAT_XED_CATEGORY_BMI2_CORE_0,0,0%
OP_CAT_XED_CATEGORY_BROADCAST_CORE_0,0,0%
OP_CAT_XED_CATEGORY_CALL_CORE_0,0,0%
OP_CAT_XED_CATEGORY_CET_CORE_0,0,0%
OP_CAT_XED_CATEGORY_CLDEMOTE_CORE_0,0,0%
OP_CAT_XED_CATEGORY_CLFLUSHOPT_CORE_0,0,0%
OP_CAT_XED_CATEGORY_CLWB_CORE_0,0,0%
OP_CAT_XED_CATEGORY_CLZERO_CORE_0,0,0%
OP_CAT_XED_CATEGORY_CMOV_CORE_0,0,0%
OP_CAT_XED_CATEGORY_COMPRESS_CORE_0,0,0%
OP_CAT_XED_CATEGORY_COND_BR_CORE_0,0,0%
OP_CAT_XED_CATEGORY_CONFLICT_CORE_0,0,0%
OP_CAT_XED_CATEGORY_CONVERT_CORE_0,0,0%
