stat,raw_value,agg_value
DRAM_PRECHARGE,2,2
DRAM_ACTIVATE,101,101
DRAM_COLUMN,1539,1539
DRAM_AVG_LATENCY_BASE,1539,1539
DRAM_AVG_LATENCY,211392,137.357
BANDWIDTH_TOT,196800,196800
DRAM_CHANNEL0_BANDWIDTH_SATURATED,4273,4273
DRAM_CHANNEL1_BANDWIDTH_SATURATED,3218,3218
DRAM_CHANNEL2_BANDWIDTH_SATURATED,4078,4078
DRAM_CHANNEL3_BANDWIDTH_SATURATED,3319,3319
DRAM_CHANNEL4_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL5_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL6_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL7_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL0_DBUS_IDLE,931096,931096
DRAM_CHANNEL1_DBUS_IDLE,931440,931440
DRAM_CHANNEL2_DBUS_IDLE,931456,931456
DRAM_CHANNEL3_DBUS_IDLE,931808,931808
DRAM_CHANNEL4_DBUS_IDLE,0,0
DRAM_CHANNEL5_DBUS_IDLE,0,0
DRAM_CHANNEL6_DBUS_IDLE,0,0
DRAM_CHANNEL7_DBUS_IDLE,0,0
