stat,raw_value,agg_value
INST_COUNT_TOT,253472,253472
UOP_COUNT_TOT,253472,253472
CYC_COUNT_TOT,644595,644595
EXE_TIME,0,0
NUM_REPEAT,0,0
CYC_COUNT_X86,0,0
CYC_COUNT_ACC,644595,644595
AVG_BLOCK_EXE_CYCLE,10189795,10189795
AVG_BLOCK_EXE_CYCLE_BASE,16,16
PROGRESS_ERROR,0,0
FILE_OPEN_ERROR,0,0
NUM_THREAD,0,0
APPL_CYC_COUNT_BASE0,1,1
APPL_CYC_COUNT_BASE1,0,0
APPL_CYC_COUNT_BASE2,0,0
APPL_CYC_COUNT_BASE3,0,0
APPL_CYC_COUNT_BASE4,0,0
APPL_CYC_COUNT0,644595,644595
APPL_CYC_COUNT1,0,NaN
APPL_CYC_COUNT2,0,NaN
APPL_CYC_COUNT3,0,NaN
APPL_CYC_COUNT4,0,NaN
CPI_DELTA_BASE0,0,0
CPI_DELTA_BASE1,0,0
CPI_DELTA_BASE2,0,0
CPI_DELTA_BASE3,0,0
CPI_DELTA_BASE4,0,0
CPI_DELTA0,0,NaN
CPI_DELTA1,0,NaN
CPI_DELTA2,0,NaN
CPI_DELTA3,0,NaN
CPI_DELTA4,0,NaN
CYCLE_CPU,0,0
CYCLE_GPU,0,0
INST_COUNT_CORE_0,15842,15842
UOP_COUNT_CORE_0,15842,15842
CYC_COUNT_CORE_0,18084,18084
INST_COUNT_CORE_1,15842,15842
UOP_COUNT_CORE_1,15842,15842
CYC_COUNT_CORE_1,18052,18052
INST_COUNT_CORE_2,15842,15842
UOP_COUNT_CORE_2,15842,15842
CYC_COUNT_CORE_2,18186,18186
INST_COUNT_CORE_3,15842,15842
UOP_COUNT_CORE_3,15842,15842
CYC_COUNT_CORE_3,18244,18244
INST_COUNT_CORE_4,15842,15842
UOP_COUNT_CORE_4,15842,15842
CYC_COUNT_CORE_4,18222,18222
INST_COUNT_CORE_5,15842,15842
UOP_COUNT_CORE_5,15842,15842
CYC_COUNT_CORE_5,17980,17980
INST_COUNT_CORE_6,15842,15842
UOP_COUNT_CORE_6,15842,15842
CYC_COUNT_CORE_6,18269,18269
INST_COUNT_CORE_7,15842,15842
UOP_COUNT_CORE_7,15842,15842
CYC_COUNT_CORE_7,18315,18315
INST_COUNT_CORE_8,15842,15842
UOP_COUNT_CORE_8,15842,15842
CYC_COUNT_CORE_8,18088,18088
INST_COUNT_CORE_9,15842,15842
UOP_COUNT_CORE_9,15842,15842
CYC_COUNT_CORE_9,18023,18023
INST_COUNT_CORE_10,15842,15842
UOP_COUNT_CORE_10,15842,15842
CYC_COUNT_CORE_10,18299,18299
INST_COUNT_CORE_11,15842,15842
UOP_COUNT_CORE_11,15842,15842
CYC_COUNT_CORE_11,18368,18368
INST_COUNT_CORE_12,15842,15842
UOP_COUNT_CORE_12,15842,15842
CYC_COUNT_CORE_12,18025,18025
INST_COUNT_CORE_13,15842,15842
UOP_COUNT_CORE_13,15842,15842
CYC_COUNT_CORE_13,18212,18212
INST_COUNT_CORE_14,15842,15842
UOP_COUNT_CORE_14,15842,15842
CYC_COUNT_CORE_14,18368,18368
INST_COUNT_CORE_15,15842,15842
UOP_COUNT_CORE_15,15842,15842
