stat,raw_value,agg_value
AVG_MEMORY_LATENCY_BASE,274253,274253
AVG_MEMORY_LATENCY,31959330,116.532
MSHR_FULL,0,0
TOTAL_MEMORY,274253,274253
TOTAL_MEMORY_MERGE,90021,0.328241
TOTAL_WB,0,0
L1_WB,0,NaN
L2_WB,0,NaN
LLC_WB,0,NaN
TOTAL_DRAM,68100,68100
TOTAL_DRAM_MERGE,0,0
L1_HIT_CPU,0,0
L1_HIT_GPU,0,0
L1_MISS_CPU,0,0
L1_MISS_GPU,270336,270336
L2_HIT_CPU,0,0
L2_HIT_GPU,0,0
L2_MISS_CPU,0,0
L2_MISS_GPU,184232,184232
L3_HIT_CPU,0,0
L3_HIT_GPU,0,0
L3_MISS_CPU,0,0
L3_MISS_GPU,184232,184232
LLC_HIT_CPU,0,0
LLC_HIT_GPU,116132,116132
LLC_MISS_CPU,0,0
LLC_MISS_GPU,68100,68100
LLC_HIT_PROMOTION_CPU,0,0
LLC_HIT_PROMOTION_GPU,0,0
FETCH_THREAD_SKIP_LD_WAIT,0,0
FETCH_THREAD_SKIP_BR_WAIT,0,0
FETCH_THREAD_SKIP_SCHED_WAIT,0,0
NUM_MUL_TRANS_CM_TM_DM_INST,0,0
NUM_MUL_TRANS_CM_TM_DM,0,NaN
CONST_CACHE_HIT,0,0
CONST_CACHE_MISS,0,0
CONST_CACHE_MISS_NO_EXECUTE,0,0
CONST_CACHE_ACCESS,0,0
TEXTURE_CACHE_HIT,0,0
TEXTURE_CACHE_MISS,0,0
TEXTURE_CACHE_NO_EXECUTE,0,0
TEXTURE_CACHE_ACCESS,0,0
SHARED_MEM_INST,0,0
SHARED_MEM_ACCESS,8716288,8716288
CACHE_BANK_BUSY,1423,1423
ICACHE_MISS_TOTAL,3917,3917
TOTAL_CAGE_PERIOD,0,0
TOTAL_CAGE_APPL0,0,NaN
TOTAL_CAGE_APPL1,0,NaN
TOTAL_CAGE_APPL2,0,NaN
TOTAL_CAGE_APPL3,0,NaN
TOTAL_CAGE_APPL4,0,NaN
ABIP_AVG_RATIO_BASE,0,0
ABIP_AVG_RATIO,0,NaN
TOTAL_WRITE_ACKS,8192,8192
TOTAL_WRITES,8192,8192
NUM_PHYSICAL_PAGES,0,0
UNIQUE_PAGE,0,0
REALLOCATION,0,0
EVICTION,0,0
AVG_PAGE_FAULTS_PER_BATCH_BASE,0,0
AVG_PAGE_FAULTS_PER_BATCH,0,NaN
MAX_PAGE_FAULTS_PER_BATCH,0,NaN
LD_NO_FORWARD,262144,100%
FORWARDED_LD,0,0%
MEM_STALL_CYCLE_CORE_0,0,0
ICACHE_FILL_CORE_0,96,96
NUM_WRITE_ACKS_CORE_0,192,192
NUM_WRITES_CORE_0,192,192
ICACHE_HIT_CORE_0,353100,99.9728%
ICACHE_MISS_CORE_0,96,0.0271804%
MEM_STALL_CYCLE_CORE_1,0,0
ICACHE_FILL_CORE_1,96,96
NUM_WRITE_ACKS_CORE_1,192,192
NUM_WRITES_CORE_1,192,192
ICACHE_HIT_CORE_1,353100,99.9728%
ICACHE_MISS_CORE_1,96,0.0271804%
MEM_STALL_CYCLE_CORE_2,0,0
ICACHE_FILL_CORE_2,96,96
NUM_WRITE_ACKS_CORE_2,192,192
NUM_WRITES_CORE_2,192,192
ICACHE_HIT_CORE_2,353100,99.9728%
ICACHE_MISS_CORE_2,96,0.0271804%
MEM_STALL_CYCLE_CORE_3,0,0
ICACHE_FILL_CORE_3,77,77
NUM_WRITE_ACKS_CORE_3,192,192
NUM_WRITES_CORE_3,192,192
ICACHE_HIT_CORE_3,353100,99.9782%
ICACHE_MISS_CORE_3,77,0.0218021%
MEM_STALL_CYCLE_CORE_4,0,0
ICACHE_FILL_CORE_4,72,72
NUM_WRITE_ACKS_CORE_4,192,192
NUM_WRITES_CORE_4,192,192
ICACHE_HIT_CORE_4,353100,99.9796%
ICACHE_MISS_CORE_4,72,0.0203867%
MEM_STALL_CYCLE_CORE_5,0,0
ICACHE_FILL_CORE_5,73,73
NUM_WRITE_ACKS_CORE_5,192,192
NUM_WRITES_CORE_5,192,192
ICACHE_HIT_CORE_5,353100,99.9793%
ICACHE_MISS_CORE_5,73,0.0206698%
MEM_STALL_CYCLE_CORE_6,0,0
ICACHE_FILL_CORE_6,88,88
NUM_WRITE_ACKS_CORE_6,192,192
NUM_WRITES_CORE_6,192,192
ICACHE_HIT_CORE_6,353100,99.9751%
ICACHE_MISS_CORE_6,88,0.0249159%
MEM_STALL_CYCLE_CORE_7,0,0
ICACHE_FILL_CORE_7,96,96
NUM_WRITE_ACKS_CORE_7,192,192
NUM_WRITES_CORE_7,192,192
ICACHE_HIT_CORE_7,353100,99.9728%
ICACHE_MISS_CORE_7,96,0.0271804%
MEM_STALL_CYCLE_CORE_8,0,0
ICACHE_FILL_CORE_8,80,80
NUM_WRITE_ACKS_CORE_8,192,192
NUM_WRITES_CORE_8,192,192
ICACHE_HIT_CORE_8,353100,99.9773%
ICACHE_MISS_CORE_8,80,0.0226513%
MEM_STALL_CYCLE_CORE_9,0,0
ICACHE_FILL_CORE_9,96,96
NUM_WRITE_ACKS_CORE_9,192,192
NUM_WRITES_CORE_9,192,192
ICACHE_HIT_CORE_9,353100,99.9728%
