stat,raw_value,agg_value
DISPATCHED_INST,285824,285824
DISPATCH_WAIT,11997691,41.9758
NUM_NO_FETCH_CYCLES,77212,77212
AVG_CORE_IDLE_CYCLE,691155,691155
REEXEC_NUM,0,0
INV_MATCH_NUM,0,0
EARLY_PERM_NUM,0,0
PERM_MATCH_NUM,0,0
RETIRE_SPECLD_NUM,0,0
RETIRE_SPECST_NUM,0,0
FENCE_HEAD_ROB_WAIT,0,0
NUM_SAMPLES_CORE_0,33673,33673
NUM_ACTIVE_BLOCKS_CORE_0,64394,1.91233
NUM_ACTIVE_THREADS_CORE_0,410120,12.1795
NUM_SCHED_IDLE_CYCLE_CORE_0,0,0
NUM_NO_SCHED_CYCLE_CORE_0,12713,12713
CORE_DISPATCHED_INST_CORE_0,8932,8932
CORE_DISPATCH_WAIT_CORE_0,262866,29.4297
CORE_CYCLES_CORE_0,0,0
CORE_SCHED_THREADS_CORE_0,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_0,1605,1605
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_0,0,0
CORE_NUM_FETCH_CYCLES_CORE_0,0,0
CORE_FETCH_DELTA_CORE_0,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_0,0,0
CORE_RETIRE_DELTA_CORE_0,0,NaN
FENCE_PREF_REQ_CORE_0,0,0
FENCE_WAITING_CORE_0,0,0
DYN_FENCE_NUM_CORE_0,0,0
WB_ORDERING_STALL_CORE_0,0,0
WB_FULL_CORE_0,0,0
FENCE_TOT_CYCLES_CORE_0,0,0
FENCE_EXEC_CYCLES_CORE_0,0,0
STORE_RES_CORE_0,0,0
STORE_NUM_CORE_0,0,0
STORE_WB_FREE_CORE_0,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_0,8932,21.3868%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_0,28689,68.6931%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_0,3957,9.47467%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_0,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_0,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_0,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_0,186,0.44536%
NUM_SAMPLES_CORE_1,32937,32937
NUM_ACTIVE_BLOCKS_CORE_1,64991,1.97319
NUM_ACTIVE_THREADS_CORE_1,492310,14.947
NUM_SCHED_IDLE_CYCLE_CORE_1,0,0
NUM_NO_SCHED_CYCLE_CORE_1,12396,12396
CORE_DISPATCHED_INST_CORE_1,8932,8932
CORE_DISPATCH_WAIT_CORE_1,265546,29.7297
CORE_CYCLES_CORE_1,0,0
CORE_SCHED_THREADS_CORE_1,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_1,1689,1689
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_1,0,0
CORE_NUM_FETCH_CYCLES_CORE_1,0,0
CORE_FETCH_DELTA_CORE_1,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_1,0,0
CORE_RETIRE_DELTA_CORE_1,0,NaN
FENCE_PREF_REQ_CORE_1,0,0
FENCE_WAITING_CORE_1,0,0
DYN_FENCE_NUM_CORE_1,0,0
WB_ORDERING_STALL_CORE_1,0,0
WB_FULL_CORE_1,0,0
FENCE_TOT_CYCLES_CORE_1,0,0
FENCE_EXEC_CYCLES_CORE_1,0,0
STORE_RES_CORE_1,0,0
STORE_NUM_CORE_1,0,0
STORE_WB_FREE_CORE_1,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_1,8932,20.621%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_1,30142,69.5879%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_1,4039,9.32471%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_1,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_1,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_1,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_1,202,0.466351%
NUM_SAMPLES_CORE_2,38806,38806
NUM_ACTIVE_BLOCKS_CORE_2,73750,1.90048
NUM_ACTIVE_THREADS_CORE_2,527446,13.5919
NUM_SCHED_IDLE_CYCLE_CORE_2,0,0
NUM_NO_SCHED_CYCLE_CORE_2,15283,15283
CORE_DISPATCHED_INST_CORE_2,8932,8932
CORE_DISPATCH_WAIT_CORE_2,271549,30.4018
CORE_CYCLES_CORE_2,0,0
CORE_SCHED_THREADS_CORE_2,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_2,1657,1657
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_2,0,0
CORE_NUM_FETCH_CYCLES_CORE_2,0,0
CORE_FETCH_DELTA_CORE_2,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_2,0,0
CORE_RETIRE_DELTA_CORE_2,0,NaN
FENCE_PREF_REQ_CORE_2,0,0
FENCE_WAITING_CORE_2,0,0
DYN_FENCE_NUM_CORE_2,0,0
WB_ORDERING_STALL_CORE_2,0,0
WB_FULL_CORE_2,0,0
FENCE_TOT_CYCLES_CORE_2,0,0
FENCE_EXEC_CYCLES_CORE_2,0,0
STORE_RES_CORE_2,0,0
STORE_NUM_CORE_2,0,0
STORE_WB_FREE_CORE_2,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_2,8932,19.9942%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_2,31539,70.5997%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_2,4024,9.00768%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_2,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_2,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_2,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_2,178,0.398451%
NUM_SAMPLES_CORE_3,36329,36329
NUM_ACTIVE_BLOCKS_CORE_3,69367,1.90941
NUM_ACTIVE_THREADS_CORE_3,513539,14.1358
NUM_SCHED_IDLE_CYCLE_CORE_3,0,0
NUM_NO_SCHED_CYCLE_CORE_3,14054,14054
CORE_DISPATCHED_INST_CORE_3,8932,8932
CORE_DISPATCH_WAIT_CORE_3,270374,30.2703
CORE_CYCLES_CORE_3,0,0
CORE_SCHED_THREADS_CORE_3,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_3,1645,1645
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_3,0,0
CORE_NUM_FETCH_CYCLES_CORE_3,0,0
CORE_FETCH_DELTA_CORE_3,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_3,0,0
CORE_RETIRE_DELTA_CORE_3,0,NaN
FENCE_PREF_REQ_CORE_3,0,0
FENCE_WAITING_CORE_3,0,0
DYN_FENCE_NUM_CORE_3,0,0
WB_ORDERING_STALL_CORE_3,0,0
WB_FULL_CORE_3,0,0
FENCE_TOT_CYCLES_CORE_3,0,0
FENCE_EXEC_CYCLES_CORE_3,0,0
