stat,raw_value,agg_value
DRAM_PRECHARGE,3,3
DRAM_ACTIVATE,68,68
DRAM_COLUMN,1054,1054
DRAM_AVG_LATENCY_BASE,1054,1054
DRAM_AVG_LATENCY,230980,219.146
BANDWIDTH_TOT,134720,134720
DRAM_CHANNEL0_BANDWIDTH_SATURATED,2887,2887
DRAM_CHANNEL1_BANDWIDTH_SATURATED,2299,2299
DRAM_CHANNEL2_BANDWIDTH_SATURATED,2365,2365
DRAM_CHANNEL3_BANDWIDTH_SATURATED,2030,2030
DRAM_CHANNEL4_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL5_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL6_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL7_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL0_DBUS_IDLE,2039808,2039808
DRAM_CHANNEL1_DBUS_IDLE,2040104,2040104
DRAM_CHANNEL2_DBUS_IDLE,2039648,2039648
DRAM_CHANNEL3_DBUS_IDLE,2039856,2039856
DRAM_CHANNEL4_DBUS_IDLE,0,0
DRAM_CHANNEL5_DBUS_IDLE,0,0
DRAM_CHANNEL6_DBUS_IDLE,0,0
DRAM_CHANNEL7_DBUS_IDLE,0,0
