stat,raw_value,agg_value
INST_COUNT_TOT,71456,71456
UOP_COUNT_TOT,71456,71456
CYC_COUNT_TOT,578621,578621
EXE_TIME,2,2
NUM_REPEAT,0,0
CYC_COUNT_X86,0,0
CYC_COUNT_ACC,578620,578620
AVG_BLOCK_EXE_CYCLE,78577116,78577116
AVG_BLOCK_EXE_CYCLE_BASE,256,256
PROGRESS_ERROR,0,0
FILE_OPEN_ERROR,0,0
NUM_THREAD,0,0
APPL_CYC_COUNT_BASE0,1,1
APPL_CYC_COUNT_BASE1,0,0
APPL_CYC_COUNT_BASE2,0,0
APPL_CYC_COUNT_BASE3,0,0
APPL_CYC_COUNT_BASE4,0,0
APPL_CYC_COUNT0,578620,578620
APPL_CYC_COUNT1,0,NaN
APPL_CYC_COUNT2,0,NaN
APPL_CYC_COUNT3,0,NaN
APPL_CYC_COUNT4,0,NaN
CPI_DELTA_BASE0,0,0
CPI_DELTA_BASE1,0,0
CPI_DELTA_BASE2,0,0
CPI_DELTA_BASE3,0,0
CPI_DELTA_BASE4,0,0
CPI_DELTA0,0,NaN
CPI_DELTA1,0,NaN
CPI_DELTA2,0,NaN
CPI_DELTA3,0,NaN
CPI_DELTA4,0,NaN
CYCLE_CPU,0,0
CYCLE_GPU,0,0
INST_COUNT_CORE_0,4466,4466
UOP_COUNT_CORE_0,4466,4466
CYC_COUNT_CORE_0,10210,10210
INST_COUNT_CORE_1,4466,4466
UOP_COUNT_CORE_1,4466,4466
CYC_COUNT_CORE_1,10752,10752
INST_COUNT_CORE_2,4466,4466
UOP_COUNT_CORE_2,4466,4466
CYC_COUNT_CORE_2,11665,11665
INST_COUNT_CORE_3,4466,4466
UOP_COUNT_CORE_3,4466,4466
CYC_COUNT_CORE_3,12719,12719
INST_COUNT_CORE_4,4466,4466
UOP_COUNT_CORE_4,4466,4466
CYC_COUNT_CORE_4,12270,12270
INST_COUNT_CORE_5,4466,4466
UOP_COUNT_CORE_5,4466,4466
CYC_COUNT_CORE_5,12821,12821
INST_COUNT_CORE_6,4466,4466
UOP_COUNT_CORE_6,4466,4466
CYC_COUNT_CORE_6,13784,13784
INST_COUNT_CORE_7,4466,4466
UOP_COUNT_CORE_7,4466,4466
CYC_COUNT_CORE_7,14529,14529
INST_COUNT_CORE_8,4466,4466
UOP_COUNT_CORE_8,4466,4466
CYC_COUNT_CORE_8,14298,14298
INST_COUNT_CORE_9,4466,4466
UOP_COUNT_CORE_9,4466,4466
CYC_COUNT_CORE_9,14711,14711
INST_COUNT_CORE_10,4466,4466
UOP_COUNT_CORE_10,4466,4466
CYC_COUNT_CORE_10,15450,15450
INST_COUNT_CORE_11,4466,4466
UOP_COUNT_CORE_11,4466,4466
CYC_COUNT_CORE_11,16114,16114
INST_COUNT_CORE_12,4466,4466
UOP_COUNT_CORE_12,4466,4466
CYC_COUNT_CORE_12,15680,15680
INST_COUNT_CORE_13,4466,4466
UOP_COUNT_CORE_13,4466,4466
CYC_COUNT_CORE_13,15910,15910
INST_COUNT_CORE_14,4466,4466
UOP_COUNT_CORE_14,4466,4466
CYC_COUNT_CORE_14,16397,16397
INST_COUNT_CORE_15,4466,4466
UOP_COUNT_CORE_15,4466,4466
CYC_COUNT_CORE_15,16314,16314
INST_COUNT_CORE_16,0,0
UOP_COUNT_CORE_16,0,0
CYC_COUNT_CORE_16,0,0
INST_COUNT_CORE_17,0,0
UOP_COUNT_CORE_17,0,0
CYC_COUNT_CORE_17,0,0
INST_COUNT_CORE_18,0,0
UOP_COUNT_CORE_18,0,0
CYC_COUNT_CORE_18,0,0
INST_COUNT_CORE_19,0,0
UOP_COUNT_CORE_19,0,0
CYC_COUNT_CORE_19,0,0
INST_COUNT_CORE_20,0,0
UOP_COUNT_CORE_20,0,0
CYC_COUNT_CORE_20,0,0
INST_COUNT_CORE_21,0,0
UOP_COUNT_CORE_21,0,0
CYC_COUNT_CORE_21,0,0
INST_COUNT_CORE_22,0,0
UOP_COUNT_CORE_22,0,0
CYC_COUNT_CORE_22,0,0
INST_COUNT_CORE_23,0,0
UOP_COUNT_CORE_23,0,0
CYC_COUNT_CORE_23,0,0
INST_COUNT_CORE_24,0,0
UOP_COUNT_CORE_24,0,0
CYC_COUNT_CORE_24,0,0
INST_COUNT_CORE_25,0,0
UOP_COUNT_CORE_25,0,0
CYC_COUNT_CORE_25,0,0
INST_COUNT_CORE_26,0,0
UOP_COUNT_CORE_26,0,0
CYC_COUNT_CORE_26,0,0
INST_COUNT_CORE_27,0,0
UOP_COUNT_CORE_27,0,0
CYC_COUNT_CORE_27,0,0
INST_COUNT_CORE_28,0,0
UOP_COUNT_CORE_28,0,0
CYC_COUNT_CORE_28,0,0
INST_COUNT_CORE_29,0,0
UOP_COUNT_CORE_29,0,0
CYC_COUNT_CORE_29,0,0
INST_COUNT_CORE_30,0,0
UOP_COUNT_CORE_30,0,0
CYC_COUNT_CORE_30,0,0
INST_COUNT_CORE_31,0,0
UOP_COUNT_CORE_31,0,0
CYC_COUNT_CORE_31,0,0
INST_COUNT_CORE_32,0,0
UOP_COUNT_CORE_32,0,0
CYC_COUNT_CORE_32,0,0
INST_COUNT_CORE_33,0,0
UOP_COUNT_CORE_33,0,0
CYC_COUNT_CORE_33,0,0
INST_COUNT_CORE_34,0,0
UOP_COUNT_CORE_34,0,0
CYC_COUNT_CORE_34,0,0
INST_COUNT_CORE_35,0,0
UOP_COUNT_CORE_35,0,0
CYC_COUNT_CORE_35,0,0
INST_COUNT_CORE_36,0,0
UOP_COUNT_CORE_36,0,0
CYC_COUNT_CORE_36,0,0
INST_COUNT_CORE_37,0,0
UOP_COUNT_CORE_37,0,0
CYC_COUNT_CORE_37,0,0
INST_COUNT_CORE_38,0,0
UOP_COUNT_CORE_38,0,0
CYC_COUNT_CORE_38,0,0
INST_COUNT_CORE_39,0,0
