stat,raw_value,agg_value
INST_COUNT_TOT,687718,687718
UOP_COUNT_TOT,687718,687718
CYC_COUNT_TOT,215335180,215335180
EXE_TIME,114,114
NUM_REPEAT,0,0
CYC_COUNT_X86,0,0
CYC_COUNT_ACC,215335179,215335179
AVG_BLOCK_EXE_CYCLE,106927088631,106927088631
AVG_BLOCK_EXE_CYCLE_BASE,977,977
PROGRESS_ERROR,0,0
FILE_OPEN_ERROR,0,0
NUM_THREAD,0,0
APPL_CYC_COUNT_BASE0,1,1
APPL_CYC_COUNT_BASE1,0,0
APPL_CYC_COUNT_BASE2,0,0
APPL_CYC_COUNT_BASE3,0,0
APPL_CYC_COUNT_BASE4,0,0
APPL_CYC_COUNT1,0,NaN
APPL_CYC_COUNT2,0,NaN
APPL_CYC_COUNT3,0,NaN
APPL_CYC_COUNT4,0,NaN
CPI_DELTA_BASE0,0,0
CPI_DELTA_BASE1,0,0
CPI_DELTA_BASE2,0,0
CPI_DELTA_BASE3,0,0
CPI_DELTA_BASE4,0,0
CPI_DELTA0,0,NaN
CPI_DELTA1,0,NaN
CPI_DELTA2,0,NaN
CPI_DELTA3,0,NaN
CPI_DELTA4,0,NaN
CYCLE_CPU,0,0
CYCLE_GPU,0,0
INST_COUNT_CORE_0,35200,35200
UOP_COUNT_CORE_0,35200,35200
CYC_COUNT_CORE_0,272932,272932
INST_COUNT_CORE_1,35110,35110
UOP_COUNT_CORE_1,35110,35110
CYC_COUNT_CORE_1,274805,274805
INST_COUNT_CORE_2,33088,33088
UOP_COUNT_CORE_2,33088,33088
CYC_COUNT_CORE_2,272013,272013
INST_COUNT_CORE_3,34496,34496
UOP_COUNT_CORE_3,34496,34496
CYC_COUNT_CORE_3,272649,272649
INST_COUNT_CORE_4,35200,35200
UOP_COUNT_CORE_4,35200,35200
CYC_COUNT_CORE_4,271603,271603
INST_COUNT_CORE_5,34496,34496
UOP_COUNT_CORE_5,34496,34496
CYC_COUNT_CORE_5,274086,274086
INST_COUNT_CORE_6,34496,34496
UOP_COUNT_CORE_6,34496,34496
CYC_COUNT_CORE_6,271695,271695
INST_COUNT_CORE_7,34496,34496
UOP_COUNT_CORE_7,34496,34496
CYC_COUNT_CORE_7,272592,272592
INST_COUNT_CORE_8,33792,33792
UOP_COUNT_CORE_8,33792,33792
CYC_COUNT_CORE_8,271623,271623
INST_COUNT_CORE_9,33792,33792
UOP_COUNT_CORE_9,33792,33792
CYC_COUNT_CORE_9,274957,274957
INST_COUNT_CORE_10,34496,34496
UOP_COUNT_CORE_10,34496,34496
CYC_COUNT_CORE_10,271658,271658
INST_COUNT_CORE_11,33792,33792
UOP_COUNT_CORE_11,33792,33792
CYC_COUNT_CORE_11,273062,273062
INST_COUNT_CORE_12,34496,34496
UOP_COUNT_CORE_12,34496,34496
CYC_COUNT_CORE_12,272799,272799
INST_COUNT_CORE_13,34496,34496
UOP_COUNT_CORE_13,34496,34496
CYC_COUNT_CORE_13,271600,271600
INST_COUNT_CORE_14,33792,33792
UOP_COUNT_CORE_14,33792,33792
CYC_COUNT_CORE_14,271875,271875
INST_COUNT_CORE_15,33792,33792
UOP_COUNT_CORE_15,33792,33792
CYC_COUNT_CORE_15,273687,273687
INST_COUNT_CORE_16,35200,35200
UOP_COUNT_CORE_16,35200,35200
CYC_COUNT_CORE_16,275014,275014
INST_COUNT_CORE_17,34496,34496
UOP_COUNT_CORE_17,34496,34496
CYC_COUNT_CORE_17,272544,272544
INST_COUNT_CORE_18,34496,34496
UOP_COUNT_CORE_18,34496,34496
CYC_COUNT_CORE_18,272791,272791
INST_COUNT_CORE_19,34496,34496
UOP_COUNT_CORE_19,34496,34496
CYC_COUNT_CORE_19,271799,271799
