stat,raw_value,agg_value
DRAM_PRECHARGE,0,0
DRAM_ACTIVATE,4,4
DRAM_COLUMN,191,191
DRAM_AVG_LATENCY_BASE,191,191
DRAM_AVG_LATENCY,240289,1258.06
BANDWIDTH_TOT,24320,24320
DRAM_CHANNEL0_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL1_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL2_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL3_BANDWIDTH_SATURATED,78,78
DRAM_CHANNEL4_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL5_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL6_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL7_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL0_DBUS_IDLE,78368,78368
DRAM_CHANNEL1_DBUS_IDLE,78384,78384
DRAM_CHANNEL2_DBUS_IDLE,76384,76384
DRAM_CHANNEL3_DBUS_IDLE,77360,77360
DRAM_CHANNEL4_DBUS_IDLE,0,0
DRAM_CHANNEL5_DBUS_IDLE,0,0
DRAM_CHANNEL6_DBUS_IDLE,0,0
DRAM_CHANNEL7_DBUS_IDLE,0,0
