stat,raw_value,agg_value
POWER_LLC_LINEFILL_BUF_R,191,191
POWER_LLC_LINEFILL_BUF_W,191,191
POWER_LLC_LINEFILL_BUF_R_TAG,191,191
POWER_LLC_WB_BUF_R,0,0
POWER_LLC_WB_BUF_W,0,0
POWER_LLC_WB_BUF_R_TAG,0,0
POWER_LLC_R,0,0
POWER_LLC_W,191,191
POWER_LLC_R_TAG,191,191
POWER_MC_R,444,444
POWER_MC_W,191,191
POWER_BLOCK_STATES_R_CORE_0,603,603
POWER_BLOCK_STATES_W_CORE_0,603,603
POWER_FETCH_QUEUE_R_CORE_0,768,768
POWER_FETCH_QUEUE_W_CORE_0,768,768
POWER_INST_QUEUE_R_CORE_0,1381,1381
POWER_INST_QUEUE_W_CORE_0,768,768
POWER_BR_PRED_R_CORE_0,32,32
POWER_BR_PRED_W_CORE_0,32,32
POWER_RAS_R_CORE_0,96,96
POWER_RAS_W_CORE_0,0,0
POWER_ICACHE_R_CORE_0,768,768
POWER_ICACHE_W_CORE_0,2,2
POWER_ICACHE_R_TAG_CORE_0,832,832
POWER_ICACHE_MISS_BUF_R_CORE_0,6,6
POWER_ICACHE_MISS_BUF_W_CORE_0,128,128
POWER_ICACHE_MISS_BUF_R_TAG_CORE_0,64,64
POWER_ICACHE_MISS_BUF_W_TAG_CORE_0,0,0
POWER_ICACHE_TOT_ACC_CORE_0,0,0
POWER_ICACHE_CONF_CORE_0,0,0
POWER_INST_DECODER_R_CORE_0,768,768
POWER_INST_DECODER_W_CORE_0,0,0
POWER_MICRO_OP_SEQ_R_CORE_0,0,0
POWER_MICRO_OP_SEQ_W_CORE_0,0,0
POWER_OPERAND_DECODER_R_CORE_0,768,768
POWER_OPERAND_DECODER_W_CORE_0,0,0
POWER_UOP_QUEUE_R_CORE_0,1381,1381
POWER_UOP_QUEUE_W_CORE_0,768,768
POWER_REG_RENAMING_TABLE_R_CORE_0,0,0
POWER_REG_RENAMING_TABLE_W_CORE_0,0,0
POWER_DEP_CHECK_LOGIC_R_CORE_0,768,768
POWER_FREELIST_R_CORE_0,0,0
POWER_FREELIST_W_CORE_0,0,0
POWER_RESERVATION_STATION_R_CORE_0,1439,1439
POWER_RESERVATION_STATION_W_CORE_0,768,768
POWER_RESERVATION_STATION_R_TAG_CORE_0,768,768
POWER_RESERVATION_STATION_W_TAG_CORE_0,0,0
POWER_INST_ISSUE_SEL_LOGIC_R_CORE_0,768,768
POWER_INST_ISSUE_SEL_LOGIC_W_CORE_0,768,768
POWER_PAYLOAD_RAM_R_CORE_0,768,768
POWER_PAYLOAD_RAM_W_CORE_0,768,768
POWER_EX_ALU_R_CORE_0,544,544
POWER_EX_FPU_R_CORE_0,0,0
POWER_EX_MUL_R_CORE_0,0,0
POWER_EX_SFU_R_CORE_0,0,0
POWER_REORDER_BUF_R_CORE_0,0,0
POWER_REORDER_BUF_W_CORE_0,0,0
POWER_INST_COMMIT_SEL_LOGIC_R_CORE_0,0,0
POWER_INST_COMMIT_SEL_LOGIC_W_CORE_0,768,768
POWER_FP_RENAME_R_CORE_0,0,0
POWER_FP_RENAME_W_CORE_0,0,0
POWER_LOAD_QUEUE_R_CORE_0,0,0
POWER_LOAD_QUEUE_W_CORE_0,0,0
POWER_LOAD_QUEUE_R_TAG_CORE_0,0,0
POWER_LOAD_QUEUE_W_TAG_CORE_0,0,0
POWER_STORE_QUEUE_R_CORE_0,0,0
POWER_STORE_QUEUE_W_CORE_0,0,0
POWER_STORE_QUEUE_R_TAG_CORE_0,0,0
POWER_STORE_QUEUE_W_TAG_CORE_0,0,0
POWER_DATA_TLB_R_CORE_0,0,0
