stat,raw_value,agg_value
BP_MISPRED_STALL_CORE_0,0,0
BP_RESOLVED_CORE_0,0,0
BP_REDIRECT_RESOLVED_CORE_0,0,0
PERFECT_TARGET_PRED_CORE_0,0,0
BP_ON_PATH_CORRECT_CORE_0,352,100%
BP_ON_PATH_MISPREDICT_CORE_0,0,0%
BP_ON_PATH_MISFETCH_CORE_0,0,0%
BP_MISPRED_STALL_CORE_1,0,0
BP_RESOLVED_CORE_1,0,0
BP_REDIRECT_RESOLVED_CORE_1,0,0
PERFECT_TARGET_PRED_CORE_1,0,0
BP_ON_PATH_CORRECT_CORE_1,384,100%
BP_ON_PATH_MISPREDICT_CORE_1,0,0%
BP_ON_PATH_MISFETCH_CORE_1,0,0%
BP_MISPRED_STALL_CORE_2,0,0
BP_RESOLVED_CORE_2,0,0
BP_REDIRECT_RESOLVED_CORE_2,0,0
PERFECT_TARGET_PRED_CORE_2,0,0
BP_ON_PATH_CORRECT_CORE_2,480,100%
BP_ON_PATH_MISPREDICT_CORE_2,0,0%
BP_ON_PATH_MISFETCH_CORE_2,0,0%
BP_MISPRED_STALL_CORE_3,0,0
BP_RESOLVED_CORE_3,0,0
BP_REDIRECT_RESOLVED_CORE_3,0,0
PERFECT_TARGET_PRED_CORE_3,0,0
BP_ON_PATH_CORRECT_CORE_3,544,100%
BP_ON_PATH_MISPREDICT_CORE_3,0,0%
BP_ON_PATH_MISFETCH_CORE_3,0,0%
BP_MISPRED_STALL_CORE_4,0,0
BP_RESOLVED_CORE_4,0,0
BP_REDIRECT_RESOLVED_CORE_4,0,0
PERFECT_TARGET_PRED_CORE_4,0,0
BP_ON_PATH_CORRECT_CORE_4,352,100%
BP_ON_PATH_MISPREDICT_CORE_4,0,0%
BP_ON_PATH_MISFETCH_CORE_4,0,0%
BP_MISPRED_STALL_CORE_5,0,0
BP_RESOLVED_CORE_5,0,0
BP_REDIRECT_RESOLVED_CORE_5,0,0
PERFECT_TARGET_PRED_CORE_5,0,0
BP_ON_PATH_CORRECT_CORE_5,320,100%
BP_ON_PATH_MISPREDICT_CORE_5,0,0%
BP_ON_PATH_MISFETCH_CORE_5,0,0%
BP_MISPRED_STALL_CORE_6,0,0
BP_RESOLVED_CORE_6,0,0
BP_REDIRECT_RESOLVED_CORE_6,0,0
PERFECT_TARGET_PRED_CORE_6,0,0
BP_ON_PATH_CORRECT_CORE_6,448,100%
BP_ON_PATH_MISPREDICT_CORE_6,0,0%
BP_ON_PATH_MISFETCH_CORE_6,0,0%
BP_MISPRED_STALL_CORE_7,0,0
BP_RESOLVED_CORE_7,0,0
BP_REDIRECT_RESOLVED_CORE_7,0,0
PERFECT_TARGET_PRED_CORE_7,0,0
BP_ON_PATH_CORRECT_CORE_7,320,100%
BP_ON_PATH_MISPREDICT_CORE_7,0,0%
BP_ON_PATH_MISFETCH_CORE_7,0,0%
BP_MISPRED_STALL_CORE_8,0,0
BP_RESOLVED_CORE_8,0,0
BP_REDIRECT_RESOLVED_CORE_8,0,0
PERFECT_TARGET_PRED_CORE_8,0,0
BP_ON_PATH_CORRECT_CORE_8,288,100%
BP_ON_PATH_MISPREDICT_CORE_8,0,0%
BP_ON_PATH_MISFETCH_CORE_8,0,0%
BP_MISPRED_STALL_CORE_9,0,0
BP_RESOLVED_CORE_9,0,0
BP_REDIRECT_RESOLVED_CORE_9,0,0
PERFECT_TARGET_PRED_CORE_9,0,0
BP_ON_PATH_CORRECT_CORE_9,320,100%
BP_ON_PATH_MISPREDICT_CORE_9,0,0%
BP_ON_PATH_MISFETCH_CORE_9,0,0%
BP_MISPRED_STALL_CORE_10,0,0
BP_RESOLVED_CORE_10,0,0
BP_REDIRECT_RESOLVED_CORE_10,0,0
PERFECT_TARGET_PRED_CORE_10,0,0
BP_ON_PATH_CORRECT_CORE_10,320,100%
BP_ON_PATH_MISPREDICT_CORE_10,0,0%
BP_ON_PATH_MISFETCH_CORE_10,0,0%
BP_MISPRED_STALL_CORE_11,0,0
BP_RESOLVED_CORE_11,0,0
BP_REDIRECT_RESOLVED_CORE_11,0,0
PERFECT_TARGET_PRED_CORE_11,0,0
BP_ON_PATH_CORRECT_CORE_11,352,100%
BP_ON_PATH_MISPREDICT_CORE_11,0,0%
BP_ON_PATH_MISFETCH_CORE_11,0,0%
BP_MISPRED_STALL_CORE_12,0,0
BP_RESOLVED_CORE_12,0,0
BP_REDIRECT_RESOLVED_CORE_12,0,0
PERFECT_TARGET_PRED_CORE_12,0,0
BP_ON_PATH_CORRECT_CORE_12,352,100%
BP_ON_PATH_MISPREDICT_CORE_12,0,0%
BP_ON_PATH_MISFETCH_CORE_12,0,0%
BP_MISPRED_STALL_CORE_13,0,0
BP_RESOLVED_CORE_13,0,0
BP_REDIRECT_RESOLVED_CORE_13,0,0
PERFECT_TARGET_PRED_CORE_13,0,0
BP_ON_PATH_CORRECT_CORE_13,352,100%
BP_ON_PATH_MISPREDICT_CORE_13,0,0%
BP_ON_PATH_MISFETCH_CORE_13,0,0%
BP_MISPRED_STALL_CORE_14,0,0
BP_RESOLVED_CORE_14,0,0
BP_REDIRECT_RESOLVED_CORE_14,0,0
PERFECT_TARGET_PRED_CORE_14,0,0
BP_ON_PATH_CORRECT_CORE_14,288,100%
BP_ON_PATH_MISPREDICT_CORE_14,0,0%
BP_ON_PATH_MISFETCH_CORE_14,0,0%
BP_MISPRED_STALL_CORE_15,0,0
BP_RESOLVED_CORE_15,0,0
BP_REDIRECT_RESOLVED_CORE_15,0,0
PERFECT_TARGET_PRED_CORE_15,0,0
BP_ON_PATH_CORRECT_CORE_15,416,100%
BP_ON_PATH_MISPREDICT_CORE_15,0,0%
BP_ON_PATH_MISFETCH_CORE_15,0,0%
BP_MISPRED_STALL_CORE_16,0,0
BP_RESOLVED_CORE_16,0,0
BP_REDIRECT_RESOLVED_CORE_16,0,0
PERFECT_TARGET_PRED_CORE_16,0,0
BP_ON_PATH_CORRECT_CORE_16,384,100%
BP_ON_PATH_MISPREDICT_CORE_16,0,0%
BP_ON_PATH_MISFETCH_CORE_16,0,0%
BP_MISPRED_STALL_CORE_17,0,0
BP_RESOLVED_CORE_17,0,0
BP_REDIRECT_RESOLVED_CORE_17,0,0
PERFECT_TARGET_PRED_CORE_17,0,0
BP_ON_PATH_CORRECT_CORE_17,288,100%
BP_ON_PATH_MISPREDICT_CORE_17,0,0%
BP_ON_PATH_MISFETCH_CORE_17,0,0%
BP_MISPRED_STALL_CORE_18,0,0
BP_RESOLVED_CORE_18,0,0
BP_REDIRECT_RESOLVED_CORE_18,0,0
PERFECT_TARGET_PRED_CORE_18,0,0
BP_ON_PATH_CORRECT_CORE_18,352,100%
BP_ON_PATH_MISPREDICT_CORE_18,0,0%
BP_ON_PATH_MISFETCH_CORE_18,0,0%
BP_MISPRED_STALL_CORE_19,0,0
BP_RESOLVED_CORE_19,0,0
BP_REDIRECT_RESOLVED_CORE_19,0,0
PERFECT_TARGET_PRED_CORE_19,0,0
BP_ON_PATH_CORRECT_CORE_19,256,100%
BP_ON_PATH_MISPREDICT_CORE_19,0,0%
BP_ON_PATH_MISFETCH_CORE_19,0,0%
BP_MISPRED_STALL_CORE_20,0,0
BP_RESOLVED_CORE_20,0,0
BP_REDIRECT_RESOLVED_CORE_20,0,0
PERFECT_TARGET_PRED_CORE_20,0,0
BP_ON_PATH_CORRECT_CORE_20,320,100%
BP_ON_PATH_MISPREDICT_CORE_20,0,0%
BP_ON_PATH_MISFETCH_CORE_20,0,0%
BP_MISPRED_STALL_CORE_21,0,0
BP_RESOLVED_CORE_21,0,0
BP_REDIRECT_RESOLVED_CORE_21,0,0
PERFECT_TARGET_PRED_CORE_21,0,0
BP_ON_PATH_CORRECT_CORE_21,416,100%
BP_ON_PATH_MISPREDICT_CORE_21,0,0%
BP_ON_PATH_MISFETCH_CORE_21,0,0%
BP_MISPRED_STALL_CORE_22,0,0
BP_RESOLVED_CORE_22,0,0
BP_REDIRECT_RESOLVED_CORE_22,0,0
PERFECT_TARGET_PRED_CORE_22,0,0
BP_ON_PATH_CORRECT_CORE_22,466,100%
BP_ON_PATH_MISPREDICT_CORE_22,0,0%
BP_ON_PATH_MISFETCH_CORE_22,0,0%
BP_MISPRED_STALL_CORE_23,0,0
BP_RESOLVED_CORE_23,0,0
BP_REDIRECT_RESOLVED_CORE_23,0,0
PERFECT_TARGET_PRED_CORE_23,0,0
BP_ON_PATH_CORRECT_CORE_23,320,100%
BP_ON_PATH_MISPREDICT_CORE_23,0,0%
BP_ON_PATH_MISFETCH_CORE_23,0,0%
BP_MISPRED_STALL_CORE_24,0,0
BP_RESOLVED_CORE_24,0,0
BP_REDIRECT_RESOLVED_CORE_24,0,0
PERFECT_TARGET_PRED_CORE_24,0,0
BP_ON_PATH_CORRECT_CORE_24,384,100%
BP_ON_PATH_MISPREDICT_CORE_24,0,0%
BP_ON_PATH_MISFETCH_CORE_24,0,0%
BP_MISPRED_STALL_CORE_25,0,0
BP_RESOLVED_CORE_25,0,0
BP_REDIRECT_RESOLVED_CORE_25,0,0
PERFECT_TARGET_PRED_CORE_25,0,0
BP_ON_PATH_CORRECT_CORE_25,256,100%
BP_ON_PATH_MISPREDICT_CORE_25,0,0%
BP_ON_PATH_MISFETCH_CORE_25,0,0%
BP_MISPRED_STALL_CORE_26,0,0
BP_RESOLVED_CORE_26,0,0
BP_REDIRECT_RESOLVED_CORE_26,0,0
PERFECT_TARGET_PRED_CORE_26,0,0
BP_ON_PATH_CORRECT_CORE_26,320,100%
BP_ON_PATH_MISPREDICT_CORE_26,0,0%
BP_ON_PATH_MISFETCH_CORE_26,0,0%
BP_MISPRED_STALL_CORE_27,0,0
BP_RESOLVED_CORE_27,0,0
BP_REDIRECT_RESOLVED_CORE_27,0,0
PERFECT_TARGET_PRED_CORE_27,0,0
BP_ON_PATH_CORRECT_CORE_27,288,100%
BP_ON_PATH_MISPREDICT_CORE_27,0,0%
BP_ON_PATH_MISFETCH_CORE_27,0,0%
BP_MISPRED_STALL_CORE_28,0,0
BP_RESOLVED_CORE_28,0,0
BP_REDIRECT_RESOLVED_CORE_28,0,0
PERFECT_TARGET_PRED_CORE_28,0,0
BP_ON_PATH_CORRECT_CORE_28,416,100%
BP_ON_PATH_MISPREDICT_CORE_28,0,0%
BP_ON_PATH_MISFETCH_CORE_28,0,0%
BP_MISPRED_STALL_CORE_29,0,0
BP_RESOLVED_CORE_29,0,0
BP_REDIRECT_RESOLVED_CORE_29,0,0
PERFECT_TARGET_PRED_CORE_29,0,0
BP_ON_PATH_CORRECT_CORE_29,288,100%
BP_ON_PATH_MISPREDICT_CORE_29,0,0%
BP_ON_PATH_MISFETCH_CORE_29,0,0%
BP_MISPRED_STALL_CORE_30,0,0
BP_RESOLVED_CORE_30,0,0
BP_REDIRECT_RESOLVED_CORE_30,0,0
PERFECT_TARGET_PRED_CORE_30,0,0
BP_ON_PATH_CORRECT_CORE_30,384,100%
BP_ON_PATH_MISPREDICT_CORE_30,0,0%
BP_ON_PATH_MISFETCH_CORE_30,0,0%
BP_MISPRED_STALL_CORE_31,0,0
BP_RESOLVED_CORE_31,0,0
BP_REDIRECT_RESOLVED_CORE_31,0,0
PERFECT_TARGET_PRED_CORE_31,0,0
BP_ON_PATH_CORRECT_CORE_31,352,100%
BP_ON_PATH_MISPREDICT_CORE_31,0,0%
BP_ON_PATH_MISFETCH_CORE_31,0,0%
BP_MISPRED_STALL_CORE_32,0,0
BP_RESOLVED_CORE_32,0,0
BP_REDIRECT_RESOLVED_CORE_32,0,0
PERFECT_TARGET_PRED_CORE_32,0,0
BP_ON_PATH_CORRECT_CORE_32,320,100%
BP_ON_PATH_MISPREDICT_CORE_32,0,0%
BP_ON_PATH_MISFETCH_CORE_32,0,0%
BP_MISPRED_STALL_CORE_33,0,0
BP_RESOLVED_CORE_33,0,0
BP_REDIRECT_RESOLVED_CORE_33,0,0
PERFECT_TARGET_PRED_CORE_33,0,0
BP_ON_PATH_CORRECT_CORE_33,320,100%
BP_ON_PATH_MISPREDICT_CORE_33,0,0%
BP_ON_PATH_MISFETCH_CORE_33,0,0%
BP_MISPRED_STALL_CORE_34,0,0
BP_RESOLVED_CORE_34,0,0
BP_REDIRECT_RESOLVED_CORE_34,0,0
PERFECT_TARGET_PRED_CORE_34,0,0
BP_ON_PATH_CORRECT_CORE_34,384,100%
BP_ON_PATH_MISPREDICT_CORE_34,0,0%
BP_ON_PATH_MISFETCH_CORE_34,0,0%
BP_MISPRED_STALL_CORE_35,0,0
BP_RESOLVED_CORE_35,0,0
BP_REDIRECT_RESOLVED_CORE_35,0,0
PERFECT_TARGET_PRED_CORE_35,0,0
BP_ON_PATH_CORRECT_CORE_35,384,100%
BP_ON_PATH_MISPREDICT_CORE_35,0,0%
BP_ON_PATH_MISFETCH_CORE_35,0,0%
BP_MISPRED_STALL_CORE_36,0,0
BP_RESOLVED_CORE_36,0,0
BP_REDIRECT_RESOLVED_CORE_36,0,0
PERFECT_TARGET_PRED_CORE_36,0,0
BP_ON_PATH_CORRECT_CORE_36,320,100%
BP_ON_PATH_MISPREDICT_CORE_36,0,0%
BP_ON_PATH_MISFETCH_CORE_36,0,0%
BP_MISPRED_STALL_CORE_37,0,0
BP_RESOLVED_CORE_37,0,0
BP_REDIRECT_RESOLVED_CORE_37,0,0
PERFECT_TARGET_PRED_CORE_37,0,0
BP_ON_PATH_CORRECT_CORE_37,384,100%
BP_ON_PATH_MISPREDICT_CORE_37,0,0%
BP_ON_PATH_MISFETCH_CORE_37,0,0%
BP_MISPRED_STALL_CORE_38,0,0
BP_RESOLVED_CORE_38,0,0
BP_REDIRECT_RESOLVED_CORE_38,0,0
PERFECT_TARGET_PRED_CORE_38,0,0
BP_ON_PATH_CORRECT_CORE_38,352,100%
BP_ON_PATH_MISPREDICT_CORE_38,0,0%
BP_ON_PATH_MISFETCH_CORE_38,0,0%
BP_MISPRED_STALL_CORE_39,0,0
BP_RESOLVED_CORE_39,0,0
BP_REDIRECT_RESOLVED_CORE_39,0,0
PERFECT_TARGET_PRED_CORE_39,0,0
BP_ON_PATH_CORRECT_CORE_39,448,100%
BP_ON_PATH_MISPREDICT_CORE_39,0,0%
BP_ON_PATH_MISFETCH_CORE_39,0,0%
BP_MISPRED_STALL_CORE_40,0,0
BP_RESOLVED_CORE_40,0,0
BP_REDIRECT_RESOLVED_CORE_40,0,0
PERFECT_TARGET_PRED_CORE_40,0,0
BP_ON_PATH_CORRECT_CORE_40,448,100%
BP_ON_PATH_MISPREDICT_CORE_40,0,0%
BP_ON_PATH_MISFETCH_CORE_40,0,0%
BP_MISPRED_STALL_CORE_41,0,0
BP_RESOLVED_CORE_41,0,0
BP_REDIRECT_RESOLVED_CORE_41,0,0
PERFECT_TARGET_PRED_CORE_41,0,0
BP_ON_PATH_CORRECT_CORE_41,224,100%
BP_ON_PATH_MISPREDICT_CORE_41,0,0%
BP_ON_PATH_MISFETCH_CORE_41,0,0%
BP_MISPRED_STALL_CORE_42,0,0
BP_RESOLVED_CORE_42,0,0
BP_REDIRECT_RESOLVED_CORE_42,0,0
PERFECT_TARGET_PRED_CORE_42,0,0
BP_ON_PATH_CORRECT_CORE_42,288,100%
BP_ON_PATH_MISPREDICT_CORE_42,0,0%
BP_ON_PATH_MISFETCH_CORE_42,0,0%
BP_MISPRED_STALL_CORE_43,0,0
BP_RESOLVED_CORE_43,0,0
BP_REDIRECT_RESOLVED_CORE_43,0,0
PERFECT_TARGET_PRED_CORE_43,0,0
BP_ON_PATH_CORRECT_CORE_43,384,100%
BP_ON_PATH_MISPREDICT_CORE_43,0,0%
BP_ON_PATH_MISFETCH_CORE_43,0,0%
BP_MISPRED_STALL_CORE_44,0,0
BP_RESOLVED_CORE_44,0,0
BP_REDIRECT_RESOLVED_CORE_44,0,0
PERFECT_TARGET_PRED_CORE_44,0,0
BP_ON_PATH_CORRECT_CORE_44,544,100%
BP_ON_PATH_MISPREDICT_CORE_44,0,0%
BP_ON_PATH_MISFETCH_CORE_44,0,0%
BP_MISPRED_STALL_CORE_45,0,0
BP_RESOLVED_CORE_45,0,0
BP_REDIRECT_RESOLVED_CORE_45,0,0
PERFECT_TARGET_PRED_CORE_45,0,0
BP_ON_PATH_CORRECT_CORE_45,416,100%
BP_ON_PATH_MISPREDICT_CORE_45,0,0%
BP_ON_PATH_MISFETCH_CORE_45,0,0%
BP_MISPRED_STALL_CORE_46,0,0
BP_RESOLVED_CORE_46,0,0
BP_REDIRECT_RESOLVED_CORE_46,0,0
PERFECT_TARGET_PRED_CORE_46,0,0
BP_ON_PATH_CORRECT_CORE_46,512,100%
BP_ON_PATH_MISPREDICT_CORE_46,0,0%
BP_ON_PATH_MISFETCH_CORE_46,0,0%
BP_MISPRED_STALL_CORE_47,0,0
BP_RESOLVED_CORE_47,0,0
BP_REDIRECT_RESOLVED_CORE_47,0,0
PERFECT_TARGET_PRED_CORE_47,0,0
BP_ON_PATH_CORRECT_CORE_47,512,100%
BP_ON_PATH_MISPREDICT_CORE_47,0,0%
BP_ON_PATH_MISFETCH_CORE_47,0,0%
BP_MISPRED_STALL_CORE_48,0,0
BP_RESOLVED_CORE_48,0,0
BP_REDIRECT_RESOLVED_CORE_48,0,0
PERFECT_TARGET_PRED_CORE_48,0,0
BP_ON_PATH_CORRECT_CORE_48,288,100%
BP_ON_PATH_MISPREDICT_CORE_48,0,0%
BP_ON_PATH_MISFETCH_CORE_48,0,0%
BP_MISPRED_STALL_CORE_49,0,0
BP_RESOLVED_CORE_49,0,0
BP_REDIRECT_RESOLVED_CORE_49,0,0
PERFECT_TARGET_PRED_CORE_49,0,0
BP_ON_PATH_CORRECT_CORE_49,480,100%
BP_ON_PATH_MISPREDICT_CORE_49,0,0%
BP_ON_PATH_MISFETCH_CORE_49,0,0%
BP_MISPRED_STALL_CORE_50,0,0
BP_RESOLVED_CORE_50,0,0
BP_REDIRECT_RESOLVED_CORE_50,0,0
PERFECT_TARGET_PRED_CORE_50,0,0
BP_ON_PATH_CORRECT_CORE_50,416,100%
BP_ON_PATH_MISPREDICT_CORE_50,0,0%
BP_ON_PATH_MISFETCH_CORE_50,0,0%
BP_MISPRED_STALL_CORE_51,0,0
BP_RESOLVED_CORE_51,0,0
BP_REDIRECT_RESOLVED_CORE_51,0,0
PERFECT_TARGET_PRED_CORE_51,0,0
BP_ON_PATH_CORRECT_CORE_51,416,100%
BP_ON_PATH_MISPREDICT_CORE_51,0,0%
BP_ON_PATH_MISFETCH_CORE_51,0,0%
BP_MISPRED_STALL_CORE_52,0,0
BP_RESOLVED_CORE_52,0,0
BP_REDIRECT_RESOLVED_CORE_52,0,0
PERFECT_TARGET_PRED_CORE_52,0,0
BP_ON_PATH_CORRECT_CORE_52,288,100%
BP_ON_PATH_MISPREDICT_CORE_52,0,0%
BP_ON_PATH_MISFETCH_CORE_52,0,0%
BP_MISPRED_STALL_CORE_53,0,0
BP_RESOLVED_CORE_53,0,0
BP_REDIRECT_RESOLVED_CORE_53,0,0
PERFECT_TARGET_PRED_CORE_53,0,0
BP_ON_PATH_CORRECT_CORE_53,352,100%
BP_ON_PATH_MISPREDICT_CORE_53,0,0%
BP_ON_PATH_MISFETCH_CORE_53,0,0%
BP_MISPRED_STALL_CORE_54,0,0
BP_RESOLVED_CORE_54,0,0
BP_REDIRECT_RESOLVED_CORE_54,0,0
PERFECT_TARGET_PRED_CORE_54,0,0
BP_ON_PATH_CORRECT_CORE_54,320,100%
BP_ON_PATH_MISPREDICT_CORE_54,0,0%
BP_ON_PATH_MISFETCH_CORE_54,0,0%
BP_MISPRED_STALL_CORE_55,0,0
BP_RESOLVED_CORE_55,0,0
BP_REDIRECT_RESOLVED_CORE_55,0,0
PERFECT_TARGET_PRED_CORE_55,0,0
BP_ON_PATH_CORRECT_CORE_55,416,100%
BP_ON_PATH_MISPREDICT_CORE_55,0,0%
BP_ON_PATH_MISFETCH_CORE_55,0,0%
BP_MISPRED_STALL_CORE_56,0,0
BP_RESOLVED_CORE_56,0,0
BP_REDIRECT_RESOLVED_CORE_56,0,0
PERFECT_TARGET_PRED_CORE_56,0,0
BP_ON_PATH_CORRECT_CORE_56,256,100%
BP_ON_PATH_MISPREDICT_CORE_56,0,0%
BP_ON_PATH_MISFETCH_CORE_56,0,0%
BP_MISPRED_STALL_CORE_57,0,0
BP_RESOLVED_CORE_57,0,0
BP_REDIRECT_RESOLVED_CORE_57,0,0
PERFECT_TARGET_PRED_CORE_57,0,0
BP_ON_PATH_CORRECT_CORE_57,384,100%
BP_ON_PATH_MISPREDICT_CORE_57,0,0%
BP_ON_PATH_MISFETCH_CORE_57,0,0%
BP_MISPRED_STALL_CORE_58,0,0
BP_RESOLVED_CORE_58,0,0
BP_REDIRECT_RESOLVED_CORE_58,0,0
PERFECT_TARGET_PRED_CORE_58,0,0
BP_ON_PATH_CORRECT_CORE_58,576,100%
BP_ON_PATH_MISPREDICT_CORE_58,0,0%
BP_ON_PATH_MISFETCH_CORE_58,0,0%
BP_MISPRED_STALL_CORE_59,0,0
BP_RESOLVED_CORE_59,0,0
BP_REDIRECT_RESOLVED_CORE_59,0,0
PERFECT_TARGET_PRED_CORE_59,0,0
BP_ON_PATH_CORRECT_CORE_59,288,100%
BP_ON_PATH_MISPREDICT_CORE_59,0,0%
BP_ON_PATH_MISFETCH_CORE_59,0,0%
BP_MISPRED_STALL_CORE_60,0,0
BP_RESOLVED_CORE_60,0,0
BP_REDIRECT_RESOLVED_CORE_60,0,0
PERFECT_TARGET_PRED_CORE_60,0,0
BP_ON_PATH_CORRECT_CORE_60,416,100%
BP_ON_PATH_MISPREDICT_CORE_60,0,0%
BP_ON_PATH_MISFETCH_CORE_60,0,0%
BP_MISPRED_STALL_CORE_61,0,0
BP_RESOLVED_CORE_61,0,0
BP_REDIRECT_RESOLVED_CORE_61,0,0
PERFECT_TARGET_PRED_CORE_61,0,0
BP_ON_PATH_CORRECT_CORE_61,320,100%
BP_ON_PATH_MISPREDICT_CORE_61,0,0%
BP_ON_PATH_MISFETCH_CORE_61,0,0%
BP_MISPRED_STALL_CORE_62,0,0
BP_RESOLVED_CORE_62,0,0
BP_REDIRECT_RESOLVED_CORE_62,0,0
PERFECT_TARGET_PRED_CORE_62,0,0
BP_ON_PATH_CORRECT_CORE_62,384,100%
BP_ON_PATH_MISPREDICT_CORE_62,0,0%
BP_ON_PATH_MISFETCH_CORE_62,0,0%
BP_MISPRED_STALL_CORE_63,0,0
BP_RESOLVED_CORE_63,0,0
BP_REDIRECT_RESOLVED_CORE_63,0,0
PERFECT_TARGET_PRED_CORE_63,0,0
BP_ON_PATH_CORRECT_CORE_63,320,100%
BP_ON_PATH_MISPREDICT_CORE_63,0,0%
BP_ON_PATH_MISFETCH_CORE_63,0,0%
BP_MISPRED_STALL_CORE_64,0,0
BP_RESOLVED_CORE_64,0,0
BP_REDIRECT_RESOLVED_CORE_64,0,0
PERFECT_TARGET_PRED_CORE_64,0,0
BP_ON_PATH_CORRECT_CORE_64,288,100%
BP_ON_PATH_MISPREDICT_CORE_64,0,0%
BP_ON_PATH_MISFETCH_CORE_64,0,0%
BP_MISPRED_STALL_CORE_65,0,0
BP_RESOLVED_CORE_65,0,0
BP_REDIRECT_RESOLVED_CORE_65,0,0
PERFECT_TARGET_PRED_CORE_65,0,0
BP_ON_PATH_CORRECT_CORE_65,288,100%
BP_ON_PATH_MISPREDICT_CORE_65,0,0%
BP_ON_PATH_MISFETCH_CORE_65,0,0%
BP_MISPRED_STALL_CORE_66,0,0
BP_RESOLVED_CORE_66,0,0
BP_REDIRECT_RESOLVED_CORE_66,0,0
PERFECT_TARGET_PRED_CORE_66,0,0
BP_ON_PATH_CORRECT_CORE_66,448,100%
BP_ON_PATH_MISPREDICT_CORE_66,0,0%
BP_ON_PATH_MISFETCH_CORE_66,0,0%
BP_MISPRED_STALL_CORE_67,0,0
BP_RESOLVED_CORE_67,0,0
BP_REDIRECT_RESOLVED_CORE_67,0,0
PERFECT_TARGET_PRED_CORE_67,0,0
BP_ON_PATH_CORRECT_CORE_67,384,100%
BP_ON_PATH_MISPREDICT_CORE_67,0,0%
BP_ON_PATH_MISFETCH_CORE_67,0,0%
BP_MISPRED_STALL_CORE_68,0,0
BP_RESOLVED_CORE_68,0,0
BP_REDIRECT_RESOLVED_CORE_68,0,0
PERFECT_TARGET_PRED_CORE_68,0,0
BP_ON_PATH_CORRECT_CORE_68,320,100%
BP_ON_PATH_MISPREDICT_CORE_68,0,0%
BP_ON_PATH_MISFETCH_CORE_68,0,0%
BP_MISPRED_STALL_CORE_69,0,0
BP_RESOLVED_CORE_69,0,0
BP_REDIRECT_RESOLVED_CORE_69,0,0
PERFECT_TARGET_PRED_CORE_69,0,0
BP_ON_PATH_CORRECT_CORE_69,256,100%
BP_ON_PATH_MISPREDICT_CORE_69,0,0%
BP_ON_PATH_MISFETCH_CORE_69,0,0%
BP_MISPRED_STALL_CORE_70,0,0
BP_RESOLVED_CORE_70,0,0
BP_REDIRECT_RESOLVED_CORE_70,0,0
PERFECT_TARGET_PRED_CORE_70,0,0
BP_ON_PATH_CORRECT_CORE_70,448,100%
BP_ON_PATH_MISPREDICT_CORE_70,0,0%
BP_ON_PATH_MISFETCH_CORE_70,0,0%
BP_MISPRED_STALL_CORE_71,0,0
BP_RESOLVED_CORE_71,0,0
BP_REDIRECT_RESOLVED_CORE_71,0,0
PERFECT_TARGET_PRED_CORE_71,0,0
BP_ON_PATH_CORRECT_CORE_71,352,100%
BP_ON_PATH_MISPREDICT_CORE_71,0,0%
BP_ON_PATH_MISFETCH_CORE_71,0,0%
BP_MISPRED_STALL_CORE_72,0,0
BP_RESOLVED_CORE_72,0,0
BP_REDIRECT_RESOLVED_CORE_72,0,0
PERFECT_TARGET_PRED_CORE_72,0,0
BP_ON_PATH_CORRECT_CORE_72,416,100%
BP_ON_PATH_MISPREDICT_CORE_72,0,0%
BP_ON_PATH_MISFETCH_CORE_72,0,0%
BP_MISPRED_STALL_CORE_73,0,0
BP_RESOLVED_CORE_73,0,0
BP_REDIRECT_RESOLVED_CORE_73,0,0
PERFECT_TARGET_PRED_CORE_73,0,0
BP_ON_PATH_CORRECT_CORE_73,288,100%
BP_ON_PATH_MISPREDICT_CORE_73,0,0%
BP_ON_PATH_MISFETCH_CORE_73,0,0%
BP_MISPRED_STALL_CORE_74,0,0
BP_RESOLVED_CORE_74,0,0
BP_REDIRECT_RESOLVED_CORE_74,0,0
PERFECT_TARGET_PRED_CORE_74,0,0
BP_ON_PATH_CORRECT_CORE_74,416,100%
BP_ON_PATH_MISPREDICT_CORE_74,0,0%
BP_ON_PATH_MISFETCH_CORE_74,0,0%
BP_MISPRED_STALL_CORE_75,0,0
BP_RESOLVED_CORE_75,0,0
BP_REDIRECT_RESOLVED_CORE_75,0,0
