stat,raw_value,agg_value
DISPATCHED_INST,687718,687718
DISPATCH_WAIT,457252269,664.883
NUM_NO_FETCH_CYCLES,1061,1061
AVG_CORE_IDLE_CYCLE,7523780,7523780
REEXEC_NUM,0,0
INV_MATCH_NUM,0,0
EARLY_PERM_NUM,0,0
PERM_MATCH_NUM,0,0
RETIRE_SPECLD_NUM,0,0
RETIRE_SPECST_NUM,0,0
FENCE_HEAD_ROB_WAIT,0,0
NUM_SAMPLES_CORE_0,189095,189095
NUM_ACTIVE_BLOCKS_CORE_0,189094,0.999995
NUM_ACTIVE_THREADS_CORE_0,5861130,30.9957
NUM_SCHED_IDLE_CYCLE_CORE_0,0,0
NUM_NO_SCHED_CYCLE_CORE_0,90112,90112
CORE_DISPATCHED_INST_CORE_0,7744,7744
CORE_DISPATCH_WAIT_CORE_0,6988863,902.487
CORE_CYCLES_CORE_0,0,0
CORE_SCHED_THREADS_CORE_0,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_0,12,12
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_0,0,0
CORE_NUM_FETCH_CYCLES_CORE_0,0,0
CORE_FETCH_DELTA_CORE_0,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_0,0,0
CORE_RETIRE_DELTA_CORE_0,0,NaN
FENCE_PREF_REQ_CORE_0,0,0
FENCE_WAITING_CORE_0,0,0
DYN_FENCE_NUM_CORE_0,0,0
WB_ORDERING_STALL_CORE_0,0,0
WB_FULL_CORE_0,0,0
FENCE_TOT_CYCLES_CORE_0,0,0
FENCE_EXEC_CYCLES_CORE_0,0,0
STORE_RES_CORE_0,0,0
STORE_NUM_CORE_0,0,0
STORE_WB_FREE_CORE_0,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_0,7744,0.784164%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_0,972476,98.4737%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_0,7329,0.74214%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_0,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_0,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_0,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_0,0,0%
NUM_SAMPLES_CORE_1,187912,187912
NUM_ACTIVE_BLOCKS_CORE_1,187911,0.999995
NUM_ACTIVE_THREADS_CORE_1,5344551,28.4418
NUM_SCHED_IDLE_CYCLE_CORE_1,0,0
NUM_NO_SCHED_CYCLE_CORE_1,89054,89054
CORE_DISPATCHED_INST_CORE_1,8448,8448
CORE_DISPATCH_WAIT_CORE_1,5729308,678.185
CORE_CYCLES_CORE_1,0,0
CORE_SCHED_THREADS_CORE_1,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_1,13,13
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_1,0,0
CORE_NUM_FETCH_CYCLES_CORE_1,0,0
CORE_FETCH_DELTA_CORE_1,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_1,0,0
CORE_RETIRE_DELTA_CORE_1,0,NaN
FENCE_PREF_REQ_CORE_1,0,0
FENCE_WAITING_CORE_1,0,0
DYN_FENCE_NUM_CORE_1,0,0
WB_ORDERING_STALL_CORE_1,0,0
WB_FULL_CORE_1,0,0
FENCE_TOT_CYCLES_CORE_1,0,0
FENCE_EXEC_CYCLES_CORE_1,0,0
STORE_RES_CORE_1,0,0
STORE_NUM_CORE_1,0,0
STORE_WB_FREE_CORE_1,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_1,8448,1.09228%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_1,756999,97.8762%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_1,7978,1.03152%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_1,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_1,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_1,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_1,0,0%
NUM_SAMPLES_CORE_2,186027,186027
NUM_ACTIVE_BLOCKS_CORE_2,186026,0.999995
NUM_ACTIVE_THREADS_CORE_2,4390943,23.6038
NUM_SCHED_IDLE_CYCLE_CORE_2,0,0
NUM_NO_SCHED_CYCLE_CORE_2,86880,86880
CORE_DISPATCHED_INST_CORE_2,10560,10560
CORE_DISPATCH_WAIT_CORE_2,5263159,498.405
CORE_CYCLES_CORE_2,0,0
CORE_SCHED_THREADS_CORE_2,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_2,16,16
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_2,0,0
CORE_NUM_FETCH_CYCLES_CORE_2,0,0
CORE_FETCH_DELTA_CORE_2,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_2,0,0
CORE_RETIRE_DELTA_CORE_2,0,NaN
FENCE_PREF_REQ_CORE_2,0,0
FENCE_WAITING_CORE_2,0,0
DYN_FENCE_NUM_CORE_2,0,0
WB_ORDERING_STALL_CORE_2,0,0
WB_FULL_CORE_2,0,0
FENCE_TOT_CYCLES_CORE_2,0,0
FENCE_EXEC_CYCLES_CORE_2,0,0
STORE_RES_CORE_2,0,0
STORE_NUM_CORE_2,0,0
STORE_WB_FREE_CORE_2,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_2,10560,1.38992%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_2,739238,97.2995%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_2,9957,1.31055%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_2,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_2,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_2,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_2,0,0%
NUM_SAMPLES_CORE_3,191498,191498
NUM_ACTIVE_BLOCKS_CORE_3,191497,0.999995
NUM_ACTIVE_THREADS_CORE_3,5761434,30.0861
NUM_SCHED_IDLE_CYCLE_CORE_3,0,0
NUM_NO_SCHED_CYCLE_CORE_3,88777,88777
CORE_DISPATCHED_INST_CORE_3,11968,11968
CORE_DISPATCH_WAIT_CORE_3,6363770,531.732
CORE_CYCLES_CORE_3,0,0
CORE_SCHED_THREADS_CORE_3,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_3,18,18
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_3,0,0
CORE_NUM_FETCH_CYCLES_CORE_3,0,0
CORE_FETCH_DELTA_CORE_3,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_3,0,0
CORE_RETIRE_DELTA_CORE_3,0,NaN
FENCE_PREF_REQ_CORE_3,0,0
FENCE_WAITING_CORE_3,0,0
DYN_FENCE_NUM_CORE_3,0,0
WB_ORDERING_STALL_CORE_3,0,0
WB_FULL_CORE_3,0,0
FENCE_TOT_CYCLES_CORE_3,0,0
FENCE_EXEC_CYCLES_CORE_3,0,0
STORE_RES_CORE_3,0,0
STORE_NUM_CORE_3,0,0
STORE_WB_FREE_CORE_3,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_3,11968,1.32494%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_3,880035,97.4258%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_3,11284,1.24922%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_3,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_3,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_3,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_3,0,0%
NUM_SAMPLES_CORE_4,186863,186863
NUM_ACTIVE_BLOCKS_CORE_4,186862,0.999995
NUM_ACTIVE_THREADS_CORE_4,4965795,26.5745
NUM_SCHED_IDLE_CYCLE_CORE_4,0,0
NUM_NO_SCHED_CYCLE_CORE_4,88996,88996
CORE_DISPATCHED_INST_CORE_4,7744,7744
CORE_DISPATCH_WAIT_CORE_4,5994865,774.13
CORE_CYCLES_CORE_4,0,0
CORE_SCHED_THREADS_CORE_4,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_4,12,12
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_4,0,0
CORE_NUM_FETCH_CYCLES_CORE_4,0,0
CORE_FETCH_DELTA_CORE_4,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_4,0,0
CORE_RETIRE_DELTA_CORE_4,0,NaN
FENCE_PREF_REQ_CORE_4,0,0
FENCE_WAITING_CORE_4,0,0
DYN_FENCE_NUM_CORE_4,0,0
WB_ORDERING_STALL_CORE_4,0,0
WB_FULL_CORE_4,0,0
FENCE_TOT_CYCLES_CORE_4,0,0
FENCE_EXEC_CYCLES_CORE_4,0,0
STORE_RES_CORE_4,0,0
STORE_NUM_CORE_4,0,0
STORE_WB_FREE_CORE_4,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_4,7744,0.894086%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_4,851075,98.2611%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_4,7317,0.844787%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_4,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_4,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_4,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_4,0,0%
NUM_SAMPLES_CORE_5,189695,189695
NUM_ACTIVE_BLOCKS_CORE_5,189694,0.999995
NUM_ACTIVE_THREADS_CORE_5,5884138,31.0189
NUM_SCHED_IDLE_CYCLE_CORE_5,0,0
NUM_NO_SCHED_CYCLE_CORE_5,90714,90714
CORE_DISPATCHED_INST_CORE_5,7040,7040
CORE_DISPATCH_WAIT_CORE_5,7170558,1018.55
CORE_CYCLES_CORE_5,0,0
CORE_SCHED_THREADS_CORE_5,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_5,11,11
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_5,0,0
CORE_NUM_FETCH_CYCLES_CORE_5,0,0
CORE_FETCH_DELTA_CORE_5,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_5,0,0
CORE_RETIRE_DELTA_CORE_5,0,NaN
FENCE_PREF_REQ_CORE_5,0,0
FENCE_WAITING_CORE_5,0,0
DYN_FENCE_NUM_CORE_5,0,0
WB_ORDERING_STALL_CORE_5,0,0
WB_FULL_CORE_5,0,0
FENCE_TOT_CYCLES_CORE_5,0,0
FENCE_EXEC_CYCLES_CORE_5,0,0
STORE_RES_CORE_5,0,0
STORE_NUM_CORE_5,0,0
STORE_WB_FREE_CORE_5,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_5,7040,0.691517%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_5,1004380,98.6571%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_5,6631,0.651343%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_5,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_5,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_5,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_5,0,0%
NUM_SAMPLES_CORE_6,190511,190511
NUM_ACTIVE_BLOCKS_CORE_6,190510,0.999995
NUM_ACTIVE_THREADS_CORE_6,4323584,22.6947
NUM_SCHED_IDLE_CYCLE_CORE_6,0,0
NUM_NO_SCHED_CYCLE_CORE_6,89540,89540
CORE_DISPATCHED_INST_CORE_6,9856,9856
CORE_DISPATCH_WAIT_CORE_6,3561051,361.308
CORE_CYCLES_CORE_6,0,0
CORE_SCHED_THREADS_CORE_6,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_6,15,15
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_6,0,0
CORE_NUM_FETCH_CYCLES_CORE_6,0,0
CORE_FETCH_DELTA_CORE_6,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_6,0,0
CORE_RETIRE_DELTA_CORE_6,0,NaN
FENCE_PREF_REQ_CORE_6,0,0
FENCE_WAITING_CORE_6,0,0
DYN_FENCE_NUM_CORE_6,0,0
WB_ORDERING_STALL_CORE_6,0,0
WB_FULL_CORE_6,0,0
FENCE_TOT_CYCLES_CORE_6,0,0
FENCE_EXEC_CYCLES_CORE_6,0,0
STORE_RES_CORE_6,0,0
STORE_NUM_CORE_6,0,0
STORE_WB_FREE_CORE_6,0,0
SCHED_FAILED_REASON_SUCCESS_CORE_6,9856,1.83813%
SCHED_FAILED_OPERANDS_NOT_READY_CORE_6,517064,96.4319%
SCHED_FAILED_NO_AVAILABLE_PORTS_CORE_6,9276,1.72996%
SCHED_FAILED_NO_MEM_REQ_SLOTS_CORE_6,0,0%
SCHED_FAILED_NO_AVAILABLE_SIMD_UNIT_CORE_6,0,0%
SCHED_FAILED_FENCE_ACTIVE_CORE_6,0,0%
SCHED_FAILED_MEM_MANAGEMENT_CORE_6,0,0%
NUM_SAMPLES_CORE_7,190096,190096
NUM_ACTIVE_BLOCKS_CORE_7,190095,0.999995
NUM_ACTIVE_THREADS_CORE_7,5179952,27.2491
NUM_SCHED_IDLE_CYCLE_CORE_7,0,0
NUM_NO_SCHED_CYCLE_CORE_7,90941,90941
CORE_DISPATCHED_INST_CORE_7,7040,7040
CORE_DISPATCH_WAIT_CORE_7,7331318,1041.38
CORE_CYCLES_CORE_7,0,0
CORE_SCHED_THREADS_CORE_7,0,NaN
CORE_NUM_NO_FETCH_CYCLES_CORE_7,11,11
CORE_NUM_NO_FETCH_CYCLES_WITH_READY_THREADS_CORE_7,0,0
CORE_NUM_FETCH_CYCLES_CORE_7,0,0
CORE_FETCH_DELTA_CORE_7,0,NaN
CORE_NUM_RETIRE_CYCLES_CORE_7,0,0
CORE_RETIRE_DELTA_CORE_7,0,NaN
