stat,raw_value,agg_value
INST_COUNT_TOT,687718,687718
UOP_COUNT_TOT,687718,687718
CYC_COUNT_TOT,3833460,3833460
EXE_TIME,0,0
NUM_REPEAT,0,0
CYC_COUNT_X86,0,0
CYC_COUNT_ACC,3833460,3833460
AVG_BLOCK_EXE_CYCLE,1985735313,1985735313
AVG_BLOCK_EXE_CYCLE_BASE,977,977
PROGRESS_ERROR,0,0
FILE_OPEN_ERROR,0,0
NUM_THREAD,0,0
APPL_CYC_COUNT_BASE0,1,1
APPL_CYC_COUNT_BASE1,0,0
APPL_CYC_COUNT_BASE2,0,0
APPL_CYC_COUNT_BASE3,0,0
APPL_CYC_COUNT_BASE4,0,0
APPL_CYC_COUNT1,0,NaN
APPL_CYC_COUNT2,0,NaN
APPL_CYC_COUNT3,0,NaN
APPL_CYC_COUNT4,0,NaN
CPI_DELTA_BASE0,0,0
CPI_DELTA_BASE1,0,0
CPI_DELTA_BASE2,0,0
CPI_DELTA_BASE3,0,0
CPI_DELTA_BASE4,0,0
CPI_DELTA0,0,NaN
CPI_DELTA1,0,NaN
CPI_DELTA2,0,NaN
CPI_DELTA3,0,NaN
CPI_DELTA4,0,NaN
CYCLE_CPU,0,0
CYCLE_GPU,0,0
INST_COUNT_CORE_0,7744,7744
UOP_COUNT_CORE_0,7744,7744
CYC_COUNT_CORE_0,189095,189095
INST_COUNT_CORE_1,8448,8448
UOP_COUNT_CORE_1,8448,8448
CYC_COUNT_CORE_1,187912,187912
INST_COUNT_CORE_2,10560,10560
UOP_COUNT_CORE_2,10560,10560
CYC_COUNT_CORE_2,186027,186027
INST_COUNT_CORE_3,11968,11968
UOP_COUNT_CORE_3,11968,11968
CYC_COUNT_CORE_3,191498,191498
INST_COUNT_CORE_4,7744,7744
UOP_COUNT_CORE_4,7744,7744
CYC_COUNT_CORE_4,186863,186863
INST_COUNT_CORE_5,7040,7040
UOP_COUNT_CORE_5,7040,7040
CYC_COUNT_CORE_5,189695,189695
INST_COUNT_CORE_6,9856,9856
UOP_COUNT_CORE_6,9856,9856
CYC_COUNT_CORE_6,190511,190511
INST_COUNT_CORE_7,7040,7040
UOP_COUNT_CORE_7,7040,7040
CYC_COUNT_CORE_7,190096,190096
INST_COUNT_CORE_8,6336,6336
UOP_COUNT_CORE_8,6336,6336
CYC_COUNT_CORE_8,187625,187625
INST_COUNT_CORE_9,7040,7040
UOP_COUNT_CORE_9,7040,7040
CYC_COUNT_CORE_9,185507,185507
INST_COUNT_CORE_10,7040,7040
UOP_COUNT_CORE_10,7040,7040
CYC_COUNT_CORE_10,185402,185402
INST_COUNT_CORE_11,7744,7744
UOP_COUNT_CORE_11,7744,7744
CYC_COUNT_CORE_11,188386,188386
INST_COUNT_CORE_12,7744,7744
UOP_COUNT_CORE_12,7744,7744
CYC_COUNT_CORE_12,184949,184949
INST_COUNT_CORE_13,7744,7744
UOP_COUNT_CORE_13,7744,7744
CYC_COUNT_CORE_13,189923,189923
INST_COUNT_CORE_14,6336,6336
UOP_COUNT_CORE_14,6336,6336
CYC_COUNT_CORE_14,189263,189263
INST_COUNT_CORE_15,9152,9152
UOP_COUNT_CORE_15,9152,9152
CYC_COUNT_CORE_15,189881,189881
INST_COUNT_CORE_16,8448,8448
UOP_COUNT_CORE_16,8448,8448
CYC_COUNT_CORE_16,188341,188341
INST_COUNT_CORE_17,6336,6336
UOP_COUNT_CORE_17,6336,6336
CYC_COUNT_CORE_17,186943,186943
INST_COUNT_CORE_18,7744,7744
UOP_COUNT_CORE_18,7744,7744
CYC_COUNT_CORE_18,187406,187406
INST_COUNT_CORE_19,5632,5632
UOP_COUNT_CORE_19,5632,5632
CYC_COUNT_CORE_19,187085,187085
INST_COUNT_CORE_20,7040,7040
UOP_COUNT_CORE_20,7040,7040
CYC_COUNT_CORE_20,189799,189799
INST_COUNT_CORE_21,9152,9152
UOP_COUNT_CORE_21,9152,9152
CYC_COUNT_CORE_21,188090,188090
INST_COUNT_CORE_22,10470,10470
UOP_COUNT_CORE_22,10470,10470
CYC_COUNT_CORE_22,187096,187096
INST_COUNT_CORE_23,7040,7040
UOP_COUNT_CORE_23,7040,7040
CYC_COUNT_CORE_23,187873,187873
INST_COUNT_CORE_24,8448,8448
UOP_COUNT_CORE_24,8448,8448
CYC_COUNT_CORE_24,188695,188695
INST_COUNT_CORE_25,5632,5632
UOP_COUNT_CORE_25,5632,5632
CYC_COUNT_CORE_25,188949,188949
INST_COUNT_CORE_26,7040,7040
UOP_COUNT_CORE_26,7040,7040
CYC_COUNT_CORE_26,189105,189105
INST_COUNT_CORE_27,6336,6336
UOP_COUNT_CORE_27,6336,6336
CYC_COUNT_CORE_27,184713,184713
INST_COUNT_CORE_28,9152,9152
UOP_COUNT_CORE_28,9152,9152
CYC_COUNT_CORE_28,190604,190604
INST_COUNT_CORE_29,6336,6336
UOP_COUNT_CORE_29,6336,6336
CYC_COUNT_CORE_29,190358,190358
INST_COUNT_CORE_30,8448,8448
UOP_COUNT_CORE_30,8448,8448
CYC_COUNT_CORE_30,184677,184677
INST_COUNT_CORE_31,7744,7744
UOP_COUNT_CORE_31,7744,7744
CYC_COUNT_CORE_31,188408,188408
INST_COUNT_CORE_32,7040,7040
UOP_COUNT_CORE_32,7040,7040
CYC_COUNT_CORE_32,188719,188719
INST_COUNT_CORE_33,7040,7040
UOP_COUNT_CORE_33,7040,7040
CYC_COUNT_CORE_33,186273,186273
INST_COUNT_CORE_34,8448,8448
UOP_COUNT_CORE_34,8448,8448
CYC_COUNT_CORE_34,189105,189105
INST_COUNT_CORE_35,8448,8448
UOP_COUNT_CORE_35,8448,8448
CYC_COUNT_CORE_35,188820,188820
INST_COUNT_CORE_36,7040,7040
UOP_COUNT_CORE_36,7040,7040
CYC_COUNT_CORE_36,191322,191322
INST_COUNT_CORE_37,8448,8448
UOP_COUNT_CORE_37,8448,8448
CYC_COUNT_CORE_37,190776,190776
INST_COUNT_CORE_38,7744,7744
UOP_COUNT_CORE_38,7744,7744
CYC_COUNT_CORE_38,187075,187075
INST_COUNT_CORE_39,9856,9856
UOP_COUNT_CORE_39,9856,9856
CYC_COUNT_CORE_39,191106,191106
