stat,raw_value,agg_value
AVG_MEMORY_LATENCY_BASE,192876,192876
AVG_MEMORY_LATENCY,664234613,3443.84
MSHR_FULL,0,0
TOTAL_MEMORY,192876,192876
TOTAL_MEMORY_MERGE,5374,0.0278625
TOTAL_WB,0,0
L1_WB,0,NaN
L2_WB,0,NaN
LLC_WB,0,NaN
TOTAL_DRAM,187502,187502
TOTAL_DRAM_MERGE,0,0
L1_HIT_CPU,0,0
L1_HIT_GPU,0,0
L1_MISS_CPU,0,0
L1_MISS_GPU,187500,187500
L2_HIT_CPU,0,0
L2_HIT_GPU,0,0
L2_MISS_CPU,0,0
L2_MISS_GPU,187502,187502
L3_HIT_CPU,0,0
L3_HIT_GPU,0,0
L3_MISS_CPU,0,0
L3_MISS_GPU,187502,187502
LLC_HIT_CPU,0,0
LLC_HIT_GPU,0,0
LLC_MISS_CPU,0,0
LLC_MISS_GPU,26602830,26602830
LLC_HIT_PROMOTION_CPU,0,0
LLC_HIT_PROMOTION_GPU,0,0
FETCH_THREAD_SKIP_LD_WAIT,0,0
FETCH_THREAD_SKIP_BR_WAIT,0,0
FETCH_THREAD_SKIP_SCHED_WAIT,0,0
NUM_MUL_TRANS_CM_TM_DM_INST,0,0
NUM_MUL_TRANS_CM_TM_DM,0,NaN
CONST_CACHE_HIT,0,0
CONST_CACHE_MISS,0,0
CONST_CACHE_MISS_NO_EXECUTE,0,0
CONST_CACHE_ACCESS,0,0
TEXTURE_CACHE_HIT,0,0
TEXTURE_CACHE_MISS,0,0
TEXTURE_CACHE_NO_EXECUTE,0,0
TEXTURE_CACHE_ACCESS,0,0
SHARED_MEM_INST,0,0
SHARED_MEM_ACCESS,125056,125056
CACHE_BANK_BUSY,5378,5378
ICACHE_MISS_TOTAL,5376,5376
TOTAL_CAGE_PERIOD,0,0
TOTAL_CAGE_APPL0,0,NaN
TOTAL_CAGE_APPL1,0,NaN
TOTAL_CAGE_APPL2,0,NaN
TOTAL_CAGE_APPL3,0,NaN
TOTAL_CAGE_APPL4,0,NaN
ABIP_AVG_RATIO_BASE,0,0
ABIP_AVG_RATIO,0,NaN
TOTAL_WRITE_ACKS,62500,62500
TOTAL_WRITES,62500,62500
NUM_PHYSICAL_PAGES,0,0
UNIQUE_PAGE,0,0
REALLOCATION,0,0
EVICTION,0,0
AVG_PAGE_FAULTS_PER_BATCH_BASE,0,0
AVG_PAGE_FAULTS_PER_BATCH,0,NaN
MAX_PAGE_FAULTS_PER_BATCH,0,NaN
LD_NO_FORWARD,62500,100%
FORWARDED_LD,0,0%
MEM_STALL_CYCLE_CORE_0,0,0
ICACHE_FILL_CORE_0,64,64
NUM_WRITE_ACKS_CORE_0,704,704
NUM_WRITES_CORE_0,704,704
ICACHE_HIT_CORE_0,7744,99.1803%
ICACHE_MISS_CORE_0,64,0.819672%
MEM_STALL_CYCLE_CORE_1,0,0
ICACHE_FILL_CORE_1,64,64
NUM_WRITE_ACKS_CORE_1,768,768
NUM_WRITES_CORE_1,768,768
ICACHE_HIT_CORE_1,8448,99.2481%
ICACHE_MISS_CORE_1,64,0.75188%
MEM_STALL_CYCLE_CORE_2,0,0
ICACHE_FILL_CORE_2,64,64
NUM_WRITE_ACKS_CORE_2,960,960
NUM_WRITES_CORE_2,960,960
ICACHE_HIT_CORE_2,10560,99.3976%
ICACHE_MISS_CORE_2,64,0.60241%
MEM_STALL_CYCLE_CORE_3,0,0
ICACHE_FILL_CORE_3,64,64
NUM_WRITE_ACKS_CORE_3,1088,1088
NUM_WRITES_CORE_3,1088,1088
ICACHE_HIT_CORE_3,11968,99.4681%
