stat,raw_value,agg_value
DRAM_PRECHARGE,14171,14171
DRAM_ACTIVATE,14427,14427
DRAM_COLUMN,187502,187502
DRAM_AVG_LATENCY_BASE,187502,187502
DRAM_AVG_LATENCY,66329255,353.752
BANDWIDTH_TOT,24000128,24000128
DRAM_CHANNEL0_BANDWIDTH_SATURATED,501880,501880
DRAM_CHANNEL1_BANDWIDTH_SATURATED,509904,509904
DRAM_CHANNEL2_BANDWIDTH_SATURATED,499004,499004
DRAM_CHANNEL3_BANDWIDTH_SATURATED,505478,505478
DRAM_CHANNEL4_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL5_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL6_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL7_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL0_DBUS_IDLE,8942528,8942528
DRAM_CHANNEL1_DBUS_IDLE,8943184,8943184
DRAM_CHANNEL2_DBUS_IDLE,8942512,8942512
DRAM_CHANNEL3_DBUS_IDLE,8942512,8942512
DRAM_CHANNEL4_DBUS_IDLE,0,0
DRAM_CHANNEL5_DBUS_IDLE,0,0
DRAM_CHANNEL6_DBUS_IDLE,0,0
DRAM_CHANNEL7_DBUS_IDLE,0,0
