stat,raw_value,agg_value
AVG_MEMORY_LATENCY_BASE,190444,190444
AVG_MEMORY_LATENCY,324391745,1703.34
MSHR_FULL,0,0
TOTAL_MEMORY,190444,190444
TOTAL_MEMORY_MERGE,2942,0.0154481
TOTAL_WB,0,0
L1_WB,0,NaN
L2_WB,0,NaN
LLC_WB,0,NaN
TOTAL_DRAM,187502,187502
TOTAL_DRAM_MERGE,0,0
L1_HIT_CPU,0,0
L1_HIT_GPU,0,0
L1_MISS_CPU,0,0
L1_MISS_GPU,187500,187500
L2_HIT_CPU,0,0
L2_HIT_GPU,0,0
L2_MISS_CPU,0,0
L2_MISS_GPU,187502,187502
L3_HIT_CPU,0,0
L3_HIT_GPU,0,0
L3_MISS_CPU,0,0
L3_MISS_GPU,187502,187502
LLC_HIT_CPU,0,0
LLC_HIT_GPU,0,0
LLC_MISS_CPU,0,0
LLC_MISS_GPU,187502,187502
LLC_HIT_PROMOTION_CPU,0,0
LLC_HIT_PROMOTION_GPU,0,0
FETCH_THREAD_SKIP_LD_WAIT,0,0
FETCH_THREAD_SKIP_BR_WAIT,0,0
FETCH_THREAD_SKIP_SCHED_WAIT,0,0
NUM_MUL_TRANS_CM_TM_DM_INST,0,0
NUM_MUL_TRANS_CM_TM_DM,0,NaN
CONST_CACHE_HIT,0,0
CONST_CACHE_MISS,0,0
CONST_CACHE_MISS_NO_EXECUTE,0,0
CONST_CACHE_ACCESS,0,0
TEXTURE_CACHE_HIT,0,0
TEXTURE_CACHE_MISS,0,0
TEXTURE_CACHE_NO_EXECUTE,0,0
TEXTURE_CACHE_ACCESS,0,0
SHARED_MEM_INST,0,0
SHARED_MEM_ACCESS,125056,125056
CACHE_BANK_BUSY,5993,5993
ICACHE_MISS_TOTAL,2944,2944
TOTAL_CAGE_PERIOD,0,0
TOTAL_CAGE_APPL0,0,NaN
TOTAL_CAGE_APPL1,0,NaN
TOTAL_CAGE_APPL2,0,NaN
TOTAL_CAGE_APPL3,0,NaN
TOTAL_CAGE_APPL4,0,NaN
ABIP_AVG_RATIO_BASE,0,0
ABIP_AVG_RATIO,0,NaN
TOTAL_WRITE_ACKS,62500,62500
TOTAL_WRITES,62500,62500
NUM_PHYSICAL_PAGES,0,0
UNIQUE_PAGE,0,0
REALLOCATION,0,0
EVICTION,0,0
AVG_PAGE_FAULTS_PER_BATCH_BASE,0,0
AVG_PAGE_FAULTS_PER_BATCH,0,NaN
MAX_PAGE_FAULTS_PER_BATCH,0,NaN
LD_NO_FORWARD,62500,100%
FORWARDED_LD,0,0%
MEM_STALL_CYCLE_CORE_0,0,0
ICACHE_FILL_CORE_0,64,64
NUM_WRITE_ACKS_CORE_0,1600,1600
NUM_WRITES_CORE_0,1600,1600
ICACHE_HIT_CORE_0,17600,99.6377%
ICACHE_MISS_CORE_0,64,0.362319%
MEM_STALL_CYCLE_CORE_1,0,0
ICACHE_FILL_CORE_1,64,64
NUM_WRITE_ACKS_CORE_1,1152,1152
NUM_WRITES_CORE_1,1152,1152
ICACHE_HIT_CORE_1,12672,99.4975%
ICACHE_MISS_CORE_1,64,0.502513%
MEM_STALL_CYCLE_CORE_2,0,0
ICACHE_FILL_CORE_2,64,64
NUM_WRITE_ACKS_CORE_2,1216,1216
NUM_WRITES_CORE_2,1216,1216
ICACHE_HIT_CORE_2,13376,99.5238%
ICACHE_MISS_CORE_2,64,0.47619%
MEM_STALL_CYCLE_CORE_3,0,0
ICACHE_FILL_CORE_3,64,64
NUM_WRITE_ACKS_CORE_3,1280,1280
NUM_WRITES_CORE_3,1280,1280
ICACHE_HIT_CORE_3,14080,99.5475%
ICACHE_MISS_CORE_3,64,0.452489%
MEM_STALL_CYCLE_CORE_4,0,0
ICACHE_FILL_CORE_4,64,64
NUM_WRITE_ACKS_CORE_4,1380,1380
NUM_WRITES_CORE_4,1380,1380
ICACHE_HIT_CORE_4,15398,99.5861%
ICACHE_MISS_CORE_4,64,0.413918%
MEM_STALL_CYCLE_CORE_5,0,0
ICACHE_FILL_CORE_5,64,64
NUM_WRITE_ACKS_CORE_5,1408,1408
NUM_WRITES_CORE_5,1408,1408
ICACHE_HIT_CORE_5,15488,99.5885%
ICACHE_MISS_CORE_5,64,0.411523%
MEM_STALL_CYCLE_CORE_6,0,0
ICACHE_FILL_CORE_6,64,64
NUM_WRITE_ACKS_CORE_6,1664,1664
NUM_WRITES_CORE_6,1664,1664
ICACHE_HIT_CORE_6,18304,99.6516%
ICACHE_MISS_CORE_6,64,0.348432%
MEM_STALL_CYCLE_CORE_7,0,0
ICACHE_FILL_CORE_7,64,64
NUM_WRITE_ACKS_CORE_7,1344,1344
NUM_WRITES_CORE_7,1344,1344
ICACHE_HIT_CORE_7,14784,99.569%
ICACHE_MISS_CORE_7,64,0.431034%
MEM_STALL_CYCLE_CORE_8,0,0
ICACHE_FILL_CORE_8,64,64
NUM_WRITE_ACKS_CORE_8,832,832
NUM_WRITES_CORE_8,832,832
ICACHE_HIT_CORE_8,9152,99.3056%
ICACHE_MISS_CORE_8,64,0.694444%
MEM_STALL_CYCLE_CORE_9,0,0
ICACHE_FILL_CORE_9,64,64
NUM_WRITE_ACKS_CORE_9,1280,1280
NUM_WRITES_CORE_9,1280,1280
ICACHE_HIT_CORE_9,14080,99.5475%
ICACHE_MISS_CORE_9,64,0.452489%
MEM_STALL_CYCLE_CORE_10,0,0
ICACHE_FILL_CORE_10,64,64
NUM_WRITE_ACKS_CORE_10,1472,1472
NUM_WRITES_CORE_10,1472,1472
ICACHE_HIT_CORE_10,16192,99.6063%
ICACHE_MISS_CORE_10,64,0.393701%
MEM_STALL_CYCLE_CORE_11,0,0
ICACHE_FILL_CORE_11,64,64
NUM_WRITE_ACKS_CORE_11,1536,1536
NUM_WRITES_CORE_11,1536,1536
ICACHE_HIT_CORE_11,16896,99.6226%
ICACHE_MISS_CORE_11,64,0.377358%
MEM_STALL_CYCLE_CORE_12,0,0
ICACHE_FILL_CORE_12,64,64
NUM_WRITE_ACKS_CORE_12,1344,1344
NUM_WRITES_CORE_12,1344,1344
ICACHE_HIT_CORE_12,14784,99.569%
ICACHE_MISS_CORE_12,64,0.431034%
MEM_STALL_CYCLE_CORE_13,0,0
ICACHE_FILL_CORE_13,64,64
NUM_WRITE_ACKS_CORE_13,1280,1280
NUM_WRITES_CORE_13,1280,1280
ICACHE_HIT_CORE_13,14080,99.5475%
ICACHE_MISS_CORE_13,64,0.452489%
MEM_STALL_CYCLE_CORE_14,0,0
ICACHE_FILL_CORE_14,64,64
NUM_WRITE_ACKS_CORE_14,1344,1344
NUM_WRITES_CORE_14,1344,1344
ICACHE_HIT_CORE_14,14784,99.569%
ICACHE_MISS_CORE_14,64,0.431034%
MEM_STALL_CYCLE_CORE_15,0,0
ICACHE_FILL_CORE_15,64,64
