==1166== NVPROF is profiling process 1166, command: /benchrun/native/babelstream/sm6_gtx1080/input-arraysize-1024-numtimes-2/CUDAStream --arraysize 1024 --numtimes 2
==1166== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1166== Profiling application: /benchrun/native/babelstream/sm6_gtx1080/input-arraysize-1024-numtimes-2/CUDAStream --arraysize 1024 --numtimes 2
==1166== Profiling result:
"Device","Context","Stream","Kernel","Correlation_ID","elapsed_cycles_sm","inst_per_warp","branch_efficiency","warp_execution_efficiency","warp_nonpred_execution_efficiency","inst_replay_overhead","shared_load_transactions_per_request","shared_store_transactions_per_request","local_load_transactions_per_request","local_store_transactions_per_request","gld_transactions_per_request","gst_transactions_per_request","shared_store_transactions","shared_load_transactions","local_load_transactions","local_store_transactions","gld_transactions","gst_transactions","sysmem_read_transactions","sysmem_write_transactions","l2_read_transactions","l2_write_transactions","global_hit_rate","local_hit_rate","gld_requested_throughput","gst_requested_throughput","gld_throughput","gst_throughput","local_memory_overhead","tex_cache_hit_rate","l2_tex_read_hit_rate","l2_tex_write_hit_rate","tex_cache_throughput","l2_tex_read_throughput","l2_tex_write_throughput","l2_read_throughput","l2_write_throughput","sysmem_read_throughput","sysmem_write_throughput","local_load_throughput","local_store_throughput","shared_load_throughput","shared_store_throughput","gld_efficiency","gst_efficiency","tex_cache_transactions","flop_count_dp","flop_count_dp_add","flop_count_dp_fma","flop_count_dp_mul","flop_count_sp","flop_count_sp_add","flop_count_sp_fma","flop_count_sp_mul","flop_count_sp_special","inst_executed","inst_issued","sysmem_utilization","stall_inst_fetch","stall_exec_dependency","stall_memory_dependency","stall_texture","stall_sync","stall_other","stall_constant_memory_dependency","stall_pipe_busy","shared_efficiency","inst_fp_32","inst_fp_64","inst_integer","inst_bit_convert","inst_control","inst_compute_ld_st","inst_misc","inst_inter_thread_communication","issue_slots","cf_issued","cf_executed","ldst_issued","ldst_executed","atomic_transactions","atomic_transactions_per_request","l2_atomic_throughput","l2_atomic_transactions","l2_tex_read_transactions","stall_memory_throttle","stall_not_selected","l2_tex_write_transactions","flop_count_hp","flop_count_hp_add","flop_count_hp_mul","flop_count_hp_fma","inst_fp_16","sysmem_read_utilization","sysmem_write_utilization","pcie_total_data_transmitted","pcie_total_data_received","inst_executed_global_loads","inst_executed_local_loads","inst_executed_shared_loads","inst_executed_surface_loads","inst_executed_global_stores","inst_executed_local_stores","inst_executed_shared_stores","inst_executed_surface_stores","inst_executed_global_atomics","inst_executed_global_reductions","inst_executed_surface_atomics","inst_executed_surface_reductions","inst_executed_shared_atomics","inst_executed_tex_ops","l2_global_load_bytes","l2_local_load_bytes","l2_surface_load_bytes","l2_local_global_store_bytes","l2_global_reduction_bytes","l2_global_atomic_store_bytes","l2_surface_store_bytes","l2_surface_reduction_bytes","l2_surface_atomic_store_bytes","global_load_requests","local_load_requests","surface_load_requests","global_store_requests","local_store_requests","surface_store_requests","global_atomic_requests","global_reduction_requests","surface_atomic_requests","surface_reduction_requests","sysmem_read_bytes","sysmem_write_bytes","l2_tex_hit_rate","texture_load_requests","unique_warps_launched","sm_efficiency","achieved_occupancy","ipc","issued_ipc","issue_slot_utilization","eligible_warps_per_cycle","tex_utilization","l2_utilization","shared_utilization","ldst_fu_utilization","cf_fu_utilization","special_fu_utilization","tex_fu_utilization","single_precision_fu_utilization","double_precision_fu_utilization","flop_hp_efficiency","flop_sp_efficiency","flop_dp_efficiency","dram_read_transactions","dram_write_transactions","dram_read_throughput","dram_write_throughput","dram_utilization","half_precision_fu_utilization","ecc_transactions","ecc_throughput","dram_read_bytes","dram_write_bytes"
,,,,,,,%,%,%,,,,,,,,,,,,,,,,,,%,%,GB/s,GB/s,GB/s,GB/s,%,%,%,%,GB/s,GB/s,GB/s,GB/s,GB/s,B/s,MB/s,B/s,B/s,GB/s,GB/s,%,%,,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,B/s,,,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,%,,,,%,,,,,,,,,,,%,%,%,,,GB/s,MB/s,,,,B/s,,
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z11init_kernelIdEvPT_S1_S1_S0_S0_S0_",125,111225,24.000000,100.000000,100.000000,100.000000,0.234375,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0,0,0,0,2,768,0,5,312,797,0.000000,0.000000,0.000000,11.067787,0.000000,11.067787,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.067787,4.496288,11.485711,0.000000,73.785247,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0,0,0,0,0,0,0,0,0,0,768,950,"Low (1)",32.727145,4.162756,0.000000,0.000000,0.000000,5.145955,23.951098,0.274545,0.000000,0,0,11264,0,1024,3072,9216,0,758,32,32,832,160,0,0.000000,0.000000,0,0,32.203867,1.534635,768,0,0,0,0,0,"Idle (0)","Low (1)",0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,24576,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,160,0.000000,0,32,1.373887,0.398189,0.529655,0.751582,14.992089,1.117089,"Idle (0)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (3)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,488,0,7.032656,0.000000,"Low (1)","Idle (0)",0,0.000000,15616,0
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z11copy_kernelIdEvPKT_PS0_",129,119290,15.000000,100.000000,100.000000,100.000000,0.133333,0.000000,0.000000,0.000000,0.000000,32.062500,8.000000,0,0,0,0,1026,256,0,5,546,269,0.000000,0.000000,3.961264,3.961264,3.961264,3.961264,0.000000,0.000000,100.000000,0.000000,3.961264,3.961264,3.961264,8.448633,4.162422,0.000000,79.225280,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,256,0,0,0,0,0,0,0,0,0,480,544,"Low (1)",28.939363,5.713763,20.476223,0.000000,0.000000,4.675313,37.109723,0.102930,0.000000,0,0,9216,0,1024,2048,3072,0,544,32,32,448,128,0,0.000000,0.000000,0,256,2.689906,0.292779,256,0,0,0,0,0,"Idle (0)","Low (1)",0,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,8192,0,0,8192,0,0,0,0,0,128,0,0,256,0,0,0,0,0,0,0,160,50.000000,0,32,1.455827,0.459918,0.273504,0.470996,11.774892,0.369840,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,286,20,4.425475,316.901122,"Low (1)","Idle (0)",0,0.000000,9152,640
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z10mul_kernelIdEvPT_PKS0_",133,137210,16.000000,100.000000,100.000000,100.000000,0.187500,0.000000,0.000000,0.000000,0.000000,32.062500,8.000000,0,0,0,0,1026,256,0,5,628,269,0.000000,0.000000,3.874756,3.874756,3.874756,3.874756,0.000000,0.000000,0.000000,100.000000,3.874756,3.874756,3.874756,9.505261,4.071521,0.000000,77.495119,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,256,1024,0,0,1024,0,0,0,0,0,512,584,"Low (1)",25.068562,13.109815,17.157866,0.000000,0.000000,5.629804,37.172158,0.086909,0.000000,0,1024,9216,0,1024,2048,3072,0,584,32,32,448,128,0,0.000000,0.000000,0,256,1.545058,0.229827,256,0,0,0,0,0,"Idle (0)","Low (1)",0,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,8192,0,0,8192,0,0,0,0,0,128,0,0,256,0,0,0,0,0,0,0,160,50.000000,0,32,1.108859,0.433044,0.468007,0.522829,13.070725,0.629364,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (1)","Low (2)",0.000000,0.000000,0.093288,20,0,0.302715,0.000000,"Low (1)","Idle (0)",0,0.000000,640,0
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z10add_kernelIdEvPKT_S2_PS0_",137,116620,19.000000,100.000000,100.000000,100.000000,0.105263,0.000000,0.000000,0.000000,0.000000,32.031250,8.000000,0,0,0,0,2050,256,0,5,2624,269,0.000000,0.000000,7.542654,3.771327,7.542654,3.771327,0.000000,0.000000,100.000000,0.000000,7.542654,7.542654,3.771327,38.656102,3.962840,0.000000,75.426539,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,512,1024,1024,0,0,0,0,0,0,0,608,672,"Low (1)",22.058374,9.038089,35.990962,0.000000,0.000000,3.615236,27.571268,0.073052,0.000000,0,1024,11264,0,1024,3072,3072,0,640,32,32,576,160,0,0.000000,0.000000,0,512,1.420271,0.232748,256,0,0,0,0,0,"Idle (0)","Low (1)",512,512,64,0,0,0,32,0,0,0,0,0,0,0,0,0,16384,0,0,8192,0,0,0,0,0,256,0,0,256,0,0,0,0,0,0,0,160,66.666667,0,32,1.458708,0.458645,0.279155,0.340771,8.113590,0.394016,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (1)","Low (3)",0.000000,0.000000,0.109758,964,28,14.201403,422.388624,"Low (1)","Idle (0)",0,0.000000,30848,896
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z12triad_kernelIdEvPT_PKS0_S3_",141,111610,19.000000,100.000000,100.000000,100.000000,0.157895,0.000000,0.000000,0.000000,0.000000,32.031250,8.000000,0,0,0,0,2050,256,0,5,596,269,0.000000,0.000000,7.194149,3.597074,7.194149,3.597074,0.000000,0.000000,100.000000,100.000000,7.194149,7.194149,3.597074,8.374439,3.779738,0.000000,71.941485,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,512,2048,0,1024,0,0,0,0,0,0,608,704,"Low (1)",20.173523,10.679833,29.970574,0.000000,0.000000,4.043805,33.667031,0.065223,0.000000,0,1024,11264,0,1024,3072,3072,0,672,32,32,576,160,0,0.000000,0.000000,0,512,1.213445,0.186567,256,0,0,0,0,0,"Idle (0)","Low (1)",0,0,64,0,0,0,32,0,0,0,0,0,0,0,0,0,16384,0,0,8192,0,0,0,0,0,256,0,0,256,0,0,0,0,0,0,0,160,100.000000,0,32,1.410765,0.446390,0.269504,0.312334,7.453416,0.352706,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (1)","Low (3)",0.000000,0.000000,0.229370,116,12,1.629924,172.659565,"Low (1)","Idle (0)",0,0.000000,3712,384
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z10dot_kernelIdEvPKT_S2_PS0_i",145,825350,169.335938,100.000000,99.856978,66.777826,0.002664,0.219969,0.386936,0.000000,0.000000,32.031250,1.000000,34880,36096,0,0,2050,256,0,5,1610,269,0.000000,0.000000,0.629280,0.078660,0.629280,0.314640,0.000000,0.000000,0.000000,100.000000,0.629280,0.629280,0.314640,1.978792,0.330618,0.000000,6.292803,0.000000,0.000000,177.457049,171.478886,100.000000,25.000000,512,263936,261888,1024,0,0,0,0,0,0,1387200,1390895,"Low (1)",6.241500,21.403599,0.042452,0.000000,38.041397,30.306506,1.419766,1.140483,92.380523,0,262912,18360576,0,3147776,3672832,4198912,0,1210351,115072,115072,434976,516704,0,0.000000,0.000000,0,512,0.025093,1.379204,256,0,0,0,0,0,"Idle (0)","Low (1)",0,512,64,0,164096,0,256,0,90144,0,0,0,0,0,0,0,16384,0,0,8192,0,0,0,0,0,256,0,0,256,0,0,0,0,0,0,0,160,33.333333,0,8192,88.771225,0.923180,1.879845,1.869264,40.665641,2.405524,"Low (1)","Low (1)","Low (1)","Low (3)","Low (1)","Idle (0)","Low (1)","Low (3)","High (9)",0.000000,0.000000,3.997334,272,4,0.334305,5.034242,"Low (1)","Idle (0)",0,0.000000,8704,128
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z11copy_kernelIdEvPKT_PS0_",149,100685,15.000000,100.000000,100.000000,100.000000,0.133333,0.000000,0.000000,0.000000,0.000000,32.062500,8.000000,0,0,0,0,1026,256,0,5,371,269,0.000000,0.000000,4.066841,4.066841,4.066841,4.066841,0.000000,0.000000,100.000000,0.000000,4.066841,4.066841,4.066841,5.893743,4.273361,0.000000,81.336828,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,256,0,0,0,0,0,0,0,0,0,480,544,"Low (1)",33.866932,6.763701,23.436197,0.000000,0.000000,6.241761,26.067422,0.115688,0.000000,0,0,9216,0,1024,2048,3072,0,544,32,32,448,128,0,0.000000,0.000000,0,256,3.212354,0.295946,256,0,0,0,0,0,"Idle (0)","Low (1)",0,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,8192,0,0,8192,0,0,0,0,0,128,0,0,256,0,0,0,0,0,0,0,160,50.000000,0,32,0.823382,0.445677,0.504732,0.471813,11.795317,0.567216,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,114,4,1.811015,65.069463,"Low (1)","Idle (0)",0,0.000000,3648,128
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z10mul_kernelIdEvPT_PKS0_",153,137590,16.000000,100.000000,100.000000,100.000000,0.187500,0.000000,0.000000,0.000000,0.000000,32.062500,8.000000,0,0,0,0,1026,256,0,5,312,269,0.000000,0.000000,3.892548,3.892548,3.892548,3.892548,0.000000,0.000000,0.000000,100.000000,3.892548,3.892548,3.892548,4.744043,4.090217,0.000000,77.850965,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,256,1024,0,0,1024,0,0,0,0,0,512,608,"Low (1)",31.629507,13.972328,21.430449,0.000000,0.000000,6.946735,23.691065,0.100366,0.000000,0,1024,9216,0,1024,2048,3072,0,608,32,32,448,128,0,0.000000,0.000000,0,256,1.947571,0.281980,256,0,0,0,0,0,"Idle (0)","Low (1)",0,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,8192,0,0,8192,0,0,0,0,0,128,0,0,256,0,0,0,0,0,0,0,160,50.000000,0,32,1.584144,0.463135,0.230423,0.273627,6.840684,0.631863,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Low (2)",0.000000,0.000000,0.093030,44,24,0.669032,373.684629,"Low (1)","Idle (0)",0,0.000000,1408,768
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z10add_kernelIdEvPKT_S2_PS0_",157,186095,19.000000,100.000000,100.000000,100.000000,0.105263,0.000000,0.000000,0.000000,0.000000,32.031250,8.000000,0,0,0,0,2050,256,0,5,556,285,0.000000,0.000000,7.524058,3.762029,7.524058,3.762029,0.000000,0.000000,0.000000,0.000000,7.524058,7.524058,3.762029,8.170656,4.188196,0.000000,75.240577,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,512,1024,1024,0,0,0,0,0,0,0,608,672,"Low (1)",12.712281,10.087371,40.396762,0.000000,0.000000,4.022467,30.872953,0.081319,0.000000,0,1024,11264,0,1024,3072,3072,0,640,32,32,576,160,0,0.000000,0.000000,0,512,1.590453,0.236393,256,0,0,0,0,0,"Idle (0)","Low (1)",0,0,64,0,0,0,32,0,0,0,0,0,0,0,0,0,16384,0,0,8192,0,0,0,0,0,256,0,0,256,0,0,0,0,0,0,0,160,0.000000,0,32,1.782127,0.459029,0.294146,0.430493,10.249840,0.549174,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (3)","Low (1)","Low (2)",0.000000,0.000000,0.068782,602,20,8.846646,300.962309,"Low (1)","Idle (0)",0,0.000000,19264,640
