==1232== NVPROF is profiling process 1232, command: /benchrun/native/sm6_gtx1080/babelstream/input-arraysize-1024-numtimes-2/CUDAStream --arraysize 1024 --numtimes 2
==1232== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1232== Profiling application: /benchrun/native/sm6_gtx1080/babelstream/input-arraysize-1024-numtimes-2/CUDAStream --arraysize 1024 --numtimes 2
==1232== Profiling result:
"Device","Context","Stream","Kernel","Correlation_ID","elapsed_cycles_sm","inst_per_warp","branch_efficiency","warp_execution_efficiency","warp_nonpred_execution_efficiency","inst_replay_overhead","shared_load_transactions_per_request","shared_store_transactions_per_request","local_load_transactions_per_request","local_store_transactions_per_request","gld_transactions_per_request","gst_transactions_per_request","shared_store_transactions","shared_load_transactions","local_load_transactions","local_store_transactions","gld_transactions","gst_transactions","sysmem_read_transactions","sysmem_write_transactions","l2_read_transactions","l2_write_transactions","global_hit_rate","local_hit_rate","gld_requested_throughput","gst_requested_throughput","gld_throughput","gst_throughput","local_memory_overhead","tex_cache_hit_rate","l2_tex_read_hit_rate","l2_tex_write_hit_rate","tex_cache_throughput","l2_tex_read_throughput","l2_tex_write_throughput","l2_read_throughput","l2_write_throughput","sysmem_read_throughput","sysmem_write_throughput","local_load_throughput","local_store_throughput","shared_load_throughput","shared_store_throughput","gld_efficiency","gst_efficiency","tex_cache_transactions","flop_count_dp","flop_count_dp_add","flop_count_dp_fma","flop_count_dp_mul","flop_count_sp","flop_count_sp_add","flop_count_sp_fma","flop_count_sp_mul","flop_count_sp_special","inst_executed","inst_issued","sysmem_utilization","stall_inst_fetch","stall_exec_dependency","stall_memory_dependency","stall_texture","stall_sync","stall_other","stall_constant_memory_dependency","stall_pipe_busy","shared_efficiency","inst_fp_32","inst_fp_64","inst_integer","inst_bit_convert","inst_control","inst_compute_ld_st","inst_misc","inst_inter_thread_communication","issue_slots","cf_issued","cf_executed","ldst_issued","ldst_executed","atomic_transactions","atomic_transactions_per_request","l2_atomic_throughput","l2_atomic_transactions","l2_tex_read_transactions","stall_memory_throttle","stall_not_selected","l2_tex_write_transactions","flop_count_hp","flop_count_hp_add","flop_count_hp_mul","flop_count_hp_fma","inst_fp_16","sysmem_read_utilization","sysmem_write_utilization","pcie_total_data_transmitted","pcie_total_data_received","inst_executed_global_loads","inst_executed_local_loads","inst_executed_shared_loads","inst_executed_surface_loads","inst_executed_global_stores","inst_executed_local_stores","inst_executed_shared_stores","inst_executed_surface_stores","inst_executed_global_atomics","inst_executed_global_reductions","inst_executed_surface_atomics","inst_executed_surface_reductions","inst_executed_shared_atomics","inst_executed_tex_ops","l2_global_load_bytes","l2_local_load_bytes","l2_surface_load_bytes","l2_local_global_store_bytes","l2_global_reduction_bytes","l2_global_atomic_store_bytes","l2_surface_store_bytes","l2_surface_reduction_bytes","l2_surface_atomic_store_bytes","global_load_requests","local_load_requests","surface_load_requests","global_store_requests","local_store_requests","surface_store_requests","global_atomic_requests","global_reduction_requests","surface_atomic_requests","surface_reduction_requests","sysmem_read_bytes","sysmem_write_bytes","l2_tex_hit_rate","texture_load_requests","unique_warps_launched","sm_efficiency","achieved_occupancy","ipc","issued_ipc","issue_slot_utilization","eligible_warps_per_cycle","tex_utilization","l2_utilization","shared_utilization","ldst_fu_utilization","cf_fu_utilization","special_fu_utilization","tex_fu_utilization","single_precision_fu_utilization","double_precision_fu_utilization","flop_hp_efficiency","flop_sp_efficiency","flop_dp_efficiency","dram_read_transactions","dram_write_transactions","dram_read_throughput","dram_write_throughput","dram_utilization","half_precision_fu_utilization","ecc_transactions","ecc_throughput","dram_read_bytes","dram_write_bytes"
,,,,,,,%,%,%,,,,,,,,,,,,,,,,,,%,%,GB/s,GB/s,GB/s,GB/s,%,%,%,%,GB/s,GB/s,GB/s,GB/s,GB/s,B/s,MB/s,B/s,B/s,GB/s,GB/s,%,%,,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,B/s,,,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,%,,,,%,,,,,,,,,,,%,%,%,,,GB/s,GB/s,,,,B/s,,
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z11init_kernelIdEvPT_S1_S1_S0_S0_S0_",125,133955,24.000000,100.000000,100.000000,100.000000,0.235677,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0,0,0,0,2,768,0,5,278,797,0.000000,0.000000,0.000000,10.665510,0.000000,10.665510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.665510,3.860692,11.068244,0.000000,71.103396,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0,0,0,0,0,0,0,0,0,0,768,949,"Low (1)",32.453307,4.020971,0.000000,0.000000,0.000000,5.121004,24.607967,0.248092,0.000000,0,0,11264,0,1024,3072,9216,0,757,32,32,832,160,0,0.000000,0.000000,0,0,32.017975,1.530684,768,0,0,0,0,0,"Idle (0)","Low (1)",0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,24576,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,160,0.000000,0,32,1.663822,0.434911,0.414687,0.491201,9.795549,0.730331,"Idle (0)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (3)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,65,20,0.902680,0.277748,"Low (1)","Idle (0)",0,0.000000,2080,640
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z11copy_kernelIdEvPKT_PS0_",129,111060,15.000000,100.000000,100.000000,100.000000,0.133333,0.000000,0.000000,0.000000,0.000000,32.062500,8.000000,0,0,0,0,1026,256,0,5,616,269,0.000000,0.000000,3.803287,3.803287,3.803287,3.803287,0.000000,0.000000,0.000000,100.000000,3.803287,3.803287,3.803287,9.151660,3.996423,0.000000,76.065747,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,256,0,0,0,0,0,0,0,0,0,480,544,"Low (1)",28.465558,5.662927,34.711898,0.000000,0.000000,5.243952,22.451232,0.096860,0.000000,0,0,9216,0,1024,2048,3072,0,544,32,32,448,128,0,0.000000,0.000000,0,256,3.117538,0.250034,256,0,0,0,0,0,"Idle (0)","Low (1)",0,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,8192,0,0,8192,0,0,0,0,0,128,0,0,256,0,0,0,0,0,0,0,160,50.000000,0,32,1.476376,0.465357,0.240964,0.273092,6.827309,0.306361,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,306,16,4.546117,0.237705,"Low (1)","Idle (0)",0,0.000000,9792,512
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z10mul_kernelIdEvPT_PKS0_",133,106550,16.000000,100.000000,100.000000,100.000000,0.187500,0.000000,0.000000,0.000000,0.000000,32.062500,8.000000,0,0,0,0,1026,256,0,5,340,269,0.000000,0.000000,3.830017,3.830017,3.830017,3.830017,0.000000,0.000000,0.000000,0.000000,3.830017,3.830017,3.830017,5.086742,4.024510,0.000000,76.600347,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,256,1024,0,0,1024,0,0,0,0,0,512,608,"Low (1)",23.252607,11.971009,15.246597,0.000000,0.000000,2.969772,44.873608,0.076012,0.000000,0,1024,9216,0,1024,2048,3072,0,608,32,32,448,128,0,0.000000,0.000000,0,256,1.414177,0.196217,256,0,0,0,0,0,"Idle (0)","Low (1)",0,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,8192,0,0,8192,0,0,0,0,0,128,0,0,256,0,0,0,0,0,0,0,160,0.000000,0,32,1.853876,0.470087,0.212625,0.277372,6.934307,0.327563,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (1)","Low (2)",0.000000,0.000000,0.120131,352,29,5.266274,0.433869,"Low (1)","Idle (0)",0,0.000000,11264,928
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z10add_kernelIdEvPKT_S2_PS0_",137,120325,19.000000,100.000000,100.000000,100.000000,0.105263,0.000000,0.000000,0.000000,0.000000,32.031250,8.000000,0,0,0,0,2050,256,0,5,800,269,0.000000,0.000000,7.468815,3.734408,7.468815,3.734408,0.000000,0.000000,0.000000,0.000000,7.468815,7.468815,3.734408,11.670023,3.924045,0.000000,74.688149,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,512,1024,1024,0,0,0,0,0,0,0,608,672,"Low (1)",12.779959,10.208416,39.802014,0.000000,0.000000,4.557092,30.735241,0.081546,0.000000,0,1024,11264,0,1024,3072,3072,0,640,32,32,576,160,0,0.000000,0.000000,0,512,1.577819,0.257913,256,0,0,0,0,0,"Idle (0)","Low (1)",0,0,64,0,0,0,32,0,0,0,0,0,0,0,0,0,16384,0,0,8192,0,0,0,0,0,256,0,0,256,0,0,0,0,0,0,0,160,0.000000,0,32,1.318419,0.463814,0.286657,0.333830,7.948336,0.385494,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (1)","Low (2)",0.000000,0.000000,0.106379,722,93,10.532196,1.356640,"Low (1)","Idle (0)",0,0.000000,23104,2976
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z12triad_kernelIdEvPT_PKS0_S3_",141,104575,19.000000,100.000000,100.000000,100.000000,0.157895,0.000000,0.000000,0.000000,0.000000,32.031250,8.000000,0,0,0,0,2050,256,0,5,586,285,0.000000,0.000000,7.214557,3.607279,7.214557,3.607279,0.000000,0.000000,100.000000,100.000000,7.214557,7.214557,3.607279,8.257286,4.015916,0.000000,72.145575,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,512,2048,0,1024,0,0,0,0,0,0,608,704,"Low (1)",11.409571,11.504338,32.691208,0.000000,0.000000,5.037335,37.707302,0.073526,0.000000,0,1024,11264,0,1024,3072,3072,0,672,32,32,576,160,0,0.000000,0.000000,0,512,1.307125,0.269595,256,0,0,0,0,0,"Idle (0)","Low (1)",0,0,64,0,0,0,32,0,0,0,0,0,0,0,0,0,16384,0,0,8192,0,0,0,0,0,256,0,0,256,0,0,0,0,0,0,0,160,100.000000,0,32,1.647305,0.458077,0.266316,0.308366,7.358739,0.332803,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (1)","Low (2)",0.000000,0.000000,0.244800,38,16,0.535455,0.225455,"Low (1)","Idle (0)",0,0.000000,1216,512
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z10dot_kernelIdEvPKT_S2_PS0_i",145,834370,169.335938,100.000000,99.856978,66.777929,0.002642,0.219969,0.386936,0.000000,0.000000,32.031250,1.000000,34880,36096,0,0,2050,256,0,5,3214,269,0.000000,0.000000,0.624848,0.078106,0.624848,0.312424,0.000000,0.000000,0.000000,93.750000,0.624848,0.624848,0.312424,3.922386,0.328289,0.000000,6.248480,0.000000,0.000000,176.207146,170.271090,100.000000,25.000000,512,263936,261888,1024,0,0,0,0,0,0,1387200,1390871,"Low (1)",6.241696,21.417962,0.050748,0.000000,38.280913,30.007684,1.447604,1.148739,92.380523,0,262912,18360576,0,3147776,3672832,4198912,0,1210327,115072,115072,434976,516704,0,0.000000,0.000000,0,512,0.024508,1.380146,256,0,0,0,0,0,"Idle (0)","Low (1)",0,0,64,0,164096,0,256,0,90144,0,0,0,0,0,0,0,16384,0,0,8192,0,0,0,0,0,256,0,0,256,0,0,0,0,0,0,0,160,31.250000,0,8192,86.374186,0.930209,1.860086,1.889978,41.116140,2.413838,"Low (1)","Low (1)","Low (1)","Low (3)","Low (1)","Idle (0)","Low (1)","Low (3)","High (9)",0.000000,0.000000,3.954121,826,100,1.008056,0.122041,"Low (1)","Idle (0)",0,0.000000,26432,3200
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z11copy_kernelIdEvPKT_PS0_",149,109970,15.000000,100.000000,100.000000,100.000000,0.133333,0.000000,0.000000,0.000000,0.000000,32.062500,8.000000,0,0,0,0,1026,256,0,5,2110,285,0.000000,0.000000,3.969508,3.969508,3.969508,3.969508,0.000000,0.000000,100.000000,0.000000,3.969508,3.969508,3.969508,32.717430,4.419179,0.000000,79.390162,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,256,0,0,0,0,0,0,0,0,0,480,544,"Low (1)",40.339459,4.898961,16.772220,0.000000,0.000000,4.000624,31.395054,0.083793,0.000000,0,0,9216,0,1024,2048,3072,0,544,32,32,448,128,0,0.000000,0.000000,0,256,2.260459,0.249430,256,0,0,0,0,0,"Idle (0)","Low (1)",512,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,8192,0,0,8192,0,0,0,0,0,128,0,0,256,0,0,0,0,0,0,0,160,50.000000,0,32,1.027062,0.458468,0.247678,0.280702,7.017544,0.380737,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,286,12,4.434685,0.186071,"Low (1)","Idle (0)",0,0.000000,9152,384
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z10mul_kernelIdEvPT_PKS0_",153,121270,16.000000,100.000000,100.000000,100.000000,0.187500,0.000000,0.000000,0.000000,0.000000,32.062500,8.000000,0,0,0,0,1026,256,0,5,328,285,0.000000,0.000000,3.725290,3.725290,3.725290,3.725290,0.000000,0.000000,0.000000,0.000000,3.725290,3.725290,3.725290,4.773028,4.147296,0.000000,74.505806,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,256,1024,0,0,1024,0,0,0,0,0,512,608,"Low (1)",20.680624,10.645338,13.582686,0.000000,0.000000,4.571473,49.011213,0.067435,0.000000,0,1024,9216,0,1024,2048,3072,0,608,32,32,448,128,0,0.000000,0.000000,0,256,1.254607,0.186623,256,0,0,0,0,0,"Idle (0)","Low (1)",0,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,8192,0,0,8192,0,0,0,0,0,128,0,0,256,0,0,0,0,0,0,0,160,0.000000,0,32,1.582107,0.467932,0.227253,0.249897,6.247431,0.298808,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Low (2)",0.000000,0.000000,0.105550,348,56,5.064066,0.814907,"Low (1)","Idle (0)",0,0.000000,11136,1792
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z10add_kernelIdEvPKT_S2_PS0_",157,108880,19.000000,100.000000,100.000000,100.000000,0.105263,0.000000,0.000000,0.000000,0.000000,32.031250,8.000000,0,0,0,0,2050,256,0,5,692,269,0.000000,0.000000,7.180607,3.590303,7.180607,3.590303,0.000000,0.000000,0.000000,100.000000,7.180607,7.180607,3.590303,9.705039,3.772623,0.000000,71.806066,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,512,1024,1024,0,0,0,0,0,0,0,608,672,"Low (1)",26.572487,8.851486,32.419942,0.000000,0.000000,3.941460,26.597070,0.070471,0.000000,0,1024,11264,0,1024,3072,3072,0,640,32,32,576,160,0,0.000000,0.000000,0,512,1.338949,0.208135,256,0,0,0,0,0,"Idle (0)","Low (1)",0,0,64,0,0,0,32,0,0,0,0,0,0,0,0,0,16384,0,0,8192,0,0,0,0,0,256,0,0,256,0,0,0,0,0,0,0,160,33.333333,0,32,1.609862,0.456250,0.347429,0.296820,7.067138,0.338781,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (1)","Low (2)",0.000000,0.000000,0.117561,46,16,0.645133,0.224394,"Low (1)","Idle (0)",0,0.000000,1472,512
