Device,Context,Stream,Kernel,Correlation_ID,elapsed_cycles_sm,inst_per_warp,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,sysmem_read_transactions,sysmem_write_transactions,l2_read_transactions,l2_write_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_read_throughput,sysmem_write_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,gld_efficiency,gst_efficiency,tex_cache_transactions,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,sysmem_utilization,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_pipe_busy,shared_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,l2_atomic_throughput,l2_atomic_transactions,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,flop_count_hp,flop_count_hp_add,flop_count_hp_mul,flop_count_hp_fma,inst_fp_16,sysmem_read_utilization,sysmem_write_utilization,pcie_total_data_transmitted,pcie_total_data_received,inst_executed_global_loads,inst_executed_local_loads,inst_executed_shared_loads,inst_executed_surface_loads,inst_executed_global_stores,inst_executed_local_stores,inst_executed_shared_stores,inst_executed_surface_stores,inst_executed_global_atomics,inst_executed_global_reductions,inst_executed_surface_atomics,inst_executed_surface_reductions,inst_executed_shared_atomics,inst_executed_tex_ops,l2_global_load_bytes,l2_local_load_bytes,l2_surface_load_bytes,l2_local_global_store_bytes,l2_global_reduction_bytes,l2_global_atomic_store_bytes,l2_surface_store_bytes,l2_surface_reduction_bytes,l2_surface_atomic_store_bytes,global_load_requests,local_load_requests,surface_load_requests,global_store_requests,local_store_requests,surface_store_requests,global_atomic_requests,global_reduction_requests,surface_atomic_requests,surface_reduction_requests,sysmem_read_bytes,sysmem_write_bytes,l2_tex_hit_rate,texture_load_requests,unique_warps_launched,sm_efficiency,achieved_occupancy,ipc,issued_ipc,issue_slot_utilization,eligible_warps_per_cycle,tex_utilization,l2_utilization,shared_utilization,ldst_fu_utilization,cf_fu_utilization,special_fu_utilization,tex_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,flop_hp_efficiency,flop_sp_efficiency,flop_dp_efficiency,dram_read_transactions,dram_write_transactions,dram_read_throughput,dram_write_throughput,dram_utilization,half_precision_fu_utilization,ecc_transactions,ecc_throughput,dram_read_bytes,dram_write_bytes
,,,,,,,%,%,%,,,,,,,,,,,,,,,,,,%,%,GB/s,GB/s,GB/s,GB/s,%,%,%,%,GB/s,GB/s,GB/s,GB/s,GB/s,B/s,MB/s,B/s,B/s,GB/s,GB/s,%,%,,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,B/s,,,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,%,,,,%,,,,,,,,,,,%,%,%,,,GB/s,MB/s,,,,B/s,,
NVIDIA GeForce GTX 1080 (0),1,7,_Z11init_kernelIdEvPT_S1_S1_S0_S0_S0_,125,129605,24.000000,100.000000,100.000000,100.000000,0.235677,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0,0,0,0,2,768,0,5,60,781,0.000000,0.000000,0.000000,11.062438,0.000000,11.062438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.062438,0.864253,11.249693,0.000000,73.749584,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0,0,0,0,0,0,0,0,0,0,768,949,Low (1),17.128910,4.233171,0.000000,0.000000,0.000000,5.367441,38.713537,0.296729,0.000000,0,0,11264,0,1024,3072,9216,0,757,32,32,832,160,0,0.000000,0.000000,0,0,32.735887,1.524325,768,0,0,0,0,0,Idle (0),Low (1),0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,24576,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,160,0.000000,0,32,1.670700,0.417237,0.412017,0.509120,10.152897,0.775737,Idle (0),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (3),Low (1),Idle (0),0.000000,0.000000,0.000000,145,20,2.088611,294.998338,Low (1),Idle (0),0,0.000000,4640,640
NVIDIA GeForce GTX 1080 (0),1,7,_Z11copy_kernelIdEvPKT_PS0_,129,138600,15.000000,100.000000,100.000000,100.000000,0.133333,0.000000,0.000000,0.000000,0.000000,32.062500,8.000000,0,0,0,0,1026,256,0,5,734,285,0.000000,0.000000,3.765743,3.765743,3.765743,3.765743,0.000000,0.000000,0.000000,0.000000,3.765743,3.765743,3.765743,10.797090,4.192331,0.000000,75.314852,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,256,0,0,0,0,0,0,0,0,0,480,544,Low (1),15.412371,5.598386,35.793366,0.000000,0.000000,5.201703,35.103093,0.096369,0.000000,0,0,9216,0,1024,2048,3072,0,544,32,32,448,128,0,0.000000,0.000000,0,256,2.507844,0.286867,256,0,0,0,0,0,Idle (0),Low (1),512,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,8192,0,0,8192,0,0,0,0,0,128,0,0,256,0,0,0,0,0,0,0,160,0.000000,0,32,1.062843,0.444039,0.427427,0.306652,7.666291,0.378805,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (2),Low (1),Idle (0),0.000000,0.000000,0.000000,0,4,0.000000,60.251882,Low (1),Idle (0),0,0.000000,0,128
NVIDIA GeForce GTX 1080 (0),1,7,_Z10mul_kernelIdEvPT_PKS0_,133,117545,16.000000,100.000000,100.000000,100.000000,0.187500,0.000000,0.000000,0.000000,0.000000,32.062500,8.000000,0,0,0,0,1026,256,0,5,420,285,0.000000,0.000000,3.608985,3.608985,3.608985,3.608985,0.000000,0.000000,0.000000,0.000000,3.608985,3.608985,3.608985,5.920991,4.017815,0.000000,72.179702,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,256,1024,0,0,1024,0,0,0,0,0,512,608,Low (1),11.943247,11.493587,27.541687,0.000000,0.000000,4.951372,42.429868,0.073240,0.000000,0,1024,9216,0,1024,2048,3072,0,608,32,32,448,128,0,0.000000,0.000000,0,256,1.362607,0.204391,256,0,0,0,0,0,Idle (0),Low (1),512,512,32,0,0,0,32,0,0,0,0,0,0,0,0,0,8192,0,0,8192,0,0,0,0,0,128,0,0,256,0,0,0,0,0,0,0,160,0.000000,0,32,1.484532,0.466301,0.238695,0.283450,7.086247,0.653061,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Low (2),0.000000,0.000000,0.108894,312,20,4.398451,288.718809,Low (1),Idle (0),0,0.000000,9984,640
NVIDIA GeForce GTX 1080 (0),1,7,_Z10add_kernelIdEvPKT_S2_PS0_,137,146510,19.000000,100.000000,100.000000,100.000000,0.105263,0.000000,0.000000,0.000000,0.000000,32.031250,8.000000,0,0,0,0,2050,256,0,5,570,285,0.000000,0.000000,7.064254,3.532127,7.064254,3.532127,0.000000,0.000000,0.000000,0.000000,7.064254,7.064254,3.532127,7.864502,3.932251,0.000000,70.642542,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,512,1024,1024,0,0,0,0,0,0,0,608,672,Low (1),21.151339,8.718475,37.380286,0.000000,0.000000,4.180210,26.817652,0.074740,0.000000,0,1024,11264,0,1024,3072,3072,0,640,32,32,576,160,0,0.000000,0.000000,0,512,1.433960,0.243339,256,0,0,0,0,0,Idle (0),Low (1),512,0,64,0,0,0,32,0,0,0,0,0,0,0,0,0,16384,0,0,8192,0,0,0,0,0,256,0,0,256,0,0,0,0,0,0,0,160,0.000000,0,32,1.448903,0.451852,0.399474,0.332180,7.909046,0.403101,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (2),Low (1),Low (2),0.000000,0.000000,0.087366,142,20,1.959227,282.570168,Low (1),Idle (0),0,0.000000,4544,640
NVIDIA GeForce GTX 1080 (0),1,7,_Z12triad_kernelIdEvPT_PKS0_S3_,141,108400,19.000000,100.000000,100.000000,100.000000,0.118421,0.000000,0.000000,0.000000,0.000000,32.031250,8.000000,0,0,0,0,2050,256,0,5,802,285,0.000000,0.000000,7.224805,3.612403,7.224805,3.612403,0.000000,0.000000,100.000000,0.000000,7.224805,7.224805,3.612403,11.316980,4.021620,0.000000,72.248054,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,512,2048,0,1024,0,0,0,0,0,0,608,680,Low (1),20.382345,10.418830,18.862160,0.000000,0.000000,4.507163,44.396820,0.063774,0.000000,0,1024,11264,0,1024,3072,3072,0,648,32,32,576,160,0,0.000000,0.000000,0,512,1.186486,0.182422,256,0,0,0,0,0,Idle (0),Low (1),512,512,64,0,0,0,32,0,0,0,0,0,0,0,0,0,16384,0,0,8192,0,0,0,0,0,256,0,0,256,0,0,0,0,0,0,0,160,66.666667,0,32,1.216458,0.468518,0.510924,0.571429,13.613445,0.347465,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (2),Low (1),Low (2),0.000000,0.000000,0.236162,576,20,8.127906,288.992217,Low (1),Idle (0),0,0.000000,18432,640
NVIDIA GeForce GTX 1080 (0),1,7,_Z10dot_kernelIdEvPKT_S2_PS0_i,145,861195,169.335938,100.000000,99.856978,66.777826,0.002643,0.219969,0.386936,0.000000,0.000000,32.031250,1.000000,34880,36096,0,0,2050,256,0,5,954,269,0.000000,0.000000,0.622655,0.077832,0.622655,0.311328,0.000000,0.000000,0.000000,93.750000,0.622655,0.622655,0.311328,1.160182,0.327137,0.000000,6.226552,0.000000,0.000000,175.588775,169.673550,100.000000,25.000000,512,263936,261888,1024,0,0,0,0,0,0,1387200,1390874,Low (1),6.207794,21.297665,0.041353,0.000000,38.088459,30.425857,1.391440,1.148381,92.380523,0,262912,18360576,0,3147776,3672832,4198912,0,1210330,115072,115072,434976,516704,0,0.000000,0.000000,0,512,0.025140,1.373912,256,0,0,0,0,0,Idle (0),Low (1),512,0,64,0,164096,0,256,0,90144,0,0,0,0,0,0,0,16384,0,0,8192,0,0,0,0,0,256,0,0,256,0,0,0,0,0,0,0,160,31.250000,0,8192,89.279352,0.925851,1.865276,1.893564,41.194197,2.449680,Low (1),Low (1),Low (1),Low (3),Low (1),Idle (0),Low (1),Low (3),High (9),0.000000,0.000000,3.830956,446,24,0.542391,29.887450,Low (1),Idle (0),0,0.000000,14272,768
NVIDIA GeForce GTX 1080 (0),1,7,_Z11copy_kernelIdEvPKT_PS0_,149,119810,15.000000,100.000000,100.000000,100.000000,0.133333,0.000000,0.000000,0.000000,0.000000,32.062500,8.000000,0,0,0,0,1026,256,0,5,354,301,0.000000,0.000000,4.036717,4.036717,4.036717,4.036717,0.000000,0.000000,0.000000,0.000000,4.036717,4.036717,4.036717,5.582022,4.746296,0.000000,80.734333,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,256,0,0,0,0,0,0,0,0,0,480,544,Low (1),29.555727,5.850254,20.068386,0.000000,0.000000,5.435724,36.607415,0.100705,0.000000,0,0,9216,0,1024,2048,3072,0,544,32,32,448,128,0,0.000000,0.000000,0,256,2.082016,0.299773,256,0,0,0,0,0,Idle (0),Low (1),0,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,8192,0,0,8192,0,0,0,0,0,128,0,0,256,0,0,0,0,0,0,0,160,0.000000,0,32,1.314911,0.450730,0.364188,0.276845,6.921120,0.384000,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (2),Low (1),Idle (0),0.000000,0.000000,0.000000,86,12,1.356085,193.762401,Low (1),Idle (0),0,0.000000,2752,384
NVIDIA GeForce GTX 1080 (0),1,7,_Z10mul_kernelIdEvPT_PKS0_,153,121125,16.000000,100.000000,100.000000,100.000000,0.187500,0.000000,0.000000,0.000000,0.000000,32.062500,8.000000,0,0,0,0,1026,256,0,5,822,269,0.000000,0.000000,3.694622,3.694622,3.694622,3.694622,0.000000,0.000000,0.000000,0.000000,3.694622,3.694622,3.694622,11.863200,3.882240,0.000000,73.892441,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,256,1024,0,0,1024,0,0,0,0,0,512,608,Low (1),23.156355,11.889196,15.115685,0.000000,0.000000,5.122557,43.035120,0.075772,0.000000,0,1024,9216,0,1024,2048,3072,0,608,32,32,448,128,0,0.000000,0.000000,0,256,1.409716,0.195598,256,0,0,0,0,0,Idle (0),Low (1),512,512,32,0,0,0,32,0,0,0,0,0,0,0,0,0,8192,0,0,8192,0,0,0,0,0,128,0,0,256,0,0,0,0,0,0,0,160,0.000000,0,32,1.834128,0.466559,0.237697,0.259940,6.498504,0.333025,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Low (2),0.000000,0.000000,0.105676,504,20,7.273787,295.569763,Low (1),Idle (0),0,0.000000,16128,640
NVIDIA GeForce GTX 1080 (0),1,7,_Z10add_kernelIdEvPKT_S2_PS0_,157,133725,19.000000,100.000000,100.000000,100.000000,0.105263,0.000000,0.000000,0.000000,0.000000,32.031250,8.000000,0,0,0,0,2050,256,0,5,1068,269,0.000000,0.000000,7.509247,3.754623,7.509247,3.754623,0.000000,0.000000,0.000000,0.000000,7.509247,7.509247,3.754623,15.663819,3.945288,0.000000,75.092465,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,512,1024,1024,0,0,0,0,0,0,0,608,672,Low (1),26.506554,8.725581,34.523467,0.000000,0.000000,2.890486,25.588161,0.071036,0.000000,0,1024,11264,0,1024,3072,3072,0,640,32,32,576,160,0,0.000000,0.000000,0,512,1.393658,0.301057,256,0,0,0,0,0,Idle (0),Low (1),512,0,64,0,0,0,32,0,0,0,0,0,0,0,0,0,16384,0,0,8192,0,0,0,0,0,256,0,0,256,0,0,0,0,0,0,0,160,0.000000,0,32,1.465435,0.450881,0.395062,0.498147,11.860638,0.606375,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (2),Low (1),Low (2),0.000000,0.000000,0.095719,14,20,0.205331,300.369863,Low (1),Idle (0),0,0.000000,448,640
