==264== NVPROF is profiling process 264, command: /benchrun/native/cuda10-transpose/sm6_gtx1080/input-repeat3-dimx32-dimy32/transpose -repeat=3 -dimX=32 -dimY=32
==264== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==264== Profiling application: /benchrun/native/cuda10-transpose/sm6_gtx1080/input-repeat3-dimx32-dimy32/transpose -repeat=3 -dimX=32 -dimY=32
==264== Profiling result:
"Device","Context","Stream","Kernel","Correlation_ID","elapsed_cycles_sm","inst_per_warp","branch_efficiency","warp_execution_efficiency","warp_nonpred_execution_efficiency","inst_replay_overhead","shared_load_transactions_per_request","shared_store_transactions_per_request","local_load_transactions_per_request","local_store_transactions_per_request","gld_transactions_per_request","gst_transactions_per_request","shared_store_transactions","shared_load_transactions","local_load_transactions","local_store_transactions","gld_transactions","gst_transactions","sysmem_read_transactions","sysmem_write_transactions","l2_read_transactions","l2_write_transactions","global_hit_rate","local_hit_rate","gld_requested_throughput","gst_requested_throughput","gld_throughput","gst_throughput","local_memory_overhead","tex_cache_hit_rate","l2_tex_read_hit_rate","l2_tex_write_hit_rate","tex_cache_throughput","l2_tex_read_throughput","l2_tex_write_throughput","l2_read_throughput","l2_write_throughput","sysmem_read_throughput","sysmem_write_throughput","local_load_throughput","local_store_throughput","shared_load_throughput","shared_store_throughput","gld_efficiency","gst_efficiency","tex_cache_transactions","flop_count_dp","flop_count_dp_add","flop_count_dp_fma","flop_count_dp_mul","flop_count_sp","flop_count_sp_add","flop_count_sp_fma","flop_count_sp_mul","flop_count_sp_special","inst_executed","inst_issued","sysmem_utilization","stall_inst_fetch","stall_exec_dependency","stall_memory_dependency","stall_texture","stall_sync","stall_other","stall_constant_memory_dependency","stall_pipe_busy","shared_efficiency","inst_fp_32","inst_fp_64","inst_integer","inst_bit_convert","inst_control","inst_compute_ld_st","inst_misc","inst_inter_thread_communication","issue_slots","cf_issued","cf_executed","ldst_issued","ldst_executed","atomic_transactions","atomic_transactions_per_request","l2_atomic_throughput","l2_atomic_transactions","l2_tex_read_transactions","stall_memory_throttle","stall_not_selected","l2_tex_write_transactions","flop_count_hp","flop_count_hp_add","flop_count_hp_mul","flop_count_hp_fma","inst_fp_16","sysmem_read_utilization","sysmem_write_utilization","pcie_total_data_transmitted","pcie_total_data_received","inst_executed_global_loads","inst_executed_local_loads","inst_executed_shared_loads","inst_executed_surface_loads","inst_executed_global_stores","inst_executed_local_stores","inst_executed_shared_stores","inst_executed_surface_stores","inst_executed_global_atomics","inst_executed_global_reductions","inst_executed_surface_atomics","inst_executed_surface_reductions","inst_executed_shared_atomics","inst_executed_tex_ops","l2_global_load_bytes","l2_local_load_bytes","l2_surface_load_bytes","l2_local_global_store_bytes","l2_global_reduction_bytes","l2_global_atomic_store_bytes","l2_surface_store_bytes","l2_surface_reduction_bytes","l2_surface_atomic_store_bytes","global_load_requests","local_load_requests","surface_load_requests","global_store_requests","local_store_requests","surface_store_requests","global_atomic_requests","global_reduction_requests","surface_atomic_requests","surface_reduction_requests","sysmem_read_bytes","sysmem_write_bytes","l2_tex_hit_rate","texture_load_requests","unique_warps_launched","sm_efficiency","achieved_occupancy","ipc","issued_ipc","issue_slot_utilization","eligible_warps_per_cycle","tex_utilization","l2_utilization","shared_utilization","ldst_fu_utilization","cf_fu_utilization","special_fu_utilization","tex_fu_utilization","single_precision_fu_utilization","double_precision_fu_utilization","flop_hp_efficiency","flop_sp_efficiency","flop_dp_efficiency","dram_read_transactions","dram_write_transactions","dram_read_throughput","dram_write_throughput","dram_utilization","half_precision_fu_utilization","ecc_transactions","ecc_throughput","dram_read_bytes","dram_write_bytes"
,,,,,,,%,%,%,,,,,,,,,,,,,,,,,,%,%,GB/s,GB/s,GB/s,GB/s,%,%,%,%,GB/s,GB/s,GB/s,GB/s,GB/s,B/s,MB/s,B/s,B/s,GB/s,GB/s,%,%,,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,B/s,,,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,%,,,,%,,,,,,,,,,,%,%,%,,,GB/s,GB/s,,,,B/s,,
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z4copyPfS_ii",122,104875,19.000000,100.000000,100.000000,100.000000,0.105263,0.000000,0.000000,0.000000,0.000000,16.062500,4.000000,0,0,0,0,514,128,0,5,528,141,0.000000,0.000000,2.166211,2.166211,2.166211,2.166211,0.000000,50.000000,100.000000,100.000000,2.166211,2.166211,2.166211,8.935620,2.386217,0.000000,86.648433,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,128,0,0,0,0,0,0,0,0,0,608,672,"Low (1)",6.350649,11.099567,27.852814,0.000000,0.000000,4.225108,48.242424,0.138528,0.000000,0,0,11264,0,1024,2048,5120,0,672,32,32,384,192,0,0.000000,0.000000,0,128,2.073593,0.017316,128,0,0,0,0,0,"Idle (0)","Low (1)",0,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,4096,0,0,4096,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,100.000000,0,32,4.095925,0.122848,0.122137,0.134994,3.374849,0.110259,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,0,4,0.000000,0.067694,"Low (1)","Idle (0)",0,0.000000,0,128
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z4copyPfS_ii",124,107310,19.000000,100.000000,100.000000,100.000000,0.105263,0.000000,0.000000,0.000000,0.000000,16.062500,4.000000,0,0,0,0,514,128,0,5,1844,141,0.000000,0.000000,2.161302,2.161302,2.161302,2.161302,0.000000,50.000000,100.000000,50.000000,2.161302,2.161302,2.161302,31.136251,2.380809,0.000000,86.452063,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,128,0,0,0,0,0,0,0,0,0,608,672,"Low (1)",6.139072,11.094916,27.201406,0.000000,0.000000,5.693218,47.569236,0.137186,0.000000,0,0,11264,0,1024,2048,5120,0,672,32,32,384,192,0,0.000000,0.000000,0,128,2.147818,0.017148,128,0,0,0,0,0,"Idle (0)","Low (1)",0,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,4096,0,0,4096,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,75.000000,0,32,4.010784,0.123059,0.115589,0.127757,3.193916,0.110259,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,1068,0,18.033360,0.000000,"Low (1)","Idle (0)",0,0.000000,34176,0
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z4copyPfS_ii",126,105135,19.000000,100.000000,100.000000,100.000000,0.105263,0.000000,0.000000,0.000000,0.000000,16.062500,4.000000,0,0,0,0,514,128,0,5,304,141,0.000000,0.000000,2.079988,2.079988,2.079988,2.079988,0.000000,50.000000,0.000000,100.000000,2.079988,2.079988,2.079988,4.939971,2.291236,0.000000,83.199504,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,128,0,0,0,0,0,0,0,0,0,608,672,"Low (1)",37.735849,7.443626,18.511275,0.000000,0.000000,2.807179,31.983433,0.092039,0.000000,0,0,11264,0,1024,2048,5120,0,672,32,32,384,192,0,0.000000,0.000000,0,128,1.415094,0.011505,128,0,0,0,0,0,"Idle (0)","Low (1)",0,512,32,0,0,0,32,0,0,0,0,0,0,0,0,0,4096,0,0,4096,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,50.000000,0,32,5.612862,0.122853,0.099233,0.109678,2.741962,0.126473,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,1154,6,18.752388,0.097499,"Low (1)","Idle (0)",0,0.000000,36928,192
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z4copyPfS_ii",128,97820,19.000000,100.000000,100.000000,100.000000,0.105263,0.000000,0.000000,0.000000,0.000000,16.062500,4.000000,0,0,0,0,514,128,0,5,400,141,0.000000,0.000000,2.143088,2.143088,2.143088,2.143088,0.000000,50.000000,100.000000,100.000000,2.143088,2.143088,2.143088,6.697151,2.360746,0.000000,85.723534,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,128,0,0,0,0,0,0,0,0,0,608,672,"Low (1)",17.419244,6.284514,30.296144,0.000000,0.000000,3.244881,41.401554,0.078190,0.000000,0,0,11264,0,1024,2048,5120,0,672,32,32,384,192,0,0.000000,0.000000,0,128,1.207057,0.068416,128,0,0,0,0,0,"Idle (0)","Low (1)",0,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,4096,0,0,4096,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,100.000000,0,32,4.040246,0.123375,0.156903,0.173419,4.335484,0.180925,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,242,127,4.051776,2.126345,"Low (1)","Idle (0)",0,0.000000,7744,4064
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z13copySharedMemPfS_ii",136,98420,36.000000,100.000000,100.000000,97.222222,0.083333,1.000000,1.000000,0.000000,0.000000,16.062500,4.000000,32,32,0,0,514,128,0,5,508,141,0.000000,0.000000,1.946274,1.946274,1.946274,1.946274,0.000000,50.000000,100.000000,100.000000,1.946274,1.946274,1.946274,7.724275,2.143943,0.000000,77.850965,0.000000,0.000000,1.946274,1.946274,100.000000,100.000000,128,0,0,0,0,0,0,0,0,0,1152,1248,"Low (1)",28.770478,12.953893,13.249451,0.000000,5.488938,3.031583,35.990542,0.371559,100.000000,0,0,17408,0,1024,5120,12288,0,1216,64,64,512,352,0,0.000000,0.000000,0,128,0.067556,0.076001,128,0,0,0,0,0,"Idle (0)","Low (1)",512,0,32,0,32,0,32,0,32,0,0,0,0,0,0,0,4096,0,0,4096,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,100.000000,0,32,6.787670,0.124364,0.149902,0.162394,3.955758,0.159430,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,190,62,2.889001,0.942727,"Low (1)","Idle (0)",0,0.000000,6080,1984
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z13copySharedMemPfS_ii",138,112400,36.000000,100.000000,100.000000,97.222222,0.083333,1.000000,1.000000,0.000000,0.000000,16.062500,4.000000,32,32,0,0,514,128,0,5,420,141,0.000000,0.000000,2.009851,2.009851,2.009851,2.009851,0.000000,50.000000,96.875000,100.000000,2.009851,2.009851,2.009851,6.594824,2.213977,0.000000,80.394041,0.000000,0.000000,2.009851,2.009851,100.000000,100.000000,128,0,0,0,0,0,0,0,0,0,1152,1248,"Low (1)",25.728422,11.843242,11.927668,0.000000,5.216760,10.657347,34.147491,0.345559,100.000000,0,0,17408,0,1024,5120,12288,0,1216,64,64,512,352,0,0.000000,0.000000,0,128,0.062829,0.070682,128,0,0,0,0,0,"Idle (0)","Low (1)",0,512,32,0,32,0,32,0,32,0,0,0,0,0,0,0,4096,0,0,4096,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,98.437500,0,32,4.180054,0.123256,0.292237,0.316510,7.709866,0.267293,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,0,0,0.000000,0.000000,"Idle (0)","Idle (0)",0,0.000000,0,0
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z13copySharedMemPfS_ii",140,97805,36.000000,100.000000,100.000000,97.222222,0.083333,1.000000,1.000000,0.000000,0.000000,16.062500,4.000000,32,32,0,0,514,128,0,5,706,141,0.000000,0.000000,1.976527,1.976527,1.976527,1.976527,0.000000,50.000000,0.000000,50.000000,1.976527,1.976527,1.976527,10.901782,2.177268,0.000000,79.061083,0.000000,0.000000,1.976527,1.976527,100.000000,100.000000,128,0,0,0,0,0,0,0,0,0,1152,1248,"Low (1)",22.901200,10.140902,29.966500,0.000000,4.557009,2.794472,29.210646,0.309749,100.000000,0,0,17408,0,1024,5120,12288,0,1216,64,64,512,352,0,0.000000,0.000000,0,128,0.053869,0.065653,128,0,0,0,0,0,"Idle (0)","Low (1)",512,512,32,0,32,0,32,0,32,0,0,0,0,0,0,0,4096,0,0,4096,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,25.000000,0,32,4.101845,0.123258,0.291867,0.316190,7.702052,0.267762,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,1994,8,30.790586,0.123533,"Low (2)","Idle (0)",0,0.000000,63808,256
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z13copySharedMemPfS_ii",142,115790,36.000000,100.000000,100.000000,97.222222,0.083333,1.000000,1.000000,0.000000,0.000000,16.062500,4.000000,32,32,0,0,514,128,0,5,320,157,0.000000,0.000000,2.011971,2.011971,2.011971,2.011971,0.000000,50.000000,0.000000,50.000000,2.011971,2.011971,2.011971,5.029928,2.467808,0.000000,80.478845,0.000000,0.000000,2.011971,2.011971,100.000000,100.000000,128,0,0,0,0,0,0,0,0,0,1152,1248,"Low (1)",5.191981,20.876656,21.202854,0.000000,8.848114,4.879375,38.165138,0.598029,100.000000,0,0,17408,0,1024,5120,12288,0,1216,64,64,512,352,0,0.000000,0.000000,0,128,0.108733,0.129120,128,0,0,0,0,0,"Idle (0)","Low (1)",0,512,32,0,32,0,32,0,32,0,0,0,0,0,0,0,4096,0,0,4096,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,25.000000,0,32,4.681931,0.123492,0.244950,0.165058,4.020632,0.267206,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,244,0,3.835320,0.000000,"Low (1)","Idle (0)",0,0.000000,7808,0
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z14transposeNaivePfS_ii",150,140100,22.000000,100.000000,100.000000,100.000000,0.136364,0.000000,0.000000,0.000000,0.000000,16.062500,32.000000,0,0,0,0,514,1024,0,5,594,1037,0.000000,0.000000,1.953250,1.953250,1.953250,15.626000,0.000000,10.000000,0.000000,100.000000,1.953250,1.953250,15.626000,9.064301,15.824377,0.000000,78.130000,0.000000,0.000000,0.000000,0.000000,100.000000,12.500000,128,0,0,0,0,0,0,0,0,0,704,800,"Low (1)",34.536825,5.731418,12.528604,0.000000,0.000000,1.949318,43.563014,0.161031,0.000000,0,0,14336,0,1024,2048,5120,0,800,32,32,384,192,0,0.000000,0.000000,0,128,1.504365,0.025426,1024,0,0,0,0,0,"Idle (0)","Low (1)",0,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,4096,0,0,32768,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,88.888889,0,32,5.358164,0.123668,0.085499,0.099034,2.475860,0.100520,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,234,140,3.570785,2.136367,"Low (1)","Idle (0)",0,0.000000,7488,4480
