Device,Context,Stream,Kernel,Correlation_ID,elapsed_cycles_sm,inst_per_warp,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,sysmem_read_transactions,sysmem_write_transactions,l2_read_transactions,l2_write_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_read_throughput,sysmem_write_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,gld_efficiency,gst_efficiency,tex_cache_transactions,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,sysmem_utilization,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_pipe_busy,shared_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,l2_atomic_throughput,l2_atomic_transactions,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,flop_count_hp,flop_count_hp_add,flop_count_hp_mul,flop_count_hp_fma,inst_fp_16,sysmem_read_utilization,sysmem_write_utilization,pcie_total_data_transmitted,pcie_total_data_received,inst_executed_global_loads,inst_executed_local_loads,inst_executed_shared_loads,inst_executed_surface_loads,inst_executed_global_stores,inst_executed_local_stores,inst_executed_shared_stores,inst_executed_surface_stores,inst_executed_global_atomics,inst_executed_global_reductions,inst_executed_surface_atomics,inst_executed_surface_reductions,inst_executed_shared_atomics,inst_executed_tex_ops,l2_global_load_bytes,l2_local_load_bytes,l2_surface_load_bytes,l2_local_global_store_bytes,l2_global_reduction_bytes,l2_global_atomic_store_bytes,l2_surface_store_bytes,l2_surface_reduction_bytes,l2_surface_atomic_store_bytes,global_load_requests,local_load_requests,surface_load_requests,global_store_requests,local_store_requests,surface_store_requests,global_atomic_requests,global_reduction_requests,surface_atomic_requests,surface_reduction_requests,sysmem_read_bytes,sysmem_write_bytes,l2_tex_hit_rate,texture_load_requests,unique_warps_launched,sm_efficiency,achieved_occupancy,ipc,issued_ipc,issue_slot_utilization,eligible_warps_per_cycle,tex_utilization,l2_utilization,shared_utilization,ldst_fu_utilization,cf_fu_utilization,special_fu_utilization,tex_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,flop_hp_efficiency,flop_sp_efficiency,flop_dp_efficiency,dram_read_transactions,dram_write_transactions,dram_read_throughput,dram_write_throughput,dram_utilization,half_precision_fu_utilization,ecc_transactions,ecc_throughput,dram_read_bytes,dram_write_bytes
,,,,,,,%,%,%,,,,,,,,,,,,,,,,,,%,%,GB/s,GB/s,GB/s,GB/s,%,%,%,%,GB/s,GB/s,GB/s,GB/s,GB/s,B/s,MB/s,B/s,B/s,GB/s,GB/s,%,%,,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,B/s,,,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,%,,,,%,,,,,,,,,,,%,%,%,,,GB/s,GB/s,,,,B/s,,
NVIDIA GeForce GTX 1080 (0),1,7,_Z4copyPfS_ii,120,132540,19.000000,100.000000,100.000000,100.000000,0.105263,0.000000,0.000000,0.000000,0.000000,16.062500,4.000000,0,0,0,0,514,128,0,5,326,141,0.000000,0.000000,2.114577,2.114577,2.114577,2.114577,0.000000,50.000000,0.000000,50.000000,2.114577,2.114577,2.114577,5.385564,2.329339,0.000000,84.583088,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,128,0,0,0,0,0,0,0,0,0,608,672,Low (1),5.064125,8.942808,21.927210,0.000000,0.000000,4.603120,57.649913,0.110919,0.000000,0,0,11264,0,1024,2048,5120,0,672,32,32,384,192,0,0.000000,0.000000,0,128,1.684575,0.017331,128,0,0,0,0,0,Idle (0),Low (1),0,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,4096,0,0,4096,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,25.000000,0,32,5.037889,0.123456,0.091912,0.101587,2.539683,0.101454,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,484,140,7.995745,2.312819,Low (1),Idle (0),0,0.000000,15488,4480
NVIDIA GeForce GTX 1080 (0),1,7,_Z4copyPfS_ii,122,126840,19.000000,100.000000,100.000000,100.000000,0.105263,0.000000,0.000000,0.000000,0.000000,16.062500,4.000000,0,0,0,0,514,128,0,5,358,157,0.000000,0.000000,2.133500,2.133500,2.133500,2.133500,0.000000,50.000000,0.000000,50.000000,2.133500,2.133500,2.133500,5.967132,2.616871,0.000000,85.339983,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,128,0,0,0,0,0,0,0,0,0,608,672,Low (1),32.185329,6.378718,15.931960,0.000000,0.000000,3.283309,40.843573,0.079116,0.000000,0,0,11264,0,1024,2048,5120,0,672,32,32,384,192,0,0.000000,0.000000,0,128,1.228769,0.069226,128,0,0,0,0,0,Idle (0),Low (1),0,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,4096,0,0,4096,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,25.000000,0,32,5.833452,0.123472,0.096846,0.110526,2.763158,0.182055,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,268,140,4.467015,2.333515,Low (1),Idle (0),0,0.000000,8576,4480
NVIDIA GeForce GTX 1080 (0),1,7,_Z4copyPfS_ii,124,127890,19.000000,100.000000,100.000000,100.000000,0.105263,0.000000,0.000000,0.000000,0.000000,16.062500,4.000000,0,0,0,0,514,128,0,5,324,157,0.000000,0.000000,2.157634,2.157634,2.157634,2.157634,0.000000,50.000000,0.000000,50.000000,2.157634,2.157634,2.157634,5.461512,2.646473,0.000000,86.305367,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,128,0,0,0,0,0,0,0,0,0,608,672,Low (1),36.905271,7.377633,18.139058,0.000000,0.000000,3.834203,32.201602,0.091223,0.000000,0,0,11264,0,1024,2048,5120,0,672,32,32,384,192,0,0.000000,0.000000,0,128,1.371191,0.079820,128,0,0,0,0,0,Idle (0),Low (1),0,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,4096,0,0,4096,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,25.000000,0,32,5.886490,0.123423,0.084468,0.093359,2.333982,0.170027,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,180,140,3.034173,2.359912,Low (1),Idle (0),0,0.000000,5760,4480
NVIDIA GeForce GTX 1080 (0),1,7,_Z4copyPfS_ii,126,143140,19.000000,100.000000,100.000000,100.000000,0.105263,0.000000,0.000000,0.000000,0.000000,16.062500,4.000000,0,0,0,0,514,128,0,5,502,141,0.000000,0.000000,2.067587,2.067587,2.067587,2.067587,0.000000,50.000000,100.000000,50.000000,2.067587,2.067587,2.067587,8.108816,2.277576,0.000000,82.703464,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,128,0,0,0,0,0,0,0,0,0,608,672,Low (1),25.820165,5.189701,31.880164,0.000000,0.000000,2.663030,33.400176,0.064169,0.000000,0,0,11264,0,1024,2048,5120,0,672,32,32,384,192,0,0.000000,0.000000,0,128,0.974573,0.008021,128,0,0,0,0,0,Idle (0),Low (1),0,512,32,0,0,0,32,0,0,0,0,0,0,0,0,0,4096,0,0,4096,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,75.000000,0,32,4.757744,0.123063,0.099705,0.110599,2.764977,0.111257,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,298,68,4.813600,1.098405,Low (1),Idle (0),0,0.000000,9536,2176
NVIDIA GeForce GTX 1080 (0),1,7,_Z13copySharedMemPfS_ii,134,114615,36.000000,100.000000,100.000000,97.222222,0.083333,1.000000,1.000000,0.000000,0.000000,16.062500,4.000000,32,32,0,0,514,128,0,5,426,157,0.000000,0.000000,1.986821,1.986821,1.986821,1.986821,0.000000,50.000000,0.000000,50.000000,1.986821,1.986821,1.986821,6.612390,2.436961,0.000000,79.472859,0.000000,0.000000,1.986821,1.986821,100.000000,100.000000,128,0,0,0,0,0,0,0,0,0,1152,1248,Low (1),22.364821,9.824104,25.680782,0.000000,4.449511,9.192182,28.071661,0.306189,100.000000,0,0,17408,0,1024,5120,12288,0,1216,64,64,512,352,0,0.000000,0.000000,0,128,0.052117,0.058632,128,0,0,0,0,0,Idle (0),Low (1),512,0,32,0,32,0,32,0,32,0,0,0,0,0,0,0,4096,0,0,4096,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,25.000000,0,32,5.678372,0.124337,0.152643,0.267754,6.522206,0.268612,Low (1),Low (1),Low (1),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,212,140,3.290673,2.173086,Low (1),Idle (0),0,0.000000,6784,4480
NVIDIA GeForce GTX 1080 (0),1,7,_Z13copySharedMemPfS_ii,136,114270,36.000000,100.000000,100.000000,97.222222,0.083333,1.000000,1.000000,0.000000,0.000000,16.062500,4.000000,32,32,0,0,514,128,0,5,338,157,0.000000,0.000000,1.993050,1.993050,1.993050,1.993050,0.000000,50.000000,100.000000,100.000000,1.993050,1.993050,1.993050,5.262897,2.444600,0.000000,79.721991,0.000000,0.000000,1.993050,1.993050,100.000000,100.000000,128,0,0,0,0,0,0,0,0,0,1152,1248,Low (1),23.696452,10.664445,21.891273,0.000000,4.693467,9.796570,28.813442,0.326321,100.000000,0,0,17408,0,1024,5120,12288,0,1216,64,64,512,352,0,0.000000,0.000000,0,128,0.055544,0.062487,128,0,0,0,0,0,Idle (0),Low (1),512,0,32,0,32,0,32,0,32,0,0,0,0,0,0,0,4096,0,0,4096,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,100.000000,0,32,5.769440,0.123663,0.144633,0.156685,3.816698,0.166733,Low (1),Low (1),Low (1),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,458,8,7.131381,0.124566,Low (1),Idle (0),0,0.000000,14656,256
NVIDIA GeForce GTX 1080 (0),1,7,_Z13copySharedMemPfS_ii,138,133080,36.000000,100.000000,100.000000,97.222222,0.083333,1.000000,1.000000,0.000000,0.000000,16.062500,4.000000,32,32,0,0,514,128,0,5,346,141,0.000000,0.000000,1.925642,1.925642,1.925642,1.925642,0.000000,50.000000,0.000000,50.000000,1.925642,1.925642,1.925642,5.205252,2.121215,0.000000,77.025689,0.000000,0.000000,1.925642,1.925642,100.000000,100.000000,128,0,0,0,0,0,0,0,0,0,1152,1248,Low (1),26.491351,11.682569,11.882321,0.000000,5.160577,11.023194,33.286789,0.341323,100.000000,0,0,17408,0,1024,5120,12288,0,1216,64,64,512,352,0,0.000000,0.000000,0,128,0.062059,0.069816,128,0,0,0,0,0,Idle (0),Low (1),0,512,32,0,32,0,32,0,32,0,0,0,0,0,0,0,4096,0,0,4096,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,25.000000,0,32,5.418556,0.124336,0.153029,0.164622,4.010025,0.165150,Low (1),Low (1),Low (1),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,306,92,4.603488,1.384055,Low (1),Idle (0),0,0.000000,9792,2944
NVIDIA GeForce GTX 1080 (0),1,7,_Z13copySharedMemPfS_ii,140,117805,36.000000,100.000000,100.000000,97.222222,0.083333,1.000000,1.000000,0.000000,0.000000,16.062500,4.000000,32,32,0,0,514,128,0,5,385,157,0.000000,0.000000,2.011971,2.011971,2.011971,2.011971,0.000000,50.000000,0.000000,50.000000,2.011971,2.011971,2.011971,6.051632,2.467808,0.000000,80.478845,0.000000,0.000000,2.011971,2.011971,100.000000,100.000000,128,0,0,0,0,0,0,0,0,0,1152,1248,Low (1),26.576507,11.638331,11.452859,0.000000,5.417311,11.105100,33.323029,0.355487,100.000000,0,0,17408,0,1024,5120,12288,0,1216,64,64,512,352,0,0.000000,0.000000,0,128,0.061824,0.069552,128,0,0,0,0,0,Idle (0),Low (1),512,0,32,0,32,0,32,0,32,0,0,0,0,0,0,0,4096,0,0,4096,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,25.000000,0,32,5.467088,0.124389,0.145308,0.152810,3.722297,0.153300,Low (1),Low (1),Low (1),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,290,104,4.558372,1.634727,Low (1),Idle (0),0,0.000000,9280,3328
NVIDIA GeForce GTX 1080 (0),1,7,_Z14transposeNaivePfS_ii,148,99390,22.000000,100.000000,100.000000,100.000000,0.136364,0.000000,0.000000,0.000000,0.000000,16.062500,32.000000,0,0,0,0,514,1024,0,5,288,1053,0.000000,0.000000,1.926615,1.926615,1.926615,15.412918,0.000000,10.000000,100.000000,96.875000,1.926615,1.926615,15.412918,4.334883,15.849417,0.000000,77.064590,0.000000,0.000000,0.000000,0.000000,100.000000,12.500000,128,0,0,0,0,0,0,0,0,0,704,800,Low (1),33.507204,7.178640,15.529618,0.000000,0.000000,12.911222,28.673243,0.227238,0.000000,0,0,14336,0,1024,2048,5120,0,800,32,32,384,192,0,0.000000,0.000000,0,128,1.941848,0.030987,1024,0,0,0,0,0,Idle (0),Low (1),512,512,32,0,0,0,32,0,0,0,0,0,0,0,0,0,4096,0,0,32768,0,0,0,0,0,128,0,0,128,0,0,0,0,0,0,0,160,97.222222,0,32,5.253104,0.123429,0.100000,0.121010,3.025261,0.122826,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,184,140,2.769509,2.107235,Low (1),Idle (0),0,0.000000,5888,4480
